Year,Month,Concentration
1986,1,7111.32772202027
1986,2,7111.32772202027
1986,3,7111.32772202027
1986,4,7111.32772202027
1986,5,7111.32772202027
1986,6,7111.32772202027
1986,7,7111.32772202027
1986,8,7111.32772202027
1986,9,7111.32772202027
1986,10,7111.32772202027
1986,11,7111.32772202027
1986,12,7111.32772202027
1987,1,7111.32772202027
1987,2,7111.32772202027
1987,3,7123.5773706557
1987,4,7123.5773706557
1987,5,7123.5773706557
1987,6,7123.5773706557
1987,7,7123.5773706557
1987,8,7129.39917671949
1987,9,7164.31787583815
1987,10,7170.9281184471
1987,11,7188.51422064907
1987,12,7188.51422064907
1988,1,7187.7244225645
1988,2,7187.19789050812
1988,3,7187.19789050812
1988,4,7187.19789050812
1988,5,7202.66292700439
1988,6,7198.92128285531
1988,7,7198.92128285531
1988,8,7198.92128285531
1988,9,7168.53947544402
1988,10,7148.28493716983
1988,11,7117.64940733389
1988,12,7113.2893792286
1989,1,7158.59271529285
1989,2,7148.13073022492
1989,3,7127.94973335635
1989,4,7108.51227274351
1989,5,7114.13520382187
1989,6,7102.35359595234
1989,7,7087.28656753718
1989,8,7062.70925658971
1989,9,7000.65679025144
1989,10,6973.46499753192
1989,11,6963.48546519502
1989,12,6961.89215664221
1990,1,6876.6047774057
1990,2,6733.06845646138
1990,3,6696.61401296314
1990,4,6685.53120405129
1990,5,6669.34092354651
1990,6,6528.89041815915
1990,7,5944.13676591533
1990,8,5694.38680397201
1990,9,5691.69899177913
1990,10,5647.04401464113
1990,11,5432.64221833994
1990,12,5388.11431864072
1991,1,5280.71075655663
1991,2,4912.78414374768
1991,3,4883.79700582166
1991,4,4878.53445766156
1991,5,4822.42251961675
1991,6,4818.65653700315
1991,7,4818.65653700315
1991,8,4799.35282952907
1991,9,4779.55373200121
1991,10,4779.55373200121
1991,11,4721.48990416466
1991,12,4715.65632373989
1992,1,4721.3630778521
1992,2,4707.90204304522
1992,3,4707.90204304522
1992,4,4709.65307777616
1992,5,4703.9588557953
1992,6,4695.25498844624
1992,7,4678.6744233465
1992,8,4665.28012855507
1992,9,4664.47974741141
1992,10,4664.47974741141
1992,11,4642.35391903385
1992,12,4639.07486684652
1993,1,4637.31221879548
1993,2,4636.13712009478
1993,3,4574.11234958144
1993,4,4572.15416392572
1993,5,4571.12917124177
1993,6,4569.65115140771
1993,7,4562.81948588541
1993,8,4536.49477248888
1993,9,4539.50061856685
