Year,Month,Concentration
1986,1,6703.02913412372
1986,2,6703.02913412372
1986,3,6703.02913412372
1986,4,6703.02913412372
1986,5,6703.02913412372
1986,6,6702.23537018689
1986,7,6702.23537018689
1986,8,6702.23537018689
1986,9,6702.23537018689
1986,10,6702.23537018689
1986,11,6702.23537018689
1986,12,6703.481475731
1987,1,6720.69066756963
1987,2,6746.50445532757
1987,3,6746.50445532757
1987,4,6746.80991020067
1987,5,6747.72627481995
1987,6,6751.27995666426
1987,7,6751.27995666426
1987,8,6767.60124492121
1987,9,6770.70261313938
1987,10,6771.3518866436
1987,11,6772.32579689993
1987,12,6772.32579689993
1988,1,6771.79408094327
1988,2,6771.43960363883
1988,3,6771.43960363883
1988,4,6771.43960363883
1988,5,6770.3008320882
1988,6,6769.16206053757
1988,7,6769.16206053757
1988,8,6755.73637034573
1988,9,6756.83043094689
1988,10,6757.13495721294
1988,11,6757.13495721294
1988,12,6777.72132293796
1989,1,6786.42336105517
1989,2,6784.12695986277
1989,3,6777.23775628557
1989,4,6776.97870690063
1989,5,6776.97870690063
1989,6,6752.46932883996
1989,7,6739.3710998726
1989,8,6723.07344991318
1989,9,6722.72750407865
1989,10,6722.85264685831
1989,11,6705.4231995646
1989,12,6699.63971487279
1990,1,6571.73435070545
1990,2,6474.32492748472
1990,3,6473.94028014432
1990,4,6474.63938622102
1990,5,6487.05581412235
1990,6,6458.84717605333
1990,7,6342.72672734009
1990,8,6307.70929145937
1990,9,6312.46383169424
1990,10,6272.04487542735
1990,11,6237.93291614188
1990,12,6236.43147979671
1991,1,6219.63033773833
1991,2,6171.8728994432
1991,3,6173.21105774752
1991,4,6171.51503467802
1991,5,6136.18791050676
1991,6,6124.6157679533
1991,7,6124.25438597071
1991,8,6099.45091770066
1991,9,6092.04299049491
1991,10,6092.59587756752
1991,11,6041.89614300785
1991,12,6036.16653230675
1992,1,6039.15519146663
1992,2,5998.64578662037
1992,3,5997.47397344547
1992,4,5984.54161431478
1992,5,5929.703497296
1992,6,5913.60543019877
1992,7,5881.60707194236
1992,8,5834.15663310587
1992,9,5827.88368268925
1992,10,5828.86262294665
1992,11,5825.59124757734
1992,12,5824.00774736527
1993,1,5833.53994561425
1993,2,5845.69598423732
1993,3,5731.41260539567
1993,4,5738.21320633899
1993,5,5747.46173461346
1993,6,5759.48023284448
1993,7,5756.53098999512
1993,8,5740.41746837211
1993,9,5736.78591575128
1993,10,5748.92795655055
1993,11,5733.39491174714
1993,12,5723.02788416214
1994,1,5719.87713927679
1994,2,5719.68189482665
1994,3,5699.77595242459
1994,4,5663.94933905644
1994,5,5587.57202959716
1994,6,5479.2386096991
1994,7,5350.54507227972
1994,8,5339.85227707407
1994,9,5314.59757155676
1994,10,5232.38336468221
1994,11,5188.06966591155
1994,12,5157.4108924843
1995,1,5138.95856738451
1995,2,5120.01922187971
1995,3,5082.43070555779
1995,4,5082.43070555779
1995,5,5081.12065799878
1995,6,5079.81061043977
1995,7,5073.6578168766
1995,8,5073.77105285736
1995,9,5072.59906371561
1995,10,5068.14840763878
1995,11,5068.14840763878
1995,12,5059.31811270866
1996,1,5044.09235143978
1996,2,5030.43768658946
1996,3,5028.52825464757
1996,4,5023.16447253517
1996,5,5023.08510195775
1996,6,5013.61976637271
1996,7,4985.22375961761
1996,8,4985.59109022782
1996,9,4985.77560726755
1996,10,4976.75122232124
1996,11,4966.94741622374
1996,12,4967.3302132708
1997,1,4960.08632326293
1997,2,4955.34400963149
1997,3,4954.17893661964
1997,4,4953.07132349894
1997,5,4947.89449690877
1997,6,4947.67794828703
1997,7,4947.76632079076
1997,8,4942.87375026409
1997,9,4933.72832754714
1997,10,4923.20247302543
1997,11,4932.90468413863
1997,12,4920.87695052235
1998,1,4908.61347597676
1998,2,4871.89375237317
1998,3,4871.199958662
1998,4,4859.85225243055
1998,5,4847.0781171952
1998,6,4831.44337233907
1998,7,4820.05633534255
1998,8,4853.91998041338
1998,9,4842.27836407834
1998,10,4817.35608814435
1998,11,4801.96320199844
1998,12,4791.40766810555
1999,1,4801.49917287608
1999,2,4791.98434975054
1999,3,4774.36170105552
1999,4,4733.87891085106
1999,5,4725.45835197893
1999,6,4721.45594837876
1999,7,4709.85643300701
1999,8,4717.61856430818
1999,9,4718.41989423223
1999,10,4711.05267049543
1999,11,4707.67109835041
1999,12,4715.92305626998
2000,1,4799.53945027064
2000,2,5017.69578065768
2000,3,5122.65329581255
2000,4,5148.89469184333
2000,5,5238.0758790197
2000,6,6022.16832057466
2000,7,6191.35751139389
2000,8,6192.0937695446
2000,9,6176.19040119175
2000,10,6224.40072619938
2000,11,6460.45168565168
2000,12,6504.28407133231
2001,1,6475.97924754816
2001,2,6485.46910036071
2001,3,6452.00917327112
2001,4,6299.22262725817
2001,5,6216.31616947423
2001,6,6198.11755571185
2001,7,6211.89435750429
2001,8,6128.04074808857
2001,9,6141.8272220637
2001,10,6211.36511129328
2001,11,6196.96692881446
