Year,Month,Concentration
1986,1,23.278827756687
1986,2,23.278827756687
1986,3,23.278827756687
1986,4,23.278827756687
1986,5,23.278827756687
1986,6,23.278827756687
1986,7,23.278827756687
1986,8,23.278827756687
1986,9,23.278827756687
1986,10,23.278827756687
1986,11,23.278827756687
1986,12,23.278827756687
1987,1,23.278827756687
1987,2,23.278827756687
1987,3,23.278827756687
1987,4,23.278827756687
1987,5,23.278827756687
1987,6,23.2782290749885
1987,7,23.2782290749885
1987,8,23.2782290749885
1987,9,23.2776777056704
1987,10,23.2787913855137
1987,11,23.2787913855137
1987,12,23.2787913855137
1988,1,23.2775196924429
1988,2,23.2766718970624
1988,3,23.2766718970624
1988,4,23.2743132888681
1988,5,23.2727408834052
1988,6,23.2742184664249
1988,7,23.296993372699
1988,8,23.304323435858
1988,9,23.3061907812153
1988,10,23.3061120783921
1988,11,23.306033375569
1988,12,23.3216784536176
1989,1,23.3245977126408
1989,2,23.3673580711527
1989,3,23.4502296660001
1989,4,23.4476394193367
1989,5,23.4476394193367
1989,6,23.4476394193367
1989,7,23.4517217061871
1989,8,23.463433458484
1989,9,23.4622907555477
1989,10,23.4620838579455
1989,11,23.4716696671859
1989,12,23.4716696671859
1990,1,23.4739392287576
1990,2,23.4884017469087
1990,3,23.4884017469087
1990,4,23.4822434715932
1990,5,23.4771085642375
1990,6,23.4771085642375
1990,7,23.4758725003898
1990,8,23.4728860196277
1990,9,23.4728860196277
1990,10,23.5161722970545
1990,11,23.5051879804219
1990,12,23.5063822228299
1991,1,23.4987124620778
1991,2,23.4746127342362
1991,3,23.4746127342362
1991,4,23.4746127342362
1991,5,23.4014062789415
1991,6,23.3879585973492
1991,7,23.3773054624423
1991,8,23.3152610405019
1991,9,23.2482781514619
1991,10,23.2517371652874
1991,11,23.2119603741995
1991,12,23.2106675540588
1992,1,23.1784089860272
1992,2,23.1548675180739
1992,3,23.1548675180739
1992,4,23.1509388607182
1992,5,23.1387554463201
1992,6,23.1511094972806
1992,7,23.1511094972806
1992,8,23.1448981675519
1992,9,23.142827724309
1992,10,23.158044454391
1992,11,23.1996806083033
1992,12,23.3943021887405
1993,1,23.4040704554555
1993,2,23.3933182570416
1993,3,23.4281471378991
1993,4,23.5615085613368
1993,5,23.6075504140715
1993,6,23.6541558919376
1993,7,23.679269702668
1993,8,23.7201391256282
1993,9,23.7360011048081
1993,10,23.6999327985894
1993,11,23.6794052353938
1993,12,23.6068561102588
1994,1,23.5854444701258
1994,2,23.5708329407142
1994,3,23.5573360762681
1994,4,23.5185324785473
1994,5,23.509348176721
1994,6,23.5091313067143
1994,7,23.509059016712
1994,8,23.509059016712
1994,9,23.4791963144718
1994,10,23.4457490665327
1994,11,23.4520776947901
1994,12,23.44632083641
1995,1,23.443745226477
1995,2,23.443745226477
1995,3,23.4035692723886
1995,4,23.432823343546
1995,5,23.5863052379775
1995,6,23.5687488336149
1995,7,23.5687488336149
1995,8,23.5687488336149
1995,9,23.6308582696167
1995,10,23.7196984638344
1995,11,23.7408482949006
1995,12,23.7897100307997
1996,1,23.8042437215379
1996,2,23.8309739844029
1996,3,23.8795241056813
1996,4,23.8660247692431
1996,5,23.855372381617
1996,6,23.8520148155742
1996,7,23.8598963425474
1996,8,23.8633217770521
1996,9,23.8664008161498
1996,10,23.8677687957306
1996,11,23.8750183542215
1996,12,23.8479625241718
1997,1,23.8477465913834
1997,2,23.8644142880856
1997,3,23.8838765474098
1997,4,23.8785188080262
