Year,Month,Concentration
1986,1,22850.2184798705
1986,2,22850.2184798705
1986,3,22850.2184798705
1986,4,22850.2184798705
1986,5,22839.4580548831
1986,6,22734.6850885809
1986,7,22734.6850885809
1986,8,22425.4929712765
1986,9,22425.4929712765
1986,10,22425.4929712765
1986,11,22425.4929712765
1986,12,22466.8457482961
1987,1,22532.4947206164
1987,2,22626.6520472884
1987,3,22637.2678948882
1987,4,22687.3109153198
1987,5,22740.0052061814
1987,6,22750.0102029293
1987,7,22750.0102029293
1987,8,22786.499754198
1987,9,22846.6109270316
1987,10,22715.6313565622
1987,11,22906.0707302461
1987,12,22980.4546065571
1988,1,23025.883166438
1988,2,23089.7768021739
1988,3,23112.1093771175
1988,4,23118.5447042707
1988,5,23318.7285722107
1988,6,23531.7329435071
1988,7,23531.7329435071
1988,8,23553.5385960205
1988,9,23685.6105401393
1988,10,23732.0984004808
1988,11,23751.3318099119
1988,12,23800.9904445393
1989,1,23834.6407206812
1989,2,23835.1052001227
1989,3,23835.1052001227
1989,4,23924.4769675805
1989,5,23955.9019398516
1989,6,23901.1462955207
1989,7,23927.4694858109
1989,8,23998.9417957432
1989,9,24162.4191200488
1989,10,24190.5747423265
1989,11,24106.6888985614
1989,12,23898.8601000122
1990,1,22975.3433625068
1990,2,22506.0634126092
1990,3,22583.206163544
1990,4,22586.9766248731
1990,5,22476.4836409411
1990,6,22107.5372659738
1990,7,20142.5133922406
1990,8,18734.2028824718
1990,9,18731.7632439793
1990,10,18435.8144849105
1990,11,18085.2423844541
1990,12,18044.9041713963
1991,1,17945.320454534
1991,2,17603.2532175927
1991,3,17564.7376269965
1991,4,17028.6664629377
1991,5,15879.8545820619
1991,6,15435.637280074
1991,7,14436.5117494
1991,8,12556.0508200812
1991,9,12141.9322209733
1991,10,11671.7004523594
1991,11,11285.8936895896
1991,12,11249.4534489654
1992,1,11160.5761454794
1992,2,11092.2118620743
1992,3,11034.4171895022
1992,4,10849.0989085492
1992,5,10780.1977497059
1992,6,10722.410912532
1992,7,10657.5828486919
1992,8,10639.7781350951
1992,9,10627.9969965916
1992,10,10598.9208606368
1992,11,10582.1376749694
1992,12,10588.5597283559
1993,1,10615.8191775235
1993,2,10639.2540873674
1993,3,10438.7970916244
1993,4,10438.141187555
1993,5,10448.4998683989
1993,6,10454.1475343224
1993,7,10441.5360693186
1993,8,10391.41248497
1993,9,10373.5089745613
1993,10,10311.7211598333
1993,11,10190.1286281797
1993,12,10189.9751886283
