Year,Month,Concentration
1986,1,0
1986,2,0
1986,3,0
1986,4,0
1986,5,0
1986,6,0
1986,7,0
1986,8,0
1986,9,0
1986,10,0
1986,11,0
1986,12,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,0
1987,11,0
1987,12,0
1988,1,0
1988,2,0
1988,3,0
1988,4,0
1988,5,0
1988,6,0
1988,7,0
1988,8,0
1988,9,0
1988,10,0
1988,11,0
1988,12,0
1989,1,0
1989,2,0
1989,3,0
1989,4,0
1989,5,0
1989,6,0
1989,7,0
1989,8,0
1989,9,0
1989,10,0
1989,11,0
1989,12,0
1990,1,0
1990,2,0
1990,3,0
1990,4,0
1990,5,0
1990,6,0
1990,7,0
1990,8,0
1990,9,0
1990,10,0
1990,11,0
1990,12,0
1991,1,0
1991,2,0
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0
1991,9,0
1991,10,0
1991,11,0
1991,12,0
1992,1,0
1992,2,0
1992,3,0
1992,4,0
1992,5,0
1992,6,0
1992,7,0
1992,8,0
1992,9,0
1992,10,0
1992,11,0
1992,12,0
1993,1,0
1993,2,0
1993,3,0
1993,4,0
1993,5,0
1993,6,0
1993,7,0
1993,8,0
1993,9,0
1993,10,0
1993,11,0
1993,12,0
1994,1,0
1994,2,0
1994,3,0
1994,4,0
1994,5,0
1994,6,0
1994,7,0
1994,8,0
1994,9,0
1994,10,0
1994,11,0
1994,12,0
1995,1,0
1995,2,0
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,0
1995,9,0
1995,10,0
1995,11,0
1995,12,0
1996,1,0
1996,2,0
1996,3,0
1996,4,0
1996,5,0
1996,6,0
1996,7,0
1996,8,0
1996,9,0
1996,10,0
1996,11,0
1996,12,0
1997,1,0
1997,2,0
1997,3,0
1997,4,0
1997,5,0
1997,6,0
1997,7,0
1997,8,0
1997,9,0
1997,10,0
1997,11,0
1997,12,0
1998,1,0
1998,2,0
1998,3,0
1998,4,0
1998,5,0
1998,6,0
1998,7,0
1998,8,16.8785560001367
1998,9,22.5907280629371
1998,10,22.7597680308837
1998,11,22.9068433410186
1998,12,23.0345922711174
1999,1,23.1684745765256
1999,2,23.5230756459122
1999,3,24.0008039966161
1999,4,24.4757377599368
1999,5,24.7749220052261
1999,6,24.8481879378125
1999,7,24.9464745442328
1999,8,25.2549416955599
1999,9,25.6913993845524
1999,10,25.9219526789065
1999,11,25.9567172384983
1999,12,26.0843376010863
2000,1,26.0166021655923
2000,2,25.9178676630715
2000,3,25.8248371716755
2000,4,25.8224418590478
2000,5,25.9068428267954
2000,6,25.952163803612
2000,7,26.0495811812637
2000,8,26.2150459000721
2000,9,26.3090165717654
2000,10,26.3488983479195
2000,11,26.2618997632689
2000,12,26.08595101192
2001,1,25.798681089208
2001,2,25.614570214754
2001,3,25.5432662393566
2001,4,25.3995895515649
2001,5,25.377054476853
2001,6,25.2762918485591
2001,7,24.8031409518501
2001,8,24.32289183437
2001,9,23.7242492273353
2001,10,23.266254083374
2001,11,22.3469714587768
2001,12,21.6945439500069
2002,1,21.499797107345
2002,2,21.200222700226
2002,3,21.1622235342734
2002,4,21.093748083016
2002,5,21.0473905567684
2002,6,20.8573885630375
2002,7,20.6631668258547
2002,8,20.0339482597208
2002,9,19.7961447840665
2002,10,19.6470298093196
2002,11,19.3622304299098
2002,12,19.2593547085768
2003,1,19.1122905969369
2003,2,18.6408856280632
2003,3,18.5404062264946
2003,4,18.5278747183681
2003,5,18.48923103945
2003,6,18.3942787128753
2003,7,18.3563113400026
2003,8,18.2215558545471
2003,9,18.2513323042392
2003,10,18.2562508397272
2003,11,18.241448288663
2003,12,18.229691634146
2004,1,18.202921889881
2004,2,18.004397909617
2004,3,17.9586651615477
2004,4,17.9303652040868
2004,5,17.8880239075035
2004,6,17.7421789220942
2004,7,17.6445267019315
2004,8,17.6469728963591
2004,9,17.6790848325836
2004,10,17.6666680000874
2004,11,17.6482551059422
2004,12,17.598725290841
2005,1,17.3551237227021
2005,2,17.2589704045293
2005,3,17.2192128591966
2005,4,17.0988763293761
2005,5,17.0712675903785
2005,6,16.9521792328722
2005,7,16.8629010513015
2005,8,16.8284880828688
2005,9,16.8149594573292
2005,10,16.7814392814435
2005,11,16.7624763950924
2005,12,16.8222141850571
2006,1,16.9430456018776
2006,2,16.9463140939732
2006,3,16.9398257981553
2006,4,16.9169403098715
2006,5,16.9020667535158
2006,6,16.9105965675756
2006,7,16.9003671703994
2006,8,16.891463114883
2006,9,16.9033413693979
2006,10,16.9083312036559
2006,11,16.8717582730972
2006,12,16.8168736276236
2007,1,16.8794332346916
2007,2,16.9031164123496
2007,3,16.8961471986506
2007,4,16.9069971418803
2007,5,16.9420996722466
2007,6,16.9458672473467
2007,7,16.9975934186135
2007,8,17.0232722719756
2007,9,17.0012562214587
2007,10,17.0128959039385
