Year,Month,Concentration
1986,1,3.181060054821
1986,2,3.181060054821
1986,3,3.181060054821
1986,4,3.181060054821
1986,5,3.18393044166167
1986,6,3.18823602192267
1986,7,3.18823602192267
1986,8,3.18823602192267
1986,9,3.18823602192267
1986,10,3.18823602192267
1986,11,3.18823602192267
1986,12,3.18823602192267
1987,1,3.18823602192267
1987,2,3.20553385712178
1987,3,3.26188278924574
1987,4,3.28066576662039
1987,5,3.28066576662039
1987,6,3.28066576662039
1987,7,3.28066576662039
1987,8,3.28066576662039
1987,9,3.28066576662039
1987,10,3.29203680480682
1987,11,3.2996174969311
1987,12,3.2996174969311
1988,1,3.27505579588836
1988,2,3.23277924476925
1988,3,3.23277924476925
1988,4,3.22925708027042
1988,5,3.21969842802678
1988,6,3.2067139609234
1988,7,3.1970256241384
1988,8,3.17535531595956
1988,9,3.15609031579135
1988,10,3.15609031579135
1988,11,3.15609031579135
1988,12,3.15245466818052
1989,1,3.15366415464299
1989,2,3.16032150326664
1989,3,3.17385231305855
1989,4,3.19060809882505
1989,5,3.19352170454275
1989,6,3.19729917628549
1989,7,3.20622726873353
1989,8,3.20671460153403
1989,9,3.20794860975946
1989,10,3.21197254589701
1989,11,3.21849131729524
1989,12,3.21798219434991
1990,1,3.22010533505744
1990,2,3.22124579919339
1990,3,3.22244162716143
1990,4,3.22432195584858
1990,5,3.21929578301244
1990,6,3.21893841867574
1990,7,3.21154839456814
1990,8,3.14583651412606
1990,9,3.12413047554367
1990,10,3.11933633909524
1990,11,3.1041420081317
1990,12,3.10439788751
1991,1,3.10306427749713
1991,2,3.0974469679831
1991,3,3.0983549037796
1991,4,3.0981821524459
1991,5,3.10197086150514
1991,6,3.10148761545131
1991,7,3.10305579625385
1991,8,3.105312460232
1991,9,3.10634518499542
1991,10,3.10662592713521
1991,11,3.11424590090133
1991,12,3.11512079435782
1992,1,3.11528138715632
1992,2,3.11298562533546
1992,3,3.11260165954764
1992,4,3.12356706451525
1992,5,3.12973197416138
1992,6,3.13772000278315
1992,7,3.13924835754236
1992,8,3.14814563121956
1992,9,3.15135441683273
1992,10,3.15135441683273
1992,11,3.1527203796348
1992,12,3.15474931265678
1993,1,3.14929091031508
1993,2,3.14808648920176
1993,3,3.14757400680393
1993,4,3.14757400680393
1993,5,3.14740814530199
1993,6,3.14960473531088
1993,7,3.12802728180857
1993,8,3.12610408992091
1993,9,3.12623011146333
1993,10,3.1263132021019
1993,11,3.12634285182878
1993,12,3.12619703376132
1994,1,3.12258160394135
1994,2,3.12118260666854
1994,3,3.09768171944917
1994,4,3.04663554308457
1994,5,3.03724060848534
1994,6,3.01631795626976
1994,7,3.00997561525475
1994,8,3.00984327379951
1994,9,3.00781336184847
1994,10,3.00422731285468
1994,11,3.00297440745687
1994,12,2.9991936231515
1995,1,2.99708665180565
1995,2,2.9960475113328
1995,3,2.99191411373936
1995,4,2.9841953763681
1995,5,2.97943614282402
1995,6,2.98762530213785
1995,7,2.98657816697803
1995,8,2.9864229851152
1995,9,2.99136684490345
1995,10,2.98732010090299
1995,11,2.98952000886721
1995,12,3.00833394007856
1996,1,3.03967748948015
1996,2,3.04180122800059
1996,3,3.04316733924482
1996,4,3.04371165734646
1996,5,3.03828208280037
1996,6,3.03939680367051
1996,7,3.04463736601495
1996,8,3.05734012503664
1996,9,3.07434650616651
1996,10,3.08917003982374
1996,11,3.09783898585605
1996,12,3.10559453839213
1997,1,3.11357103425422
1997,2,3.11332787260694
1997,3,3.10967824675981
1997,4,3.11211424223852
1997,5,3.11541081966675
1997,6,3.11713618817072
1997,7,3.1142045441485
1997,8,3.14459362108807
1997,9,3.22220751871706
1997,10,3.27690824796889
1997,11,3.3046778971336
1997,12,3.30861410065857
1998,1,3.29637644998137
1998,2,3.3038137002449
1998,3,3.31526510234636
1998,4,3.31229578155628
1998,5,3.32297417902978
1998,6,3.34048191485776
1998,7,3.38088141243794
1998,8,3.44503215716353
1998,9,3.48953829735305
1998,10,3.62069130213835
1998,11,3.73595552145631
1998,12,3.7610133543184
1999,1,3.77510673825814
1999,2,3.79343635002082
1999,3,3.81151275438751
1999,4,2.30424703434734
1999,5,0
1999,6,1.9292201863945
1999,7,3.86446612948569
1999,8,2.89765960866038
1999,9,0
1999,10,0
1999,11,0
1999,12,0
2000,1,0
2000,2,0
2000,3,0
2000,4,0
2000,5,0
2000,6,0
2000,7,0
2000,8,0
2000,9,0
2000,10,0
2000,11,0
2000,12,0
2001,1,0
2001,2,12.2540105261056
2001,3,24.8244509087044
2001,4,24.861488847831
2001,5,24.8878423779391
2001,6,24.9212523854416
2001,7,24.5532929589983
2001,8,24.0280019785411
2001,9,23.8509038991092
2001,10,23.2772585830351
2001,11,21.9864567798069
2001,12,21.2380703922841
2002,1,21.1259049703768
2002,2,21.1731703883194
2002,3,21.3286614264825
2002,4,21.0700868388002
2002,5,21.1908125740188
2002,6,21.3895906709359
2002,7,21.5848563472756
2002,8,22.3461312903234
2002,9,24.6121563732236
2002,10,25.8754404712728
2002,11,26.2558143225875
2002,12,26.225128098884
2003,1,26.1154069921743
2003,2,26.5677940673726
2003,3,27.2061554347006
2003,4,27.5457853750263
2003,5,27.4636747479768
2003,6,26.3588533095689
2003,7,25.2786155614168
2003,8,26.8869693032102
2003,9,28.5506988528782
2003,10,24.0504886257879
2003,11,3.36719709823003
2003,12,3.53004060159537
2004,1,3.52397417299026
2004,2,10.1233845655038
2004,3,29.0445617013863
2004,4,30.1409267990786
2004,5,30.3386438184226
2004,6,29.9861493894413
2004,7,31.2033526196879
2004,8,17.4637193777638
2004,9,3.50100845287199
2004,10,3.48652239799429
2004,11,3.48582552073839
2004,12,14.5296636562523
2005,1,30.9245677715643
2005,2,31.0446386260595
