Year,Month,Concentration
1986,1,30.3148717540907
1986,2,30.3148717540907
1986,3,30.3148717540907
1986,4,30.3148717540907
1986,5,30.3148717540907
1986,6,30.3148717540907
1986,7,30.3148717540907
1986,8,30.3148717540907
1986,9,30.3148717540907
1986,10,30.3148717540907
1986,11,30.3148717540907
1986,12,30.3148717540907
1987,1,30.3148717540907
1987,2,30.3148717540907
1987,3,30.3148717540907
1987,4,30.3148717540907
1987,5,30.3148717540907
1987,6,30.3148717540907
1987,7,30.3148717540907
1987,8,30.3148717540907
1987,9,30.3148717540907
1987,10,30.3148717540907
1987,11,30.3148717540907
1987,12,30.3279306749429
1988,1,30.3322836485603
1988,2,30.3322836485603
1988,3,30.3322836485603
1988,4,30.3322836485603
1988,5,30.3335684194669
1988,6,30.3368697333801
1988,7,30.3789119871436
1988,8,30.3950924698572
1988,9,30.3934001672885
1988,10,30.3896597656003
1988,11,30.3912110000534
1988,12,30.3755416498041
1989,1,30.3719820072716
1989,2,30.5569766429302
1989,3,30.6949243110248
1989,4,30.7434003604908
1989,5,30.7434003604908
1989,6,30.7434003604908
1989,7,30.7434003604908
1989,8,30.7434003604908
1989,9,30.7445550692825
1989,10,30.7648515292687
1989,11,30.7844809270493
1989,12,30.7853056580428
1990,1,30.7852930399845
1990,2,30.7852804219261
1990,3,30.8073264983481
1990,4,30.8432601240472
1990,5,30.8147610633613
1990,6,30.8147610633613
1990,7,30.8020895586596
1990,8,30.7903780620862
1990,9,30.7903780620862
1990,10,30.7903780620862
1990,11,30.7881318876581
1990,12,30.7927140049168
1991,1,30.7953430742255
1991,2,30.7815505680826
1991,3,30.7803019175109
1991,4,30.8002275896557
1991,5,30.7999570720826
1991,6,30.806344909108
1991,7,30.8406991592603
1991,8,30.8771014007824
1991,9,30.8817006273315
1991,10,30.8855259621391
1991,11,30.9102155409016
1991,12,30.9116789967515
1992,1,30.8486599140868
1992,2,30.8050778227687
1992,3,30.8003697141435
1992,4,30.7804698938288
1992,5,30.7149985934035
1992,6,30.7267613549897
1992,7,30.7267613549897
1992,8,30.746759753916
1992,9,30.7544674173075
1992,10,30.7404065455645
1992,11,30.8729159651316
1992,12,31.0207592600224
1993,1,31.0334955025913
1993,2,31.0781880625494
1993,3,31.0851870784379
1993,4,31.100428282673
