Year,Month,Concentration
1986,1,22.9304781269613
1986,2,22.9304781269613
1986,3,22.9304781269613
1986,4,22.9304781269613
1986,5,22.9304781269613
1986,6,22.9304781269613
1986,7,22.9304781269613
1986,8,22.9304781269613
1986,9,22.9304781269613
1986,10,22.9304781269613
1986,11,22.9304781269613
1986,12,22.9211037769337
1987,1,22.9111741316971
1987,2,22.9111741316971
1987,3,22.9111741316971
1987,4,22.9111741316971
1987,5,22.9111741316971
1987,6,22.9111741316971
1987,7,22.9111741316971
1987,8,22.9111741316971
1987,9,22.9111741316971
1987,10,22.9111741316971
1987,11,22.9133097876855
1987,12,22.9140216730149
1988,1,22.8994864853159
1988,2,22.8897963601833
1988,3,22.8873620434338
1988,4,22.8873620434338
1988,5,22.8873620434338
1988,6,22.8873620434338
1988,7,22.8873620434338
1988,8,22.8873620434338
1988,9,22.8873620434338
1988,10,22.8873620434338
1988,11,22.8873620434338
1988,12,22.8890307776116
1989,1,22.8901432670636
1989,2,22.9007558346871
1989,3,22.9378589770489
1989,4,22.9451885725386
1989,5,22.9451885725386
1989,6,22.9451885725386
1989,7,22.950574607319
1989,8,22.9545487183937
1989,9,22.9542795066384
1989,10,22.9542795066384
1989,11,22.9611548742486
1989,12,22.9611548742486
1990,1,22.961508001749
1990,2,22.9624027493611
1990,3,22.9624027493611
1990,4,22.9091481792111
1990,5,22.8879970408073
1990,6,22.8879970408073
1990,7,22.8851230970332
1990,8,22.894186612311
1990,9,22.8947380405769
1990,10,22.8947380405769
1990,11,22.8752388198448
1990,12,22.8684457195076
1991,1,22.868451409495
1991,2,22.867940834793
1991,3,22.8627816508626
1991,4,22.8551433976812
1991,5,22.8551433976812
1991,6,22.8616679316839
1991,7,22.8616679316839
1991,8,22.8415732111415
1991,9,22.8105543110969
1991,10,22.8105543110969
1991,11,22.8124554976181
1991,12,22.8124554976181
1992,1,22.8046796253682
1992,2,22.7986323305277
1992,3,22.7871560814651
1992,4,22.7581586407917
1992,5,22.7047316859519
1992,6,22.7047316859519
1992,7,22.7114063226013
1992,8,22.7200760797512
1992,9,22.7113858907649
1992,10,22.70914399771
1992,11,22.7064956621007
1992,12,22.7372600897427
1993,1,22.7597906194754
1993,2,22.7605852208999
1993,3,22.8203132408387
1993,4,22.8458765075664
1993,5,22.8590208020368
1993,6,22.8663114058081
1993,7,22.8797360184839
1993,8,22.8940410542511
1993,9,22.9114992790763
1993,10,22.9114992790763
1993,11,22.9114992790763
1993,12,22.9114992790763
1994,1,22.911904438103
1994,2,22.9095409174518
1994,3,22.8830412648581
1994,4,22.8806770320908
1994,5,22.8806770320908
1994,6,22.8788896291603
1994,7,22.8782938281835
1994,8,22.8782938281835
1994,9,22.8870207415565
1994,10,22.9193184056537
1994,11,22.9156732066208
1994,12,22.9149051373608
1995,1,22.9149051373608
1995,2,22.9149051373608
1995,3,22.9435475455607
1995,4,22.9526870877487
1995,5,23.2500406589031
1995,6,23.2524594725934
1995,7,23.2518493295552
1995,8,23.2518493295552
1995,9,23.3240557249444
1995,10,23.4375217274566
