Year,Month,Concentration
1986,1,37.4647068983208
1986,2,37.4647068983208
1986,3,37.4647068983208
1986,4,37.4647068983208
1986,5,37.4647068983208
1986,6,37.4647068983208
1986,7,37.4647068983208
1986,8,37.4647068983208
1986,9,37.4647068983208
1986,10,37.4647068983208
1986,11,37.4647068983208
1986,12,37.4647068983208
1987,1,37.4647068983208
1987,2,37.4647068983208
1987,3,37.4614762983522
1987,4,37.4517844984465
1987,5,37.3798868395979
1987,6,37.3798868395979
1987,7,37.3798868395979
1987,8,37.3798868395979
1987,9,37.3798868395979
1987,10,37.3798868395979
1987,11,37.3798868395979
1987,12,37.3825380494633
1988,1,37.4024220761662
1988,2,37.4150889362202
1988,3,37.4150889362202
1988,4,37.4180827948729
1988,5,37.4155691473733
1988,6,37.4110595941051
1988,7,37.4351942702356
1988,8,37.4602257231952
1988,9,37.3686487830757
1988,10,37.3089012167401
1988,11,37.304045704243
1988,12,37.3194371160164
1989,1,37.3452556045227
1989,2,39.1001766721024
1989,3,40.3807509694125
1989,4,40.4935997539886
1989,5,40.516268102504
1989,6,40.5155344706906
1989,7,40.5184843344294
1989,8,40.5168055139348
1989,9,40.5273877146559
1989,10,40.8975772700881
1989,11,41.0315267119458
1989,12,41.0386605040382
1990,1,41.157972809445
1990,2,41.3493141506768
1990,3,41.6294409096914
1990,4,42.2900657329998
1990,5,42.5194591914376
1990,6,42.5339890573928
1990,7,42.6791684543054
1990,8,42.6848799598548
1990,9,42.669855544975
1990,10,42.6409479915997
1990,11,42.6302926327336
1990,12,42.6302926327336
1991,1,42.6302926327336
1991,2,43.0042455638083
1991,3,43.1356111183196
1991,4,43.2992115845894
1991,5,43.3694264309629
1991,6,43.3687120292572
1991,7,43.3943258543106
1991,8,43.324614929202
1991,9,43.3006821444796
1991,10,43.3006821444796
1991,11,43.53693852586
1991,12,43.5360285722517
1992,1,43.4593985233061
1992,2,43.3600512567694
1992,3,43.317660516596
1992,4,43.2586269650963
1992,5,43.236193354964
1992,6,43.3180668202442
1992,7,43.3430899076848
1992,8,43.2721142480979
1992,9,43.2379512019984
1992,10,43.230190398227
1992,11,43.1705413379513
1992,12,43.1822461939735
1993,1,43.1576786635186
1993,2,43.1620945970808
1993,3,43.163854457973
1993,4,43.1545755699041
1993,5,43.1387470797475
1993,6,42.7088228295615
1993,7,42.7088228295615
1993,8,42.6890310742604
1993,9,42.629655808357
1993,10,42.629655808357
1993,11,42.629655808357
1993,12,42.5835212782707
1994,1,42.5540452559951
1994,2,42.5002180867331
1994,3,41.9243740822154
1994,4,41.9205412894829
1994,5,41.8888544368198
1994,6,41.778199900531
1994,7,41.6505414103298
1994,8,41.6505414103298
1994,9,41.2767447388104
1994,10,41.2634799819787
1994,11,41.2670025068587
1994,12,41.2070855939547
1995,1,41.1671409853519
1995,2,41.1671409853519
1995,3,40.9664566116194
1995,4,40.805551671578
1995,5,40.7712709871702
1995,6,40.555234145991
1995,7,40.5177561880262
1995,8,40.4535756991281
1995,9,40.2610342324336
1995,10,40.2138929230337
1995,11,40.1559029848525
1995,12,40.0638528609067
1996,1,40.0342959105972
1996,2,39.8499122565122
1996,3,39.6604059036055
1996,4,39.3932228654925
1996,5,39.2919168143914
1996,6,39.1787384254723
1996,7,38.9405496945847
1996,8,38.7053477012016
1996,9,37.8793228054106
1996,10,37.8004812205164
1996,11,37.1562666394404
1996,12,36.0065081287798
1997,1,35.9121847628144
1997,2,35.8993609882009
1997,3,35.6079960889263
1997,4,35.5728954624035
1997,5,35.5623056378645
1997,6,35.5541796309082
1997,7,35.3682367157221
1997,8,35.2780965377448
1997,9,35.2050101830347
1997,10,34.8453414267028
1997,11,34.6559605132186
1997,12,34.4288157316479
1998,1,34.3395330837295
1998,2,34.2767325925828
