Year,Month,Concentration
1986,1,0
1986,2,0
1986,3,0
1986,4,0
1986,5,0
1986,6,0
1986,7,0
1986,8,0
1986,9,0
1986,10,0
1986,11,0
1986,12,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,0
1987,11,0
1987,12,0
1988,1,0
1988,2,0
1988,3,0
1988,4,0
1988,5,0
1988,6,0
1988,7,0
1988,8,0
1988,9,0
1988,10,0
1988,11,0
1988,12,0
1989,1,0
1989,2,0
1989,3,0
1989,4,0
1989,5,0
1989,6,0
1989,7,0
1989,8,0
1989,9,0
1989,10,0
1989,11,0
1989,12,0
1990,1,0
1990,2,0
1990,3,0
1990,4,0
1990,5,0
1990,6,0
1990,7,0
1990,8,0
1990,9,0
1990,10,0
1990,11,0
1990,12,0
1991,1,0
1991,2,0
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0
1991,9,0
1991,10,0
1991,11,0
1991,12,0
1992,1,0
1992,2,0
1992,3,0
1992,4,0
1992,5,0
1992,6,0
1992,7,0
1992,8,0
1992,9,0
1992,10,0
1992,11,0
1992,12,0
1993,1,0
1993,2,0
1993,3,0
1993,4,0
1993,5,0
1993,6,0
1993,7,0
1993,8,0
1993,9,0
1993,10,0
1993,11,0
1993,12,0
1994,1,0
1994,2,0
1994,3,0
1994,4,0
1994,5,0
1994,6,0
1994,7,0
1994,8,0
1994,9,0
1994,10,0
1994,11,0
1994,12,0
1995,1,0
1995,2,0
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,0
1995,9,0
1995,10,0
1995,11,0
1995,12,0
1996,1,0
1996,2,0
1996,3,0
1996,4,0
1996,5,18.6077789819367
1996,6,23.2554559471201
1996,7,23.2554559471201
1996,8,23.2554559471201
1996,9,23.2579047065786
1996,10,23.260353466037
1996,11,23.2622300149514
1996,12,23.3124679445925
1997,1,23.3115703050072
1997,2,23.2818192144871
1997,3,23.2201647928275
1997,4,23.2351727967482
1997,5,23.2460182995262
1997,6,23.3276498415641
1997,7,23.328233057245
1997,8,23.3652593685424
1997,9,23.4478285658438
1997,10,23.4537214636532
1997,11,23.4364049227314
1997,12,23.4156242043681
1998,1,23.4845680903513
1998,2,23.5379899186775
1998,3,23.5379899186775
1998,4,23.6207842239006
1998,5,23.6496773087674
1998,6,23.7008160521083
1998,7,23.735428524917
1998,8,23.7421960054211
1998,9,23.7658551297837
1998,10,23.7720923206486
1998,11,23.9082709911622
1998,12,24.0716045143378
1999,1,24.393102306294
1999,2,24.5508473702109
1999,3,25.2637854010677
1999,4,25.7813164210941
1999,5,26.5176464941785
1999,6,26.6891434038562
1999,7,26.8060303028852
1999,8,26.8931275814024
1999,9,27.0231155648228
1999,10,27.3289136780449
1999,11,27.3840224584002
1999,12,27.3801103151636
2000,1,27.3864729513325
2000,2,27.4169380581283
2000,3,27.4958175830086
2000,4,27.8726318863693
2000,5,28.4570485804112
2000,6,28.7195047811289
2000,7,28.7976165059508
2000,8,28.7857691592982
2000,9,28.7903913757604
2000,10,28.8078514173188
2000,11,28.8270667949064
2000,12,28.9522117404727
2001,1,28.9751956834983
2001,2,29.1207084838751
2001,3,29.2686651425584
2001,4,29.4950141602684
2001,5,29.848318438929
2001,6,30.2725155369641
2001,7,30.4021937757611
2001,8,30.4912554701673
2001,9,30.6193361492782
2001,10,30.6214481639995
2001,11,30.6980629766894
2001,12,31.2011285773589
2002,1,33.0267256838033
2002,2,34.2865134502906
2002,3,34.6912593497618
2002,4,35.8385204848251
2002,5,36.5765838570155
2002,6,37.2559415655141
2002,7,37.6072225359137
2002,8,38.1219616863282
2002,9,38.412310702068
2002,10,38.6563163470273
2002,11,38.9664561371168
2002,12,39.0536668753246
2003,1,39.1849301366037
2003,2,39.3101831735401
2003,3,39.3404319990842
2003,4,39.3676473423028
2003,5,39.3765251548751
2003,6,39.4562544376963
2003,7,39.5647065303567
2003,8,39.5923399907281
2003,9,39.5589735628961
2003,10,39.5436711385265
2003,11,39.5410154694021
2003,12,39.5002962533722
2004,1,39.4811060739713
2004,2,39.4784400033884
2004,3,39.4668557236288
2004,4,39.405364618994
2004,5,39.3816933371604
2004,6,39.3742811289369
2004,7,39.3808032365735
2004,8,39.3821913116727
2004,9,39.3844549785818
2004,10,39.4005357558631
2004,11,39.4135507284212
2004,12,39.4131235075383
2005,1,39.4136796032976
2005,2,39.4132291738836
2005,3,40.125624052927
2005,4,40.1466324408506
2005,5,40.1328272442707
2005,6,40.1328272442707
2005,7,40.1349600540325
2005,8,40.1304965710996
2005,9,39.5125820515911
2005,10,39.3660181315029
2005,11,39.3694226779689
2005,12,40.0219614647424
2006,1,40.211513191907
2006,2,39.9838982167752
2006,3,39.361412887207
2006,4,39.3589269357765
2006,5,39.3429740543506
2006,6,40.2049643867212
2006,7,40.2291083028584
2006,8,40.2103462226249
2006,9,39.5036612469952
