Year,Month,Concentration
1986,1,0
1986,2,0
1986,3,0
1986,4,0
1986,5,0
1986,6,0
1986,7,0
1986,8,0
1986,9,0
1986,10,0
1986,11,0
1986,12,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,0
1987,11,0
1987,12,0
1988,1,0
1988,2,0
1988,3,0
1988,4,0
1988,5,0
1988,6,0
1988,7,0
1988,8,0
1988,9,0
1988,10,0
1988,11,0
1988,12,0
1989,1,0
1989,2,0
1989,3,0
1989,4,0
1989,5,0
1989,6,0
1989,7,0
1989,8,0
1989,9,0
1989,10,0
1989,11,0
1989,12,0
1990,1,0
1990,2,0
1990,3,0
1990,4,0
1990,5,0
1990,6,0
1990,7,0
1990,8,0
1990,9,0
1990,10,0
1990,11,0
1990,12,0
1991,1,0
1991,2,0
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0
1991,9,0
1991,10,0
1991,11,0
1991,12,0
1992,1,0
1992,2,0
1992,3,0
1992,4,0
1992,5,0
1992,6,0
1992,7,0
1992,8,0
1992,9,0
1992,10,0
1992,11,0
1992,12,0
1993,1,0
1993,2,0
1993,3,0
1993,4,0
1993,5,0
1993,6,0
1993,7,0
1993,8,0
1993,9,0
1993,10,0
1993,11,0
1993,12,0
1994,1,0
1994,2,0
1994,3,0
1994,4,0
1994,5,0
1994,6,0
1994,7,0
1994,8,0
1994,9,0
1994,10,0
1994,11,0
1994,12,0
1995,1,0
1995,2,0
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,0
1995,9,0
1995,10,0
1995,11,0
1995,12,0
1996,1,0
1996,2,0
1996,3,0
1996,4,0
1996,5,0
1996,6,0
1996,7,0
1996,8,0
1996,9,0
1996,10,0
1996,11,0
1996,12,0
1997,1,0
1997,2,0
1997,3,0
1997,4,0
1997,5,0
1997,6,0
1997,7,0
1997,8,0.481632614944051
1997,9,2.41165139116629
1997,10,2.41721712714071
1997,11,2.44407043858485
1997,12,2.46055969303374
1998,1,2.46717736046239
1998,2,2.48968585451813
1998,3,2.59822498591617
1998,4,2.64387822315801
1998,5,2.7203575526332
1998,6,2.84491133567572
1998,7,2.87213928556839
1998,8,2.88759639122911
1998,9,2.91117584424239
1998,10,2.91824413907128
1998,11,2.90083449565037
1998,12,2.88440594354324
1999,1,2.89516275761682
1999,2,2.91842117375364
1999,3,2.95474815213949
1999,4,2.96237204589063
1999,5,2.9655292614884
1999,6,2.97090156083624
1999,7,2.97912581226028
1999,8,2.98742033137677
1999,9,2.99232357015927
1999,10,2.97713133412583
1999,11,2.97038687934958
1999,12,2.97005284863517
2000,1,2.96800201400445
2000,2,2.9407475372848
2000,3,2.8748438691461
2000,4,2.85061046023334
2000,5,2.7721507810711
2000,6,2.55522527561145
2000,7,2.45561171958869
2000,8,2.42943219577677
2000,9,2.48171820712784
2000,10,2.55152462083291
2000,11,2.55876270123066
2000,12,2.55866453671905
2001,1,2.56457874966671
2001,2,2.61694283300333
2001,3,2.6587633585796
2001,4,2.69964700903194
2001,5,2.75695651878815
2001,6,2.83498790366042
2001,7,2.88458877920653
2001,8,2.93196858616664
2001,9,2.953382900027
2001,10,3.02857056254138
2001,11,3.04262037578558
2001,12,3.04966035974564
2002,1,3.0532574251748
2002,2,3.06439682080121
2002,3,3.08896137174455
2002,4,3.15964109283613
2002,5,3.15942760366523
2002,6,3.12550858137448
2002,7,3.05439462630117
2002,8,3.0301419639156
2002,9,2.96736791246367
2002,10,2.91990585297059
2002,11,2.9140756952787
2002,12,2.90822766548052
2003,1,2.90804477036145
2003,2,2.90713254842846
2003,3,2.89790357562782
2003,4,2.89239825672518
2003,5,2.88753053808533
2003,6,2.88359043359253
2003,7,2.88231198217459
2003,8,2.87083084688105
2003,9,2.87029420612531
2003,10,2.8732332623716
2003,11,2.8743002708591
2003,12,2.8677333415807
2004,1,2.86454439411643
2004,2,11.091958404056
2004,3,35.7876536729298
2004,4,35.86763575067
2004,5,35.9701950525827
2004,6,35.9862398800099
2004,7,36.0892896461084
2004,8,35.8911975590451
2004,9,35.8218360208466
2004,10,35.8199888919234
2004,11,35.9708116733974
2004,12,36.4110647721976
2005,1,36.8152361653021
2005,2,36.9498312452976
2005,3,37.115790912888
2005,4,37.1962870915287
2005,5,37.2306007408666
2005,6,37.2780564879158
2005,7,37.2810201159618
2005,8,37.2882535016229
2005,9,37.2942254008748
2005,10,37.3096821481123
2005,11,37.8739962992537
2005,12,37.9535138198303
2006,1,37.7192279441881
2006,2,37.7176360514997
2006,3,37.7470254316522
2006,4,37.7672579910817
2006,5,37.7715371168935
2006,6,37.7695418179505
2006,7,37.7657239964408
2006,8,37.6988244927912
2006,9,37.4920239756582
2006,10,37.4695161585444
2006,11,37.4726528867886
2006,12,37.5620212030322
2007,1,37.5879212056235
2007,2,37.3786586959861
2007,3,36.8793890168029
