Year,Month,Concentration
1986,1,8328.2713512336
1986,2,8328.2713512336
1986,3,8328.2713512336
1986,4,8328.2713512336
1986,5,8328.2713512336
1986,6,8328.2713512336
1986,7,8328.2713512336
1986,8,8328.2713512336
1986,9,8328.2713512336
1986,10,8328.2713512336
1986,11,8328.2713512336
1986,12,8328.2713512336
1987,1,8328.19286445356
1987,2,8327.87891733342
1987,3,8327.37418368833
1987,4,8327.35627445675
1987,5,8327.80728040712
1987,6,8327.80728040712
1987,7,8327.80728040712
1987,8,8327.80728040712
1987,9,8342.42943804317
1987,10,8352.14026626508
1987,11,8366.70650859795
1987,12,8366.70650859795
1988,1,8354.49834157192
1988,2,8350.58667675954
1988,3,8353.48944667288
1988,4,8356.61084954237
1988,5,8355.96554497715
1988,6,8357.29755822666
1988,7,8355.69232813173
1988,8,8339.71297615362
1988,9,8271.80231675196
1988,10,8244.69583821636
1988,11,8169.83407785907
1988,12,7979.99819112008
1989,1,7922.21639287698
1989,2,7901.96909664599
1989,3,7885.40056363768
1989,4,7884.40738966577
1989,5,7880.63285216477
1989,6,7826.79819093005
1989,7,7771.41138080118
1989,8,7745.31420722667
1989,9,7709.05317237938
1989,10,7660.71307284029
1989,11,7609.75837685019
1989,12,7562.24000810958
1990,1,7256.61208420258
1990,2,6974.52265251596
1990,3,6994.62490546765
1990,4,6985.1553368231
1990,5,6950.13367913331
1990,6,6869.8766918218
1990,7,6542.06714699289
1990,8,6338.67672630037
1990,9,6330.23356115821
1990,10,6295.72425874954
1990,11,6203.11123330175
1990,12,6201.63243772732
1991,1,6165.48030059041
1991,2,6057.08986816737
1991,3,6050.94043646543
1991,4,6035.05150510493
1991,5,6009.28279752884
1991,6,6001.64622369207
1991,7,6008.93672250164
1991,8,6034.62957222046
1991,9,6027.0288464509
1991,10,6022.83006772451
1991,11,6031.02826469022
1991,12,6031.21866240171
1992,1,6070.29077996879
1992,2,6038.23397917153
1992,3,6041.1845579793
1992,4,6040.70212384848
1992,5,6021.25186160393
1992,6,6017.19196273074
1992,7,5868.21146039066
1992,8,5804.30109082919
1992,9,5803.89580235229
1992,10,5802.4440411864
1992,11,5745.06626738142
1992,12,5734.32522001292
1993,1,5738.93288266376
1993,2,5741.47161921126
1993,3,5727.17933761819
1993,4,5729.11719765402
1993,5,5729.96156331843
1993,6,5709.24850033207
1993,7,5712.97223525544
1993,8,5710.86808375638
1993,9,5708.62411996898
1993,10,5693.97716154004
1993,11,5667.02094147777
1993,12,5598.99943951583
1994,1,5605.21047820132
1994,2,5612.14567533687
1994,3,5572.68564364077
1994,4,5515.28586891819
1994,5,5467.7852056134
1994,6,5312.99155372851
1994,7,4892.07029181134
1994,8,4886.37516193627
1994,9,4862.45442553727
1994,10,4688.442911667
1994,11,4586.25565116041
1994,12,4572.43311432486
1995,1,4569.05235397857
1995,2,4569.05235397857
1995,3,4553.07736133235
1995,4,1136.50272393574
1995,5,3.16736067971533
1995,6,3.16707174900772
1995,7,3.16547393401659
1995,8,3.16601220739766
1995,9,3.16400207374967
1995,10,3.16376796065633
1995,11,3.16518038406117
1995,12,3.16637330365448
1996,1,3.1657096441283
1996,2,3.16503606992803
1996,3,3.16727785646873
1996,4,3.17340984975123
1996,5,3.17157824001286
1996,6,3.17230501927464
1996,7,3.1749435307103
1996,8,3.17679689661855
1996,9,3.17761832673757
1996,10,3.17893178092096
1996,11,3.18114390006549
1996,12,3.18561446537396
1997,1,3.18852358153522
1997,2,3.19042347965382
1997,3,3.19417590948099
1997,4,3.20391256172017
1997,5,3.20718830467182
1997,6,3.20827511813545
1997,7,3.20878938866891
1997,8,3.21112269477036
1997,9,3.21800048881885
1997,10,3.22978024156832
1997,11,3.2548496127032
1997,12,3.25501171190419
1998,1,3.25386993242517
1998,2,3.24426768399225
1998,3,3.23048020556025
1998,4,3.24407119614863
1998,5,3.25554939577358
1998,6,3.25737851099989
1998,7,3.25945821773014
1998,8,3.26636061431831
1998,9,3.27530444607423
1998,10,3.28228632294161
1998,11,3.29132257956767
1998,12,3.3020961397798
1999,1,3.31023580937319
1999,2,3.3128728283478
1999,3,3.3171891993181
1999,4,3.31801655070536
1999,5,3.32003222452455
1999,6,3.32470833245157
1999,7,3.33178603738984
1999,8,3.3341960860905
1999,9,3.33751170954459
1999,10,3.33800029693507
1999,11,3.3350178153535
1999,12,3.33871501075309
2000,1,3.33140115634416
2000,2,3.32814658810666
2000,3,3.32013138272253
2000,4,3.31715207315338
2000,5,3.31420694593278
2000,6,3.30050646694112
2000,7,3.28332945112159
2000,8,3.27865665314546
2000,9,3.27145052954315
2000,10,3.26538869481895
2000,11,3.24645401258518
2000,12,3.24364686723645
2001,1,3.24476060131152
2001,2,3.24402061954323
2001,3,3.24112966027656
2001,4,3.23652261783742
2001,5,3.23603701825283
2001,6,3.23258509546403
2001,7,3.23121343035421
2001,8,3.22234850504234
2001,9,3.21825941960237
2001,10,3.20677036220002
2001,11,3.20741815233859
2001,12,3.2074715007729
2002,1,3.20627637399278
2002,2,3.20808399473589
2002,3,3.2061969370627
2002,4,3.20804024990104
2002,5,3.21502617869319
2002,6,3.21323170691198
2002,7,3.21190406527685
2002,8,3.21232449392409
2002,9,3.21474870446832
2002,10,3.21508941414814
2002,11,3.213001077601
2002,12,3.20922619644899
2003,1,3.20510139496538
2003,2,3.20135169424732
2003,3,3.1872760021202
2003,4,3.17942026499218
2003,5,3.16725257267859
2003,6,3.17026806756742
2003,7,3.17159296373016
2003,8,2433.13996785104
2003,9,3023.61989557237
2003,10,3009.8430805388
2003,11,3012.19240674805
2003,12,3013.62904612495
2004,1,3012.01605541473
2004,2,3010.97989696239
2004,3,3009.87376941481
2004,4,3006.75167487012
2004,5,2985.52954777299
2004,6,2974.38338610929
2004,7,2965.25847282855
2004,8,2946.24862896012
2004,9,2941.88732309297
2004,10,2941.67599550078
2004,11,2935.38054611006
2004,12,2921.95737974088
2005,1,2916.19684946066
2005,2,2913.29601641649
2005,3,2913.81343021636
2005,4,2923.27674365163
2005,5,2928.79312212359
2005,6,2922.28463852093
2005,7,2921.00943284077
2005,8,2905.90746425886
2005,9,2900.60473233152
2005,10,2897.91102804022
2005,11,2904.02654387834
2005,12,2907.92928567006
2006,1,2913.255498872
2006,2,2912.94136920139
2006,3,2910.75892939497
2006,4,2908.48662213389
2006,5,2903.55198505357
2006,6,2901.35043778215
2006,7,2894.10388395673
2006,8,2892.00394215176
2006,9,2891.84044134907
2006,10,2892.39449887163
2006,11,2889.77563548012
2006,12,2890.3659245645
2007,1,2890.72491119406
2007,2,2887.0507205971
2007,3,2886.03590623331
2007,4,2880.23969529222
2007,5,2878.24392398399
2007,6,2869.92669426144
2007,7,2860.51926100087
2007,8,2857.92794787229
2007,9,2853.33795762634
2007,10,2850.84012743356
2007,11,2850.1535564154
2007,12,2844.40795123982
2008,1,2835.59002112066
2008,2,2829.38833352758
2008,3,2829.61161770756
2008,4,2827.23771169753
2008,5,2830.47066503991
2008,6,2823.51328518601
2008,7,2820.04459515756
2008,8,2817.40629020567
2008,9,2810.98013875135
2008,10,564.738131319221
2008,11,3.05595540951707
2008,12,3.05638931974498
2009,1,3.05655818386777
2009,2,3.05729660466539
2009,3,3.05804642668145
2009,4,3.05848132849735
2009,5,3.0573279064579
2009,6,3.0546028493502
2009,7,3.05441409389541
2009,8,3.05644728447924
2009,9,3.05706751812287
2009,10,3.06031980384223
2009,11,3.06013928478618
2009,12,3.05581562324161
2010,1,3.05326562838008
2010,2,3.05185684400597
2010,3,3.05221025924883
2010,4,3.05215115158055
2010,5,3.05107006971089
