Year,Month,Concentration
1986,1,10361.014898757
1986,2,10361.014898757
1986,3,10361.014898757
1986,4,10357.2538290584
1986,5,10357.2538290584
1986,6,10357.2538290584
1986,7,10357.2538290584
1986,8,10357.2538290584
1986,9,10357.2538290584
1986,10,10357.2538290584
1986,11,10357.2538290584
1986,12,10358.0858297085
1987,1,10361.5423183026
1987,2,10361.5423183026
1987,3,10361.5423183026
1987,4,10362.0095695545
1987,5,10363.4113233104
1987,6,10363.4113233104
1987,7,10364.2055049639
1987,8,10365.3967774443
1987,9,10388.6255239104
1987,10,10397.8724286083
1987,11,10413.9781039262
1987,12,10413.9781039262
1988,1,10419.4557170731
1988,2,10423.107459171
1988,3,10423.107459171
1988,4,10428.291258424
1988,5,10432.3247294679
1988,6,10432.2508808263
1988,7,10432.2508808263
1988,8,10371.9917135206
1988,9,10356.1983566023
1988,10,10354.9602610246
1988,11,10345.6579581914
1988,12,10335.0880675638
1989,1,10336.0490945019
1989,2,10326.6344852038
1989,3,10321.4497233063
1989,4,10284.5849238927
1989,5,10284.0941127189
1989,6,10280.196878419
1989,7,10255.5189490553
1989,8,10233.0440492123
1989,9,10167.7339746498
1989,10,10142.0035834399
1989,11,10138.3764024208
1989,12,10108.6649265511
1990,1,9949.70736581768
1990,2,9737.37433083139
1990,3,9724.89575586422
1990,4,9710.44942696451
1990,5,9671.80369092937
1990,6,9458.02952879412
1990,7,9010.84400029154
1990,8,8871.39539209831
1990,9,8868.01230662407
1990,10,8853.89109736559
1990,11,8713.45870075774
1990,12,8712.76609541387
1991,1,8595.34842936828
1991,2,8195.44353338648
1991,3,8168.35405085266
1991,4,8150.50985798375
1991,5,8098.75783831639
1991,6,8081.83148987418
1991,7,8083.60630121297
1991,8,8060.15747960409
1991,9,8024.96142731982
1991,10,8016.38800558333
1991,11,7943.79114785889
1991,12,7926.6425311111
1992,1,7924.49140676512
1992,2,7896.08959320108
1992,3,7896.08959320108
1992,4,7884.29881150372
1992,5,7788.71006490882
1992,6,7756.42126792506
1992,7,7692.79989726369
1992,8,7598.3660285335
1992,9,7575.27246919847
1992,10,7574.86674553275
1992,11,7544.75013996802
1992,12,7526.63527704947
1993,1,7526.63527704947
1993,2,7526.63527704947
1993,3,7453.06921381155
1993,4,7454.45458762291
1993,5,7398.21758311706
1993,6,7289.38982366525
1993,7,7282.19581879712
1993,8,7251.57640853892
1993,9,7250.08230937849
1993,10,7092.95299011424
1993,11,6996.89773906724
1993,12,6983.47644826437
1994,1,6947.45597556016
1994,2,6919.40724912755
1994,3,6871.14174002723
1994,4,6807.51725057512
1994,5,6746.74142640989
1994,6,6606.54010033748
1994,7,6210.69339737595
1994,8,6188.05027534936
1994,9,5653.49525823479
1994,10,5367.16694364782
1994,11,5330.02751537921
1994,12,5298.37908973266
1995,1,5271.33850541744
1995,2,5269.44848456569
1995,3,5256.93383802372
1995,4,5218.5691416441
1995,5,5194.92076942577
1995,6,5190.96505429434
1995,7,5184.68208324551
1995,8,5184.68208324551
1995,9,5183.22622384647
1995,10,5169.63866384891
1995,11,5167.19730303063
1995,12,5159.84086944477
1996,1,5146.58110175223
1996,2,5133.02411250437
1996,3,5127.04107069731
1996,4,5115.15391189911
1996,5,5115.15391189911
1996,6,5106.70686575089
1996,7,5078.37107930231
1996,8,5076.72787575201
1996,9,5074.44145955084
1996,10,5078.52126590609
1996,11,5073.82882317885
1996,12,5136.97698595518
1997,1,5147.91890345749
1997,2,5144.46861027981
1997,3,5151.74068087115
1997,4,5150.28352870303
1997,5,5130.88652342561
1997,6,5127.58851351071
1997,7,5127.04985000377
1997,8,5096.44964925877
1997,9,5071.91243689664
1997,10,5046.57665389934
1997,11,4964.19364626987
1997,12,4831.55390536289
1998,1,4768.3947475864
1998,2,4647.97033626047
1998,3,4557.3763448225
1998,4,4516.58420591143
1998,5,4456.35343277751
1998,6,4305.56299773458
1998,7,4213.41819624421
1998,8,4116.68300378446
1998,9,4065.114155445
1998,10,4020.69922968969
1998,11,3974.76955716932
1998,12,3898.80902706025
1999,1,3892.10019287008
1999,2,3866.68206450965
1999,3,3793.97959511238
1999,4,3709.38184977285
1999,5,3648.41882936412
1999,6,3621.59157212153
1999,7,3598.42316383184
1999,8,3574.98416313685
1999,9,3570.8767359592
1999,10,3551.22508938128
1999,11,3543.06879086724
1999,12,3533.9989131897
2000,1,3511.24457926991
2000,2,3430.29359827724
2000,3,3358.38657914303
2000,4,3350.48769641827
2000,5,3300.12498594669
2000,6,2942.13587855787
2000,7,2856.19495987883
2000,8,2851.95546284682
2000,9,2824.48945074031
2000,10,2820.65216498638
2000,11,2830.52979598017
2000,12,2822.61555462915
2001,1,2809.72024071725
2001,2,2803.91839784087
2001,3,2789.39878185769
2001,4,2717.85604701388
2001,5,2647.37506297027
2001,6,2574.81878234425
2001,7,2558.6313968255
2001,8,2528.76900271924
2001,9,2466.26844358303
2001,10,2362.93500305282
2001,11,2332.06492618452
2001,12,2290.0249908864
2002,1,2267.13463307635
2002,2,2245.30617380266
2002,3,2210.0799726297
2002,4,2186.66697863346
2002,5,2094.40160280232
2002,6,1979.92188834831
2002,7,1911.16340153179
2002,8,1870.65356384026
2002,9,1864.35395678866
2002,10,1865.43318081118
2002,11,1836.83603579612
2002,12,1807.71691919932
2003,1,1797.37295753147
2003,2,1764.63090720931
2003,3,1735.77142209715
2003,4,1709.23042816473
2003,5,1667.77564247908
2003,6,1667.75484186809
2003,7,936.034022354417
2003,8,686.817131084271
2003,9,681.125730779557
2003,10,674.808890460238
2003,11,668.591368164678
2003,12,664.165903483366
2004,1,658.24185250723
2004,2,652.391496721105
2004,3,648.597228879247
2004,4,636.701956427513
2004,5,621.581532028694
2004,6,613.710005819576
2004,7,604.511487810988
2004,8,590.964814322063
2004,9,580.831474167506
2004,10,579.211917379153
2004,11,578.625228862193
2004,12,563.18219983482
2005,1,550.999430888577
2005,2,549.613177464505
2005,3,546.859397153082
2005,4,537.923380684218
2005,5,524.097863498165
2005,6,539.7627197816
2005,7,544.71745047013
2005,8,542.324676322892
2005,9,541.767249988131
2005,10,541.309690935151
2005,11,540.661623134356
2005,12,538.474082194715
2006,1,534.436173366184
2006,2,532.067143392137
2006,3,529.807941680432
2006,4,524.777129843491
2006,5,516.784085165915
2006,6,512.233824882349
2006,7,510.283762171197
2006,8,507.846287954342
2006,9,506.021167173054
2006,10,504.330393579498
2006,11,274.869103957022
2006,12,197.488250088894
2007,1,195.121581884404
2007,2,193.780495051323
2007,3,192.991927778373
2007,4,191.89260876603
2007,5,191.404701765097
2007,6,191.056713888322
2007,7,190.654897039721
2007,8,190.099599409436
2007,9,189.564774869081
2007,10,188.992470509618
2007,11,188.347032894294
2007,12,187.758398902071
2008,1,186.694627687512
2008,2,185.454771876346
2008,3,185.065353151678
2008,4,184.853797854388
2008,5,184.564809930625
2008,6,184.317474950932
2008,7,184.160741462572
2008,8,182.929717332366
2008,9,181.548025160995
2008,10,181.287484929306
2008,11,181.174454741211
2008,12,181.161760489962
2009,1,181.255388073902
2009,2,181.136684686242
2009,3,180.676314999459
2009,4,180.251225554075
2009,5,179.960198190843
2009,6,179.476420774382
2009,7,179.187788408485
2009,8,178.941013377565
2009,9,178.078562387079
2009,10,177.580777788768
2009,11,177.160539351141
2009,12,176.794828572934
2010,1,176.655226724912
2010,2,176.396843539278
2010,3,176.306248775317
2010,4,176.234498140803
2010,5,175.950301387614
2010,6,175.626588044471
2010,7,175.1645620198
2010,8,173.843740602026
2010,9,173.489860713826
2010,10,173.323787020138
2010,11,173.119584609052
2010,12,173.091011320125
2011,1,173.073131584956
2011,2,172.851596414997
2011,3,172.760092865371
2011,4,172.936504200828
2011,5,173.077650481255
2011,6,173.11704845667
2011,7,173.517574837617
2011,8,176.276546036025
2011,9,178.01519903536
2011,10,178.045748615349
2011,11,178.361137945632
2011,12,178.440084723902
2012,1,178.517698483051
2012,2,178.618472663691
2012,3,178.595325768863
2012,4,178.42987910081
2012,5,178.418390556147
2012,6,178.846663429959
2012,7,178.407942677287
2012,8,178.155862624153
2012,9,178.077079848308
2012,10,178.042509264573
2012,11,178.077372369251
2012,12,177.802141638057
2013,1,177.813983721411
2013,2,177.46426222924
2013,3,177.500818165774
2013,4,177.575878727734
2013,5,177.563205097455
2013,6,177.910351312952
2013,7,178.313424781236
2013,8,178.316418076978
2013,9,178.119611368134
2013,10,178.113443962065
2013,11,178.178892200189
2013,12,178.438867606505
2014,1,178.671072159904
2014,2,178.568562669969
2014,3,178.240045038246
2014,4,178.246119962133
2014,5,179.198213339122
2014,6,179.375612011455
2014,7,179.317730978153
2014,8,179.266030490976
2014,9,179.308371645255
2014,10,179.768498420946
2014,11,180.788328026752
2014,12,181.095126973494
2015,1,181.112180967415
2015,2,181.178322664324
2015,3,181.18063255179
2015,4,181.501566928071
2015,5,180.814596713888
2015,6,180.518601846486
2015,7,181.593802459066
2015,8,182.251367281661
2015,9,183.018283046589
2015,10,183.349131480537
2015,11,183.521763160718
2015,12,183.14657391715
2016,1,182.638141346613
2016,2,182.663212014275
2016,3,182.608321121709
2016,4,182.556826826498
2016,5,182.708303618762
2016,6,182.468622435801
2016,7,182.528412009168
2016,8,182.478132189552
2016,9,182.58718500785
2016,10,182.451193338343
2016,11,182.060217305701
2016,12,182.56924901076
2017,1,182.895446878291
2017,2,182.86471998196
2017,3,182.670399088458
2017,4,182.538686525131
