Year,Month,Concentration
1986,1,23008.9962374361
1986,2,23008.9962374361
1986,3,23008.9962374361
1986,4,23008.9962374361
1986,5,23008.9962374361
1986,6,23008.9962374361
1986,7,23008.9962374361
1986,8,23008.9962374361
1986,9,23008.9962374361
1986,10,23008.9962374361
1986,11,23008.9962374361
1986,12,23014.1568458584
1987,1,23034.7005392495
1987,2,23065.516079336
1987,3,23065.516079336
1987,4,23065.516079336
1987,5,23065.516079336
1987,6,23077.3465326087
1987,7,23077.3465326087
1987,8,23127.3323367134
1987,9,23236.7294152325
1987,10,23215.1014725987
1987,11,23198.2053593935
1987,12,23198.2053593935
1988,1,23150.4286959404
1988,2,23118.5775869716
1988,3,23118.5775869716
1988,4,23148.9375494816
1988,5,23183.9441593059
1988,6,23186.1842903528
1988,7,23165.4534791587
1988,8,23087.309695981
1988,9,23044.2166205848
1988,10,23038.8486584046
1988,11,22915.1814857321
1988,12,22604.7644515103
1989,1,22522.1651290462
1989,2,22424.7484368883
1989,3,22271.9921387659
1989,4,22229.4765253609
1989,5,22211.3563255774
1989,6,22165.2586168487
1989,7,22053.7067260107
1989,8,21856.4272331936
1989,9,21707.2760647979
1989,10,21554.1567802983
1989,11,21398.7475878958
1989,12,21370.3769462577
1990,1,21412.530760054
1990,2,21680.0870847967
1990,3,21652.2697990268
1990,4,21618.8376820652
1990,5,21596.2157672855
1990,6,21715.8393426215
1990,7,22851.1751509566
1990,8,23444.4800119911
1990,9,23415.8639773873
1990,10,23436.9129732189
1990,11,23672.6540161554
1990,12,23678.5718602249
1991,1,23769.8498243809
1991,2,24221.1325072011
1991,3,24250.3669644238
1991,4,24272.3507393787
1991,5,24402.5693426538
1991,6,24403.3127530164
1991,7,24389.1799947786
1991,8,24334.3086956972
1991,9,24336.8437920978
1991,10,24338.8011072548
1991,11,24605.0957907487
1991,12,24577.8991207059
1992,1,24666.6762181775
1992,2,24743.5345110036
1992,3,24743.5345110036
1992,4,24888.8637563473
1992,5,25076.1175198547
1992,6,25142.7295369733
1992,7,25273.8610868248
1992,8,25446.5678615048
1992,9,25457.3700958788
1992,10,25497.4092465102
1992,11,25587.5646534752
1992,12,25616.3635621564
1993,1,25623.4814209841
1993,2,25632.9851651515
1993,3,26599.0626348426
1993,4,26708.337773902
1993,5,26775.2001998185
1993,6,26875.4050461004
1993,7,27208.4519636715
1993,8,27451.3042893941
1993,9,27526.9336541284
1993,10,27635.4315362357
1993,11,27848.1373334287
1993,12,28259.3471354828
1994,1,28447.1912487277
1994,2,28635.401531991
1994,3,29018.5657803835
1994,4,29577.7312284012
1994,5,30658.9638264557
1994,6,31378.4934347433
1994,7,32682.3791996435
1994,8,32661.4912578485
1994,9,30125.5253622992
1994,10,26590.3508193105
1994,11,24500.0094586311
1994,12,22386.5574926189
1995,1,20844.0418371984
1995,2,20469.9289793701
1995,3,19666.7917444626
1995,4,18578.9651224176
1995,5,17646.5397253288
1995,6,17334.6669782056
1995,7,17071.7006199284
1995,8,16818.8938682505
1995,9,16605.0266155506
1995,10,16622.8225742876
1995,11,16644.419362165
1995,12,16583.7559744089
1996,1,16152.3124946112
1996,2,16022.2527256078
1996,3,15904.9923565521
1996,4,15783.5909787177
1996,5,15352.9880987058
1996,6,15345.2889863021
1996,7,15384.9871225524
1996,8,15361.676521438
1996,9,15319.2914371069
1996,10,15215.9499524218
1996,11,15070.3031847551
1996,12,15180.3304077648
1997,1,15108.3589177792
1997,2,15024.7808212401
1997,3,15248.0712078423
1997,4,11213.1735803302
1997,5,11068.918519238
1997,6,11093.842706457
1997,7,10766.3099950204
1997,8,10415.6447316551
1997,9,10337.430596973
1997,10,11641.5295757645
1997,11,13222.3566746226
1997,12,13130.5703130454
1998,1,13097.9965659231
1998,2,13058.873163898
1998,3,12383.818602861
1998,4,11479.2898600334
1998,5,11827.9201272856
1998,6,12500.7662768862
1998,7,12620.4635584121
1998,8,12660.6651846084
1998,9,12367.898108289
1998,10,12027.2828862517
1998,11,11596.8239547624
1998,12,11176.5892148372
1999,1,10970.9559065567
1999,2,10615.0706479093
1999,3,10463.543679838
1999,4,10130.7027493535
1999,5,9940.1636049042
1999,6,9631.12771295289
1999,7,9907.09534717723
1999,8,10278.8882779045
1999,9,10590.9813010178
1999,10,10425.9168185913
1999,11,9225.25781348882
1999,12,8310.73713693433
2000,1,7856.1364947524
2000,2,6844.11067446866
2000,3,6440.55100190988
2000,4,6324.69054703696
2000,5,5669.08847908415
2000,6,4557.24843822427
2000,7,4313.01041884764
2000,8,4284.33395456218
2000,9,4306.10580352
2000,10,4313.32472873064
2000,11,4375.86075918277
2000,12,4369.58596002102
2001,1,4394.15774540621
2001,2,4486.83890637668
2001,3,4467.75761052804
2001,4,4445.91772849025
2001,5,4353.858187955
2001,6,4349.67164240763
2001,7,4717.09716944356
2001,8,4853.50091444455
2001,9,4345.64436994397
2001,10,3634.16303869969
2001,11,3359.32874749509
2001,12,3342.99500833636
2002,1,3076.7804113073
2002,2,3011.80113051578
2002,3,3111.00015502497
2002,4,3055.51764532199
2002,5,2931.86880775927
2002,6,2776.053448819
2002,7,2746.89448057862
2002,8,2692.4987687576
2002,9,2666.91038542175
2002,10,2650.55847503687
2002,11,2633.11704780104
2002,12,2634.57115588606
2003,1,2690.04573097216
2003,2,2748.72463992697
2003,3,2803.5862467834
2003,4,2762.64703189988
2003,5,2584.29527178299
2003,6,2477.06358341548
2003,7,2473.93731481704
2003,8,2506.52238689346
2003,9,2473.01025464977
2003,10,2355.08970123267
2003,11,2340.66036662892
2003,12,2342.18701687656
2004,1,2372.43932198974
2004,2,2376.90491246787
2004,3,2414.56639842773
2004,4,2388.54906529724
2004,5,2329.29992057902
2004,6,2285.09947599446
2004,7,2229.6674422077
2004,8,2109.58740559908
2004,9,2089.37757668753
2004,10,2068.84925189415
2004,11,2055.58576948329
2004,12,1948.48217059339
2005,1,1863.35267412419
2005,2,1861.47240109408
2005,3,1841.55565276741
2005,4,1815.58738947364
2005,5,1708.59166527904
2005,6,1623.30885801978
2005,7,1638.66820164995
2005,8,1590.49946127222
2005,9,1599.9013501279
2005,10,1611.52076021525
2005,11,1606.5580911968
2005,12,1553.33155595051
2006,1,1523.32075404688
2006,2,1510.27970811959
2006,3,1493.08215054999
2006,4,1482.44027452568
2006,5,1475.15004435722
2006,6,1472.53257834063
2006,7,1620.06415082947
2006,8,1577.58570049448
2006,9,1580.84897654887
2006,10,1591.76358012687
2006,11,1587.16293118987
2006,12,1586.84904525014
2007,1,1628.31142217192
2007,2,1600.13252783244
2007,3,1466.88326924329
2007,4,1467.74360224766
2007,5,1467.38110087366
2007,6,1477.38082388271
2007,7,1487.39265600563
2007,8,1493.87343079822
2007,9,1490.50201850326
2007,10,1490.16051203232
2007,11,1492.30586421827
2007,12,1479.02786417396
2008,1,1471.01497868837
2008,2,1456.4752148816
2008,3,1429.56444647503
2008,4,1402.73379880266
2008,5,1401.77883673302
2008,6,1405.08474313187
2008,7,1413.73927768127
2008,8,1417.38780349044
2008,9,1416.70387313368
2008,10,1416.39837113546
2008,11,1180.43378318329
2008,12,947.853829113824
2009,1,941.421422429655
2009,2,939.945356591641
2009,3,933.532527139446
2009,4,919.634353327271
2009,5,911.450191024376
2009,6,907.464284671573
2009,7,895.796859455571
2009,8,866.899447319157
2009,9,851.991603603791
2009,10,845.244538271102
2009,11,837.514825871838
2009,12,831.226898441796
2010,1,829.121315513954
2010,2,794.942528784931
2010,3,752.24682183012
2010,4,739.245293386313
2010,5,717.68894417241
2010,6,698.392677699621
2010,7,706.452195248123
2010,8,730.107437754316
2010,9,733.20260839646
2010,10,733.205554265838
2010,11,748.231774080488
2010,12,771.278694962765
2011,1,799.705927363431
2011,2,832.140706271181
2011,3,851.656428046616
2011,4,855.134865340432
2011,5,853.967763439407
2011,6,852.59414605522
2011,7,851.628222228807
