Year,Month,Concentration
1986,1,35845.2181778668
1986,2,35845.2181778668
1986,3,35845.2181778668
1986,4,35845.2181778668
1986,5,35845.2181778668
1986,6,35845.2181778668
1986,7,35845.2181778668
1986,8,35802.8208389258
1986,9,35802.8208389258
1986,10,35802.8208389258
1986,11,35802.8208389258
1986,12,35902.6341728032
1987,1,36047.9786806046
1987,2,36262.8225171269
1987,3,36285.0509685626
1987,4,36299.089459209
1987,5,36319.497596411
1987,6,36337.8746223991
1987,7,36337.8746223991
1987,8,36439.0013603171
1987,9,36601.7491110927
1987,10,36564.6709628031
1987,11,36631.2839230134
1987,12,36650.5077948579
1988,1,36591.8705442746
1988,2,36584.1477873371
1988,3,36595.7291450509
1988,4,36601.6105367839
1988,5,36622.1829529759
1988,6,36637.703673438
1988,7,36634.9724080364
1988,8,36558.9373708478
1988,9,36513.3679608126
1988,10,36521.8900277615
1988,11,36503.877502472
1988,12,36312.5421292529
1989,1,36293.3366390101
1989,2,36177.9391550202
1989,3,35960.7778741354
1989,4,35990.5436363199
1989,5,35890.1309240075
1989,6,35627.3569728796
1989,7,35363.9963106391
1989,8,35072.4130023668
1989,9,35005.1847747195
1989,10,34838.5777259146
1989,11,34598.8091099198
1989,12,33841.6526418988
1990,1,31628.4558039851
1990,2,30175.3792070528
1990,3,30089.8120745131
1990,4,30083.0634525552
1990,5,29907.5144288305
1990,6,29366.2104540802
1990,7,27475.5804860906
1990,8,26460.2414758398
1990,9,26444.1078571568
1990,10,26150.7035173359
1990,11,25805.049321618
1990,12,25803.4005945497
1991,1,25665.9382805343
1991,2,25295.2319915476
1991,3,25287.4353133852
1991,4,25198.1446964431
1991,5,24980.6042878412
1991,6,24964.3524189766
1991,7,24843.770842877
1991,8,24654.1135591634
1991,9,24595.9840371993
1991,10,24531.0102438635
1991,11,24172.9673105807
1991,12,24170.7617951803
1992,1,24213.3503915164
1992,2,24181.7497788058
1992,3,24130.445967899
1992,4,24013.5716960213
1992,5,23998.4256708354
1992,6,23956.3485086282
1992,7,23893.4116964649
1992,8,23860.6764818809
1992,9,23861.9856948411
1992,10,23870.0077767138
1992,11,23829.4879305527
1992,12,23817.8831378855
1993,1,23795.107262327
1993,2,23776.2522361393
1993,3,23285.8866702687
1993,4,23285.8866702687
1993,5,23327.5342168674
1993,6,23346.3447793145
1993,7,23431.9442758295
1993,8,23299.4527800123
1993,9,23246.9600019522
1993,10,23179.6513706154
1993,11,23045.1188196135
1993,12,23083.907403456
1994,1,23144.8363008231
1994,2,23243.5927112977
1994,3,23147.1434486792
1994,4,22831.6163083776
1994,5,22211.0056273021
1994,6,21759.4836548509
1994,7,21182.2900992427
1994,8,21138.4102133585
1994,9,20655.5459256114
1994,10,20190.6242276524
1994,11,19804.5454597077
1994,12,19733.7557816646
1995,1,19722.8005671373
1995,2,19720.8406486439
1995,3,19687.923564551
1995,4,19440.5737914963
1995,5,19336.1626332362
1995,6,19297.0208704532
1995,7,19290.4453297948
1995,8,19282.3207212136
1995,9,19285.9797266176
1995,10,19280.3250948161
1995,11,19275.1326104574
1995,12,19265.7427760048
1996,1,19071.2003286743
1996,2,18995.626328714
1996,3,18991.8167229452
1996,4,18965.9581059756
1996,5,19002.5639081152
1996,6,19010.9701781081
1996,7,19002.9196417144
1996,8,19080.2025089153
1996,9,19087.8684741734
1996,10,19105.7344327698
1996,11,19817.6564617526
1996,12,19817.5418951644
1997,1,19764.1745343538
1997,2,19755.4264579702
1997,3,19755.4264579702
1997,4,19754.8241204943
1997,5,19754.2217830184
1997,6,19765.9913807043
1997,7,19802.0145693007
1997,8,19454.3063296155
1997,9,19367.3792696942
1997,10,19384.5403014533
1997,11,19860.8063242415
1997,12,20002.3842561582
1998,1,19143.974590322
1998,2,18797.7810796282
1998,3,18468.3275343615
1998,4,18109.043106603
1998,5,17535.3889423518
1998,6,17579.4508143916
1998,7,16950.4304012194
1998,8,16662.4173227768
1998,9,16486.787940969
1998,10,15835.4458762765
1998,11,15500.1388684504
1998,12,14950.8190280597
1999,1,14513.4922953604
1999,2,13692.6887499577
1999,3,13400.6084520118
1999,4,13244.9077516072
1999,5,13011.20818649
1999,6,12602.679587266
1999,7,12225.8265560097
1999,8,11512.0531521955
1999,9,11305.6152452477
1999,10,11214.6764111343
1999,11,11097.5405610188
1999,12,10881.2878673771
2000,1,10622.4963154269
2000,2,10172.0496676735
2000,3,9896.9109403386
2000,4,9761.08723912566
2000,5,9597.14998056223
2000,6,8809.20373425216
2000,7,8509.92697507637
2000,8,8357.70206365268
2000,9,8213.51493934575
2000,10,8105.34795563747
2000,11,8039.18369132069
2000,12,7786.94920169598
2001,1,7426.28967556085
2001,2,7363.30600419742
2001,3,7266.88743739369
2001,4,7243.13181007543
2001,5,7233.50052519445
2001,6,7219.8483508629
2001,7,7201.00946873819
2001,8,7119.16933024386
2001,9,6894.60056313827
2001,10,6396.27801060434
2001,11,6205.1947500839
2001,12,6017.48391531924
2002,1,5887.86694189845
2002,2,5809.13497941644
2002,3,5751.80663521943
2002,4,5565.57833825069
2002,5,5405.30861019372
2002,6,5340.83242776899
2002,7,5327.05729535965
2002,8,5304.18590567027
2002,9,5285.64447435867
2002,10,5278.70699433972
2002,11,5234.95895127846
2002,12,5199.51302862894
2003,1,5165.96346146995
2003,2,5105.74800236366
2003,3,4749.65512018889
2003,4,4640.60992867415
2003,5,4552.81503743151
2003,6,4528.56201123419
2003,7,4522.74336505186
2003,8,4501.6332204605
2003,9,4473.42938807371
2003,10,4396.30643277668
2003,11,4357.65289570479
2003,12,4340.64411916392
2004,1,4321.82525524917
2004,2,4285.48413217902
2004,3,4236.1217731474
2004,4,4149.95123614387
2004,5,4074.60787293492
2004,6,4052.56914388954
2004,7,4046.56357287671
2004,8,4041.77386847155
2004,9,4035.37345027295
2004,10,4011.29465667224
2004,11,4001.40441536297
2004,12,3974.02614723654
2005,1,3967.56775970864
2005,2,3966.65403477669
2005,3,3958.61840005309
2005,4,2642.20550953601
2005,5,682.992375888387
2005,6,684.653492893255
2005,7,427.172199331397
2005,8,40.225559387417
2005,9,40.2752626836904
2005,10,40.297240039414
2005,11,40.2561017504023
2005,12,40.2270691103936
2006,1,40.1685771124195
2006,2,40.1200106780359
2006,3,40.113076798878
2006,4,40.0167063275229
2006,5,39.9380317465135
2006,6,39.8454731603409
2006,7,38.5886753882592
2006,8,37.2414668716183
2006,9,36.9622086647355
2006,10,35.7753695590496
2006,11,33.7198188850391
2006,12,31.4151699765669
2007,1,30.585410207747
2007,2,30.1019810105155
2007,3,30.0024356876819
2007,4,29.7994157692567
2007,5,28.7381033616956
2007,6,27.4494845586381
2007,7,26.4984674785124
2007,8,25.419322905137
2007,9,25.1738028877278
2007,10,25.0351238705005
2007,11,24.9081580269452
2007,12,24.8149114584424
2008,1,24.6822166606502
2008,2,24.6695366074144
2008,3,24.6616571108461
2008,4,24.6674297425671
2008,5,24.6951634845428
2008,6,24.7259208505958
2008,7,24.7398994802816
2008,8,24.6212788184336
2008,9,24.4850221041254
2008,10,24.4035984655049
2008,11,24.3522762423218
2008,12,24.3511754890234
2009,1,24.3059628578381
2009,2,24.3180977223324
2009,3,24.3039329663121
2009,4,24.3004904453996
2009,5,24.3228105711454
2009,6,24.3196246881273
2009,7,24.3093208020642
2009,8,24.3280289206386
2009,9,24.1990944628368
2009,10,23.8513781628981
2009,11,23.798578635283
2009,12,23.7722008917395
2010,1,23.6121747911075
2010,2,23.4339592923833
2010,3,23.4018730538753
2010,4,23.3910657128481
2010,5,23.3910657128481
2010,6,23.3319634074566
2010,7,23.1739036052508
2010,8,23.054229646433
2010,9,22.9475210675985
2010,10,22.8079314217197
2010,11,22.7667700313509
2010,12,22.7191863138521
2011,1,22.5901313037744
2011,2,22.5371798642654
2011,3,22.4666662859736
2011,4,22.38580503011
2011,5,22.3737856073292
2011,6,22.3448638326099
2011,7,22.3237782410359
2011,8,22.3005083149043
2011,9,22.2895143205522
2011,10,22.2679703145501
2011,11,22.2511154928376
2011,12,22.1879080374902
2012,1,22.2032743520174
2012,2,22.2183514529444
2012,3,22.1798343044237
2012,4,22.1475662869146
2012,5,22.1919916241119
2012,6,22.2119754287339
2012,7,22.2110641961672
2012,8,22.2039588124046
2012,9,22.2140619954952
2012,10,22.2259501111329
2012,11,22.2122959172237
2012,12,22.2224276870102
2013,1,22.1723414250289
2013,2,22.2542169363627
2013,3,22.3442274866388
2013,4,22.4501139504118
2013,5,22.5091956240801
2013,6,22.5737960177273
2013,7,22.5848781091521
2013,8,22.576935330825
2013,9,22.5888517601617
2013,10,22.5899717688519
2013,11,22.6623597799953
2013,12,22.6369282112472
2014,1,23.1678652047269
2014,2,23.3598223074841
2014,3,23.4381648818866
2014,4,23.5048104763926
2014,5,23.5404836194942
2014,6,23.6579617956647
2014,7,23.8854912802009
2014,8,23.9555694637259
2014,9,24.0114187334915
2014,10,24.1819797409188
2014,11,24.2200900294055
2014,12,24.2327251302851
2015,1,24.2331397597074
2015,2,24.2071620425191
2015,3,24.2450932022043
2015,4,24.2956298308259
2015,5,24.2715822412553
2015,6,24.188321249714
2015,7,24.08919157241
2015,8,24.0246555336022
2015,9,24.0368962181088
2015,10,23.9878859966191
2015,11,23.9353984042267
2015,12,23.9239084194908
