Year,Month,Concentration
1986,1,2.85861948497887
1986,2,2.85861948497887
1986,3,2.85861948497887
1986,4,2.85861948497887
1986,5,2.85861948497887
1986,6,2.85861948497887
1986,7,2.85861948497887
1986,8,2.85861948497887
1986,9,2.85861948497887
1986,10,2.87466144515617
1986,11,2.8786719352005
1986,12,2.8786719352005
1987,1,2.8786719352005
1987,2,2.88842412499736
1987,3,2.93441652549059
1987,4,2.949747325655
1987,5,2.95275849037676
1987,6,2.95476593352461
1987,7,2.95476593352461
1987,8,2.95476593352461
1987,9,2.95476593352461
1987,10,2.96391524835714
1987,11,2.97001479157882
1987,12,2.97001479157882
1988,1,2.94317327004069
1988,2,2.92132316510291
1988,3,2.92132316510291
1988,4,2.91886610655361
1988,5,2.9116618680695
1988,6,2.90087887592481
1988,7,2.89969663301081
1988,8,2.8866872624205
1988,9,2.8664634840316
1988,10,2.86615138642727
1988,11,2.86583928882293
1988,12,2.86516208176513
1989,1,2.8699481886131
1989,2,2.89541659250118
1989,3,2.91094334002161
1989,4,2.92565910524287
1989,5,2.92800289990028
1989,6,2.92452994275223
1989,7,2.92511841067041
1989,8,2.92490189781854
1989,9,2.92426662333107
1989,10,2.92592035724827
1989,11,2.92595587870503
1989,12,2.92757300377383
1990,1,2.93281599310196
1990,2,2.93843849548925
1990,3,2.93843849548925
1990,4,2.93916045340313
1990,5,2.94104482690574
1990,6,2.9385501939707
1990,7,2.9313001241986
1990,8,2.85216218438716
1990,9,2.80142246125957
1990,10,2.79218443879294
1990,11,2.77503422696889
1990,12,2.77684574909598
1991,1,2.77688771634432
1991,2,2.76972324154502
1991,3,2.76799918552917
1991,4,2.76711302548063
1991,5,2.76139915950929
1991,6,2.76188579999251
1991,7,2.75902250956895
1991,8,2.75292849707535
1991,9,2.74961700518637
1991,10,2.74961700518637
1991,11,2.74947295629982
1991,12,2.75198914465813
1992,1,2.75163501165986
1992,2,2.75085274663501
1992,3,2.75255365391493
1992,4,2.7539390067539
1992,5,2.75526167529439
1992,6,2.75355703982662
1992,7,2.75356557928012
1992,8,2.76126369512716
1992,9,2.76591085244535
1992,10,2.76608228661884
1992,11,2.76372236663359
1992,12,2.76402976934427
1993,1,2.75119593645458
1993,2,2.74734931213393
1993,3,2.74858808968236
1993,4,2.74858808968236
1993,5,2.74858808968236
1993,6,2.7586473865464
1993,7,2.75639112191003
1993,8,2.75619786439085
1993,9,2.75762428658653
1993,10,2.75907209473817
1993,11,2.75655738174218
1993,12,2.75395432188955
1994,1,2.75360093446301
1994,2,2.75436502238011
1994,3,2.75363453249536
1994,4,2.73481739789154
1994,5,2.72548790974147
1994,6,2.70780999948626
1994,7,2.69619883123114
1994,8,2.69117852433618
1994,9,2.6894314849743
1994,10,2.68530058377487
1994,11,2.68233233457086
1994,12,2.67288373530582
1995,1,2.65753301520623
1995,2,2.65032196568819
1995,3,2.64592926267432
1995,4,2.63098923650362
1995,5,2.62534130773037
1995,6,2.62323960024044
1995,7,2.61606676849746
1995,8,2.61606676849746
1995,9,2.61589703078078
1995,10,2.61392494143584
1995,11,2.61358002602576
1995,12,2.62022964709525
1996,1,2.62346101059128
1996,2,2.62422097619651
1996,3,2.62372195066992
1996,4,2.62289446666054
1996,5,2.6182114011095
1996,6,2.61516115943551
1996,7,2.60808270668405
1996,8,2.61175903030915
1996,9,2.61278073283743
1996,10,2.6141318239434
1996,11,2.61717621735853
1996,12,2.62157370825122
1997,1,2.63350193675939
1997,2,2.64293415799965
1997,3,2.65200196778046
1997,4,2.65897662791413
1997,5,2.65567250787271
1997,6,2.6561831604641
1997,7,2.66174536553728
1997,8,2.68285103498653
1997,9,2.73252156040108
1997,10,2.76166223556776
1997,11,2.78572751212073
1997,12,2.78289022005381
1998,1,2.7630891268471
1998,2,2.77172811583715
1998,3,2.77976566862717
1998,4,2.77609211120778
1998,5,2.78091744341684
1998,6,2.78691099479422
1998,7,2.78531089102825
1998,8,2.79026922824878
1998,9,2.80405113190156
1998,10,2.86714149567226
1998,11,2.89102759458074
1998,12,2.89075255018382
1999,1,2.86905663855934
1999,2,2.86063768888452
1999,3,2.86546898610429
1999,4,2.87368195783571
1999,5,2.87487558625188
1999,6,2.87482471967349
1999,7,2.8788840070999
1999,8,2.88379679666053
1999,9,2.8834419245453
1999,10,2.86835602609745
1999,11,2.84382026821455
1999,12,2.83952212792929
2000,1,2.83118324166229
2000,2,2.83128702174312
2000,3,2.83472226125925
2000,4,2.84477220531817
2000,5,2.84397601603648
2000,6,2.84445984702782
2000,7,2.84691224492705
2000,8,2.84632368705225
2000,9,2.84395690386296
2000,10,2.83216456922619
2000,11,2.80126538667946
2000,12,2.80259933113304
2001,1,2.79298274068756
2001,2,2.78379085122647
2001,3,2.78420263396079
2001,4,2.78808885279299
2001,5,2.78605051813137
2001,6,2.78837485451832
2001,7,2.78162856615626
2001,8,2.76839499066994
2001,9,2.76524764050531
2001,10,2.76821380221213
2001,11,2.77085021868784
2001,12,2.77828720613293
2002,1,2.79751892317062
2002,2,2.8046382689923
2002,3,2.81479100783885
2002,4,2.82052453195918
2002,5,2.82479390245406
2002,6,2.82446843216075
2002,7,2.82217116585182
2002,8,2.82588240714115
2002,9,2.83032198673246
2002,10,2.83190303916657
2002,11,2.84147335176066
2002,12,2.8495719032786
2003,1,2.85485277715463
2003,2,2.86218487960807
2003,3,2.8580580430292
2003,4,2.85567235758909
2003,5,2.85494086154364
2003,6,2.85469927931962
2003,7,2.85524064805182
