Year,Month,Concentration
1986,1,1.825155774391
1986,2,1.825155774391
1986,3,1.825155774391
1986,4,1.825155774391
1986,5,1.825155774391
1986,6,1.825155774391
1986,7,1.825155774391
1986,8,1.825155774391
1986,9,1.82758832369422
1986,10,1.82869443029952
1986,11,1.82897095695085
1986,12,1.82897095695085
1987,1,1.82897095695085
1987,2,1.82939764728578
1987,3,1.83604188446316
1987,4,1.83825663018896
1987,5,1.83852052451873
1987,6,1.83869645407192
1987,7,1.83869645407192
1987,8,1.83869645407192
1987,9,1.83869645407192
1987,10,1.84134057738297
1987,11,1.843103326257
1987,12,1.843103326257
1988,1,1.84036093166286
1988,2,1.8346850183726
1988,3,1.8346850183726
1988,4,1.82674502135125
1988,5,1.8199537374312
1988,6,1.81268898632453
1988,7,1.81001271356998
1988,8,1.79412127595179
1988,9,1.78785478107899
1988,10,1.78781367019447
1988,11,1.7876580997614
1988,12,1.78847475743304
1989,1,1.79107508895061
1989,2,1.80276569878244
1989,3,1.81196833017794
1989,4,1.81461228010724
1989,5,1.81653837020207
1989,6,1.81766060853696
1989,7,1.8187300362861
1989,8,1.81986251493086
1989,9,1.81978391315101
1989,10,1.82015049613536
1989,11,1.82045170556688
1989,12,1.82045591950876
1990,1,1.82055324197434
1990,2,1.81955896387334
1990,3,1.81954017272276
1990,4,1.82030214721443
1990,5,1.81970545843635
1990,6,1.81928345899362
1990,7,1.79246210796953
1990,8,1.76924650648255
1990,9,1.76925311102752
1990,10,1.76879305946401
1990,11,1.76999231879955
1990,12,1.77386143983866
1991,1,1.77326050749203
1991,2,1.77128152605513
1991,3,1.776302049286
1991,4,1.77787780582376
1991,5,1.77274197245815
1991,6,1.76930556956153
1991,7,1.76930556956153
1991,8,1.76990802090826
1991,9,1.77103009596532
1991,10,1.77103009596532
1991,11,1.77094722831629
1991,12,1.77105542799078
1992,1,1.77089920383103
1992,2,1.77123922062453
1992,3,1.77146316548069
1992,4,1.7715082893182
1992,5,1.77009105205791
1992,6,1.77154668980825
1992,7,1.77154668980825
1992,8,1.77149880172607
1992,9,1.77135513747952
1992,10,1.77135513747952
1992,11,1.77155030052008
1992,12,1.7716186606805
1993,1,1.77154245612469
1993,2,1.77059190286085
1993,3,1.77024960530214
1993,4,1.77024960530214
1993,5,1.77024001217983
