Year,Month,Conc
1986,1,NaN
1986,2,0
1986,3,0
1986,4,0
1986,5,0
1986,6,0
1986,7,0
1986,8,0
1986,9,0
1986,10,0
1986,11,0
1986,12,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,0
1987,11,0
1987,12,0
1988,1,0
1988,2,0
1988,3,0
1988,4,0
1988,5,0
1988,6,0
1988,7,0
1988,8,0
1988,9,0
1988,10,0
1988,11,0
1988,12,0
1989,1,0
1989,2,0
1989,3,0
1989,4,0
1989,5,0
1989,6,0
1989,7,0
1989,8,0
1989,9,0
1989,10,0
1989,11,0
1989,12,0
1990,1,0
1990,2,0
1990,3,0
1990,4,0
1990,5,0
1990,6,0
1990,7,0
1990,8,0
1990,9,0
1990,10,0
1990,11,0
1990,12,0
1991,1,0
1991,2,0
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0
1991,9,0
1991,10,0
1991,11,0
1991,12,0
1992,1,0
1992,2,0
1992,3,0
1992,4,0
1992,5,0
1992,6,0
1992,7,0
1992,8,0
1992,9,0
1992,10,0
1992,11,0
1992,12,0
1993,1,0
1993,2,0
1993,3,0
1993,4,0
1993,5,0
1993,6,0
1993,7,0
1993,8,0
1993,9,0
1993,10,0
1993,11,0
1993,12,0
1994,1,0
1994,2,0
1994,3,0
1994,4,0
1994,5,0
1994,6,0
1994,7,0
1994,8,0
1994,9,0
1994,10,0
1994,11,0
1994,12,0
1995,1,0
1995,2,0
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,0
1995,9,0
1995,10,0
1995,11,0
1995,12,0
1996,1,0
1996,2,0
1996,3,0
1996,4,0
1996,5,0
1996,6,0
1996,7,0
1996,8,0
1996,9,0
1996,10,0
1996,11,0
1996,12,0
1997,1,0
1997,2,0
1997,3,0
1997,4,0
1997,5,0
1997,6,0
1997,7,0
1997,8,0
1997,9,0
1997,10,0
1997,11,0
1997,12,0
1998,1,0
1998,2,0
1998,3,0
1998,4,0
1998,5,0
1998,6,0
1998,7,0
1998,8,0
1998,9,0
1998,10,0
1998,11,0.00126581371296197
1998,12,0
1999,1,0.000627137953415513
1999,2,0.000693428446538746
1999,3,0
1999,4,0.000672649766784161
1999,5,0
1999,6,0.00132318865507841
1999,7,0
1999,8,0.000649395631626248
1999,9,0
1999,10,0
1999,11,0
1999,12,0
2000,1,0
2000,2,0
2000,3,0
2000,4,0
2000,5,0
2000,6,0
2000,7,0
2000,8,0.00392362382262945
2000,9,0.012065508402884
2000,10,0.0118714617565274
2000,11,0.0119753032922745
2000,12,0.0120938289910555
2001,1,0.0119354445487261
2001,2,0.0119302002713084
2001,3,0.184850767254829
2001,4,0.31643083691597
2001,5,0.317238301038742
2001,6,0.278008013963699
2001,7,0.283866703510284
2001,8,0.312765449285507
2001,9,0.303771764039993
2001,10,0.304221481084824
2001,11,0.297086834907532
2001,12,0.294773101806641
2002,1,0.296849012374878
2002,2,0.298916161060333
2002,3,0.299999594688416
2002,4,0.299989640712738
2002,5,0.295001119375229
2002,6,0.292815148830414
2002,7,0.287516683340073
2002,8,0.284991353750229
2002,9,0.289661288261414
2002,10,0.302199214696884
2002,11,0.309949815273285
2002,12,0.319769889116287
2003,1,0.326541841030121
2003,2,0.33135998249054
2003,3,0.335544466972351
2003,4,0.339167922735214
2003,5,0.347483098506927
2003,6,0.349570721387863
2003,7,0.356183141469955
2003,8,0.36072838306427
2003,9,0.362894594669342
2003,10,0.365188002586365
2003,11,0.368458598852158
2003,12,0.369233906269073
2004,1,0.374214738607407
2004,2,0.374023675918579
2004,3,0.376296997070312
2004,4,0.37553459405899
2004,5,0.381858974695206
2004,6,0.379821568727493
2004,7,0.382107794284821
2004,8,0.382487088441849
2004,9,0.385083675384521
2004,10,0.38819745182991
2004,11,0.389078170061111
2004,12,0.39429834485054
2005,1,0.395513623952866
2005,2,0.399656862020493
2005,3,0.404098600149155
2005,4,0.404444545507431
2005,5,0.406326502561569
2005,6,0.408264368772507
2005,7,0.412727922201157
2005,8,0.411126255989075
2005,9,0.413161933422089
2005,10,0.411881119012833
2005,11,0.415803045034409
2005,12,0.419681161642075
2006,1,0.425227761268616
2006,2,0.423819601535797
2006,3,0.42585676908493
2006,4,0.416855573654175
2006,5,0.417665630578995
2006,6,0.58118748664856
2006,7,0.671556234359741
2006,8,0.694040715694427
2006,9,0.719463586807251
2006,10,0.75575464963913
2006,11,0.826999306678772
2006,12,0.84706038236618
2007,1,0.869641840457916
2007,2,0.87207293510437
2007,3,0.879932463169098
2007,4,0.878343045711517
2007,5,0.881367564201355
2007,6,0.891100883483887
2007,7,0.894903481006622
2007,8,0.909360945224762
2007,9,0.907295823097229
2007,10,0.915996372699738
2007,11,0.9532231092453
2007,12,0.979941606521606
2008,1,0.989636480808258
2008,2,1.03573668003082
2008,3,1.0984160900116
2008,4,1.10223305225372
2008,5,1.12223303318024
2008,6,1.14884674549103
2008,7,1.15737700462341
2008,8,1.21039211750031
2008,9,1.23598861694336
2008,10,1.23323714733124
2008,11,1.23313391208649
2008,12,1.25875174999237
2009,1,1.27312219142914
2009,2,1.28233098983765
2009,3,1.2874436378479
2009,4,1.29669487476349
2009,5,1.30617916584015
2009,6,1.30586242675781
2009,7,1.31432676315308
2009,8,1.33012974262238
2009,9,1.3292623758316
2009,10,1.34018933773041
2009,11,1.37671685218811
2009,12,1.42784214019775
2010,1,1.39064192771912
2010,2,1.44537746906281
2010,3,1.36365985870361
2010,4,1.36478233337402
2010,5,1.41030156612396
2010,6,1.3749725818634
2010,7,1.56406271457672
2010,8,1.31268632411957
2010,9,1.84078800678253
2010,10,2.24256205558777
2010,11,2.4341197013855
2010,12,2.44943308830261
2011,1,2.45206141471863
2011,2,2.46886134147644
2011,3,2.53087115287781
2011,4,2.69767951965332
2011,5,2.67493987083435
2011,6,2.8568696975708
2011,7,2.91438174247742
2011,8,4.02943420410156
2011,9,3.29589080810547
2011,10,3.34815454483032
2011,11,3.57301354408264
2011,12,3.60929584503174
2012,1,3.64052891731262
2012,2,3.74060702323914
2012,3,3.98541784286499
2012,4,4.16950464248657
2012,5,4.5227689743042
2012,6,4.71101570129395
2012,7,4.80117225646973
2012,8,4.85067892074585
2012,9,5.05818939208984
2012,10,5.15522050857544
2012,11,5.26443243026733
2012,12,5.22982406616211
2013,1,5.2818021774292
2013,2,5.40583610534668
2013,3,5.50020408630371
2013,4,5.45783233642578
2013,5,7.23934412002563
2013,6,6.4056248664856
2013,7,7.88368129730225
2013,8,9.24202537536621
2013,9,19.6391735076904
2013,10,22.2776508331299
2013,11,22.9368114471436
2013,12,22.491361618042
2014,1,22.3318157196045
2014,2,22.8162460327148
2014,3,25.6498508453369
2014,4,27.9110450744629
2014,5,28.4565582275391
2014,6,28.4284439086914
2014,7,28.6279830932617
2014,8,28.7518520355225
2014,9,28.7852439880371
2014,10,28.9558811187744
2014,11,28.8199481964111
2014,12,28.826681137085
2015,1,28.8681392669678
2015,2,28.9463195800781
2015,3,28.9292106628418
2015,4,28.8388824462891
2015,5,28.8727493286133
2015,6,28.5968170166016
2015,7,28.9584064483643
2015,8,29.247350692749
2015,9,29.1446685791016
2015,10,29.3222885131836
2015,11,28.4532451629639
2015,12,28.393196105957
2016,1,28.4883041381836
2016,2,28.4193782806396
2016,3,28.2370853424072
2016,4,28.3481769561768
2016,5,29.0827693939209
2016,6,28.8122119903564
2016,7,28.1748466491699
2016,8,28.2343711853027
2016,9,28.1988067626953
2016,10,28.3121643066406
2016,11,29.2422161102295
2016,12,29.0337524414062
2017,1,28.9592781066895
2017,2,29.1149253845215
2017,3,28.0369300842285
2017,4,28.0182075500488
2017,5,27.9860305786133
2017,6,28.037971496582
2017,7,27.89990234375
2017,8,27.8006820678711
2017,9,27.7892875671387
2017,10,27.6215496063232
2017,11,27.5666961669922
2017,12,28.3889446258545
2018,1,28.6229267120361
2018,2,27.9705963134766
2018,3,28.5290374755859
2018,4,28.4303379058838
2018,5,28.3464031219482
2018,6,28.4913501739502
2018,7,28.4809741973877
2018,8,28.1697902679443
2018,9,28.1693649291992
2018,10,28.5015392303467
2018,11,28.2557697296143
2018,12,28.0831489562988
2019,1,28.1426525115967
2019,2,28.0628490447998
2019,3,28.0278034210205
2019,4,27.7668380737305
2019,5,27.9448184967041
2019,6,27.951789855957
2019,7,27.9851417541504
2019,8,28.2584285736084
2019,9,27.98899269104
2019,10,28.0709037780762
2019,11,27.9615306854248
2019,12,28.0827445983887
2020,1,28.0626430511475
2020,2,28.1024608612061
2020,3,27.9704532623291
2020,4,28.1213226318359
2020,5,27.9322662353516
2020,6,28.0798225402832
2020,7,28.0566654205322
2020,8,28.1035175323486
2020,9,28.1126384735107
2020,10,27.9240856170654
2020,11,28.1019763946533
2020,12,NaN
