Date,y
1986-08-22,17.0
1986-09-19,17.0
1986-10-10,12.0
1986-10-10,1.0
1987-11-09,7.0
1987-11-09,18.0
1988-04-18,13.0
1988-12-09,14.0
1989-07-19,11.0
1990-01-30,12.0
1990-08-01,8.0
1991-01-23,10.0
1991-08-22,10.0
1992-07-23,8.0
1993-03-03,9.0
1993-08-23,9.0
1998-12-21,3.0
1999-08-19,2.0
1999-11-12,5.0
2000-02-15,8.0
2000-08-16,7.0
2001-01-29,6.0
2001-05-10,5.0
2001-07-24,9.0
2001-11-03,9.0
2002-01-10,5.0
2002-04-18,6.0
2002-07-28,10.0
2002-11-03,8.0
2003-01-28,9.0
2003-05-01,7.0
2003-07-09,8.0
2003-10-03,8.0
2004-02-02,8.0
2004-04-27,7.0
2004-10-11,7.0
2005-05-02,5.0
2005-11-09,5.0
2006-05-03,6.0
2006-10-11,5.0
2007-05-21,5.0
2007-10-11,6.0
2008-07-29,5.0
2009-08-10,4.0
2010-07-29,4.0
2011-09-17,3.0
2012-08-14,3.0
2013-07-18,5.0
2014-08-01,2.0
2015-07-30,2.0
2016-09-07,2.5
2017-07-26,1.6
2018-08-14,1.4
2019-09-12,1.2
