Date,y
2006-04-04,349.0
2006-04-07,349.0
2006-05-09,365.0
2006-06-06,368.0
2006-07-05,373.0
2006-08-10,370.0
2006-09-05,354.0
2006-10-03,410.0
2006-11-10,391.0
2006-12-04,348.0
2007-01-02,337.0
2007-02-12,346.0
2007-03-20,348.0
2007-04-03,340.0
2007-05-14,335.0
2007-06-07,356.0
2007-07-02,360.0
2007-08-08,385.0
2007-09-04,376.0
2007-10-09,400.0
2008-01-24,402.0
2008-04-03,393.0
2008-07-16,442.0
2008-10-10,398.0
2009-01-08,415.0
2009-04-09,407.0
2009-07-07,415.0
2009-10-06,424.0
2010-01-06,341.0
2010-04-12,444.0
2010-07-14,497.0
2010-10-08,465.0
2011-01-07,399.0
2011-04-13,302.0
2011-08-04,392.0
2011-10-27,323.0
2012-01-12,307.0
2012-05-25,288.0
2012-08-08,247.0
2012-10-04,120.0
2013-02-25,204.0
2013-06-05,220.0
2013-08-26,200.0
2013-11-19,140.0
2014-01-17,190.0
2014-04-07,170.0
2014-07-10,350.0
2014-11-12,160.0
2015-03-13,170.0
2015-06-04,150.0
2015-07-27,160.0
2015-11-20,160.0
2016-02-09,150.0
2016-04-26,140.0
2016-08-31,150.0
2016-12-23,140.0
2017-02-01,120.0
2017-06-01,120.0
2017-08-29,120.0
2017-10-27,120.0
2018-01-25,120.0
2018-06-08,110.0
2018-08-16,110.0
2018-11-29,110.0
2019-01-17,120.0
2019-04-05,110.0
2019-07-22,100.0
2019-10-08,120.0
