Date,y
1987-01-20,152.0
1987-10-15,334.0
1988-04-14,354.0
1988-12-13,210.0
1988-12-13,350.0
1989-07-21,300.0
1990-02-01,320.0
1990-08-03,170.0
1991-01-18,240.0
1991-08-14,150.0
1992-02-18,220.0
1992-07-22,200.0
1993-03-04,190.0
1993-08-24,200.0
1995-10-31,160.0
1996-04-01,105.0
1997-05-13,64.0
1997-10-20,67.0
1997-11-18,69.0
1997-12-15,78.0
1998-02-23,86.0
1998-03-23,89.0
1998-04-22,82.0
1998-05-20,97.0
1998-06-18,109.0
1998-07-16,99.0
1998-08-26,105.0
1998-09-22,76.0
1999-02-01,80.0
1999-08-20,76.0
1999-11-26,103.0
2000-02-24,78.0
2000-05-25,73.0
2000-08-24,80.0
2000-11-29,80.0
2001-02-23,60.0
2001-05-07,63.0
2001-08-09,95.0
2001-11-06,82.0
2002-02-05,55.0
2002-04-24,65.0
2002-08-15,48.0
2002-10-14,67.0
2003-01-16,50.0
2003-04-14,42.0
2003-07-11,43.0
2003-11-03,50.0
2004-02-12,34.0
2004-04-19,27.0
2004-08-02,30.0
2004-10-18,53.0
2005-02-03,127.0
2005-05-06,179.0
2005-08-01,168.0
2005-11-02,63.0
2006-02-10,47.0
2006-04-04,41.0
2006-07-10,67.0
2006-10-12,32.0
2007-01-04,19.0
2007-05-29,18.0
2007-08-16,19.0
2007-10-30,20.0
2008-04-24,16.0
2008-10-24,13.0
2009-04-29,13.0
2009-10-26,9.0
2010-10-19,1.0
2011-05-17,8.0
2011-09-18,7.0
2011-10-18,6.0
2012-01-11,7.0
2012-05-11,8.0
2012-08-01,7.0
