Date,y
2005-01-27,2810.0
2005-04-12,2852.0
2005-08-04,1821.0
2005-10-20,2509.0
2006-01-23,2734.0
2006-05-02,2676.0
2006-07-21,2610.0
2006-10-20,2664.0
2007-01-19,2666.0
2007-04-02,2588.0
2007-08-14,2739.0
2007-10-26,2774.0
2008-02-04,2518.0
2008-04-22,2707.0
2008-08-11,2501.0
2008-11-04,2626.0
2009-02-03,2384.0
2009-04-28,2306.0
2009-07-22,2317.0
2009-10-22,1869.0
2010-02-12,1855.0
2010-04-23,1754.0
2010-07-26,2332.0
2010-11-09,1820.0
2011-01-27,1294.0
2011-04-11,1295.0
2011-09-20,960.0
2011-10-12,963.0
2012-01-24,694.0
2012-05-29,1574.0
2012-08-10,591.0
2012-11-08,510.0
2013-02-25,497.0
2013-06-20,300.0
2013-08-28,240.0
2013-10-18,220.0
2014-03-11,200.0
2014-06-05,180.0
2014-08-22,180.0
2014-11-07,180.0
2015-03-18,170.0
2015-06-10,180.0
2015-08-06,220.0
2015-12-04,280.0
2016-02-29,300.0
2016-05-09,350.0
2016-09-06,370.0
2016-11-08,430.0
2017-02-07,420.0
2017-06-02,410.0
2017-09-05,490.0
2017-11-07,540.0
2018-02-01,540.0
2018-05-18,580.0
2018-08-21,690.0
2018-10-25,690.0
2019-03-11,630.0
2019-05-09,710.0
2019-09-16,760.0
2019-11-20,720.0
