Date,y
1998-04-29,302.0
1998-07-08,430.0
1998-07-10,370.0
1998-08-10,442.0
1998-08-13,442.0
1998-09-02,520.0
1998-09-21,507.0
1998-09-28,570.0
1998-10-01,580.0
1998-10-05,580.0
1998-10-12,584.0
1998-10-19,620.0
1998-10-26,600.0
1998-11-02,596.0
1998-11-04,590.0
1998-11-09,640.0
1998-11-16,530.0
1998-11-23,585.0
1998-11-30,580.0
1998-12-07,580.0
1998-12-14,417.0
1998-12-21,348.0
1998-12-28,670.0
1999-01-04,550.0
1999-01-11,560.0
1999-01-18,560.0
1999-01-25,570.0
1999-02-01,560.0
1999-02-08,580.0
1999-02-15,490.0
1999-02-22,480.0
1999-03-01,600.0
1999-03-08,612.0
1999-03-15,620.0
1999-03-22,1090.0
1999-03-29,660.0
1999-04-05,770.0
1999-04-12,620.0
1999-04-19,640.0
1999-04-26,670.0
1999-05-03,640.0
1999-05-10,650.0
1999-05-17,720.0
1999-05-24,620.0
1999-06-01,690.0
1999-06-07,600.0
1999-06-14,630.0
1999-06-21,650.0
1999-06-28,620.0
1999-07-06,726.0
1999-07-12,740.0
1999-07-19,560.0
1999-07-26,702.0
1999-08-02,700.0
1999-08-09,1030.0
1999-08-16,1140.0
1999-08-23,1040.0
1999-08-30,1040.0
1999-09-07,1000.0
1999-09-13,1040.0
1999-09-20,1050.0
1999-09-27,990.0
1999-10-04,1060.0
1999-10-11,990.0
1999-10-18,1080.0
1999-10-25,1000.0
1999-11-01,1070.0
1999-11-08,980.0
1999-11-15,1070.0
1999-11-22,1070.0
1999-11-29,1090.0
1999-12-06,1030.0
1999-12-13,1010.0
1999-12-20,970.0
1999-12-27,1080.0
2000-01-03,1050.0
2000-01-10,1060.0
2000-01-17,1140.0
2000-01-24,1090.0
2000-01-31,1110.0
2000-02-07,1070.0
2000-02-14,1020.0
2000-02-21,1080.0
2000-02-28,1140.0
2000-03-06,1090.0
2000-03-13,1130.0
2000-03-20,1050.0
2000-03-27,950.0
2000-04-03,1100.0
2000-04-10,1110.0
2000-04-17,1130.0
2000-04-24,1100.0
2000-05-01,1080.0
2000-05-08,1140.0
2000-05-15,1080.0
2000-05-22,1020.0
2000-05-29,1070.0
2000-06-05,1120.0
2000-06-12,1170.0
2000-06-19,1190.0
2000-06-26,1160.0
2000-07-03,1140.0
2000-07-10,1670.0
2000-07-17,1140.0
2000-07-24,1120.0
2000-07-31,820.0
2000-08-07,1120.0
2000-08-14,1160.0
2000-08-21,1130.0
2000-08-28,1150.0
2000-09-05,1080.0
2000-09-11,1120.0
2000-09-18,1200.0
2000-09-25,1120.0
2000-10-02,1100.0
2000-10-09,1130.0
2000-10-16,1110.0
2000-11-06,972.0
2000-11-13,1100.0
2000-11-20,1098.0
2000-11-27,845.0
2000-12-04,1034.0
2000-12-14,719.0
2000-12-18,892.0
2000-12-26,552.0
2001-01-02,712.0
2001-01-08,582.0
2001-01-15,735.0
2001-01-22,603.0
2001-01-29,680.0
2001-02-05,713.0
2001-02-13,588.0
2001-02-19,1006.0
2001-02-26,706.0
2001-03-05,1020.0
2001-03-09,1170.0
2001-03-16,1119.0
2001-03-23,826.0
2001-03-30,778.0
2001-04-06,906.0
2001-04-13,893.0
2001-04-20,886.0
2001-04-27,845.0
2001-05-04,710.0
2001-05-11,758.0
2001-05-18,900.0
2001-05-25,765.0
2001-06-01,867.0
2001-06-08,883.0
2001-06-15,955.0
2001-06-22,948.0
2001-06-29,911.0
2001-07-06,1028.0
2001-07-13,951.0
2001-07-20,1020.0
2001-07-27,1051.0
2001-08-03,1068.0
2001-08-10,1098.0
2001-08-17,740.0
2001-08-24,890.0
2001-08-31,960.0
2001-09-07,828.0
2001-09-14,915.0
2001-09-21,823.0
2001-09-27,895.0
2001-10-05,850.0
2001-10-12,848.0
2001-10-19,822.0
2001-10-26,855.0
2001-11-02,871.0
2001-11-09,770.0
2001-11-16,823.0
2001-11-30,800.0
2001-12-07,989.0
2001-12-14,786.0
2001-12-21,749.0
2002-01-04,770.0
2002-01-11,772.0
2002-01-18,936.0
2002-01-25,870.0
2002-02-01,881.0
2002-02-08,953.0
2002-02-15,873.0
2002-02-22,1006.0
2002-03-01,949.0
2002-03-08,946.0
2002-03-15,1024.0
2002-03-22,910.0
2002-03-29,896.0
2002-04-05,957.0
2002-04-12,939.0
2002-04-19,890.0
2002-04-26,803.0
2002-05-03,845.0
2002-05-10,1000.0
2002-05-17,998.0
2002-05-24,952.0
2002-05-31,911.0
2002-06-07,888.0
2002-06-14,952.0
2002-06-21,958.0
2002-06-28,926.0
2002-07-05,850.0
2002-07-12,912.0
2002-07-19,944.0
2002-07-26,874.0
2002-08-02,963.0
2002-08-09,822.0
2002-08-16,912.0
2002-08-23,866.0
2002-08-30,792.0
2002-09-06,939.0
2002-09-13,891.0
2002-09-20,863.0
2002-09-27,901.0
2002-10-04,1294.0
2002-10-25,1102.0
2002-11-01,1185.0
2002-11-08,910.0
2002-11-15,980.0
2002-11-22,928.0
2002-11-29,978.0
2002-12-06,875.0
2002-12-13,996.0
2002-12-20,921.0
2003-01-03,617.0
2003-01-10,963.0
2003-01-17,1015.0
2003-01-24,836.0
2003-01-31,1000.0
2003-02-07,912.0
2003-02-14,910.0
2003-02-21,858.0
2003-02-28,944.0
2003-03-07,980.0
2003-03-14,972.0
2003-03-21,1002.0
2003-03-28,1014.0
2003-04-04,1013.0
2003-04-11,1023.0
2003-04-18,979.0
2003-04-25,1008.0
2003-05-02,975.0
2003-05-09,930.0
2003-05-16,1021.0
2003-05-23,1018.0
2003-05-30,1035.0
2003-06-06,1033.0
2003-06-13,908.0
2003-06-20,975.0
2003-07-07,938.0
2003-08-04,975.0
2003-09-04,841.0
2003-10-06,1023.0
2003-11-03,917.0
2003-12-01,1060.0
2004-01-05,1049.0
2004-02-02,927.0
2004-03-12,938.0
2004-04-05,1143.0
2004-05-03,870.0
2004-06-07,1080.0
2004-07-05,1010.0
2004-08-02,1000.0
2004-09-06,930.0
2004-10-06,923.0
2004-11-01,860.0
2004-12-06,991.0
2005-01-03,969.0
2005-02-07,969.0
2005-03-07,948.0
2005-04-04,947.0
2005-05-02,1040.0
2005-06-09,984.0
2005-07-05,841.0
2005-08-03,847.0
2005-09-05,902.0
2005-10-24,884.0
2005-11-07,913.0
2005-11-21,891.0
2005-12-05,916.0
2005-12-19,862.0
2006-01-09,968.0
2006-02-06,968.0
2006-03-06,967.0
2006-04-03,885.0
2006-05-01,979.0
2006-06-05,879.0
