Date,y
2000-08-28,1.0
2000-09-13,3.0
2000-10-12,3.0
2000-11-14,0.5
2000-12-08,37.0
2001-02-16,11.0
2001-04-20,4.0
2001-07-09,4.0
2001-10-23,1.0
2002-01-22,2.0
2002-05-01,0.5
2002-08-05,0.5
2002-10-23,0.5
2003-01-20,0.5
2003-04-15,0.5
2003-08-05,0.5
2003-10-31,0.5
2004-02-04,0.5
2004-04-27,0.5
2004-10-26,1.0
2005-04-11,1.0
2005-10-26,2.0
2006-05-17,3.0
2006-10-19,4.0
2007-05-31,5.0
2007-11-14,6.0
2008-04-08,6.0
2008-10-16,8.0
2010-10-26,0.5
2011-05-03,19.0
2011-11-15,21.0
2012-05-14,18.0
2012-10-29,20.0
2013-06-19,30.0
2013-11-13,4.0
2014-06-05,26.0
2014-11-05,30.0
2015-05-27,28.0
2015-11-19,30.0
2016-06-08,26.0
