Date,y
2006-11-09,4054.0
2006-12-08,3600.0
2007-01-08,3923.0
2007-02-20,4040.0
2007-03-14,3993.0
2007-04-10,3779.0
2007-05-16,3832.0
2007-06-13,3780.0
2007-07-09,3845.0
2007-08-07,3827.0
2007-09-05,3580.0
2007-10-02,3812.0
2008-02-06,3070.0
2008-04-21,3018.0
2008-08-08,2901.0
2008-11-06,3025.0
2009-01-28,2816.0
2009-04-21,2814.0
2009-07-24,2804.0
2009-10-20,2700.0
2010-01-14,2470.0
2010-04-15,2492.0
2010-07-28,2807.0
2010-11-02,2123.0
2011-01-20,3003.0
2011-04-14,1929.0
2011-09-21,2282.0
2011-10-19,2286.0
2012-02-09,2269.0
2012-04-19,2671.0
2012-08-17,2300.0
2012-11-13,2020.0
2013-02-21,1831.0
2013-06-21,2300.0
2013-08-28,1800.0
2013-11-26,1100.0
2014-03-14,1700.0
2014-06-12,1800.0
2014-09-08,1800.0
2014-11-12,1800.0
2015-03-18,1800.0
2015-06-11,1500.0
2015-08-10,1400.0
2015-12-08,1600.0
2016-02-19,1500.0
2016-04-25,1200.0
2016-09-22,1100.0
2016-12-21,1300.0
2017-02-17,1000.0
2017-06-02,1200.0
2017-08-30,1100.0
2017-11-14,1100.0
2018-02-01,710.0
2018-06-27,580.0
2018-08-13,1000.0
2018-10-18,1000.0
2019-03-13,750.0
2019-04-24,804.0
2019-08-20,650.0
2019-11-20,400.0
2020-02-03,660.0
2020-04-29,650.0
2020-07-23,690.0
2020-10-27,660.0
2001-10-17,370.0
2001-10-22,340.0
2002-01-22,547.0
2002-04-23,179.0
2002-07-10,96.0
2002-10-22,156.0
2003-01-17,326.0
2003-04-21,365.0
2003-07-24,522.0
2003-10-17,535.0
2004-01-16,430.0
2004-04-22,473.0
2004-07-07,520.0
2004-10-19,644.0
2005-02-02,472.0
2005-04-18,659.0
2005-07-19,690.0
2005-10-25,728.0
2006-01-10,672.0
2006-05-05,885.0
2006-07-14,738.0
2006-10-23,857.0
2007-01-04,882.0
2007-04-18,942.0
2007-07-13,1054.0
2007-10-02,1183.0
2008-01-31,1119.0
2008-04-09,981.0
2008-07-24,1148.0
2008-10-27,1318.0
2009-01-27,1268.0
2009-04-22,1277.0
2009-07-21,1356.0
2009-10-08,1582.0
2010-01-14,1465.0
2010-04-15,1483.0
2010-07-28,1532.0
2010-10-25,1571.0
2011-01-26,1935.0
2011-04-14,1481.0
2011-09-21,1266.0
2011-11-15,1586.0
2012-04-20,1874.0
2012-11-13,1590.0
2013-06-21,2100.0
2013-11-26,2100.0
2014-06-12,1900.0
2014-11-12,2200.0
2015-06-11,2100.0
2015-12-08,2200.0
2016-06-22,900.0
2016-12-13,2300.0
2017-06-02,1400.0
2017-08-17,2200.0
2017-11-24,340.0
2018-06-27,680.0
2018-11-30,290.0
2019-05-07,500.0
2019-11-25,450.0
2020-05-05,870.0
2020-10-29,700.0
