Date,y
1992-05-12,0.5
1992-08-25,0.5
1992-11-02,0.5
1993-02-01,0.5
1993-04-26,0.5
1993-07-19,0.5
1993-10-12,0.5
1997-08-12,4.0
1997-09-09,6.0
1997-10-07,6.0
1997-11-11,10.0
1997-12-09,6.0
1998-01-14,9.0
1998-02-10,8.0
1998-03-10,12.0
1998-04-07,11.0
1998-05-06,12.0
1998-06-04,11.0
1998-07-06,14.0
1998-11-05,15.0
1998-12-05,14.0
1999-01-05,19.0
1999-02-05,16.0
1999-03-17,19.0
1999-04-07,22.0
1999-05-17,29.0
1999-06-09,25.0
1999-07-08,24.0
1999-08-02,27.0
1999-09-15,41.0
1999-10-01,42.0
1999-10-19,50.0
1999-12-04,52.0
1999-12-22,40.0
2000-01-13,50.0
