Date,y
1993-08-23,0.5
1995-09-01,0.5
1995-10-31,0.5
1996-04-01,0.5
1996-09-17,0.5
1997-02-26,0.5
1997-08-18,0.5
1998-02-23,0.5
1998-09-22,1.0
1999-02-01,2.0
1999-08-23,0.5
1999-11-03,0.5
2000-02-23,0.5
2000-03-21,2.0
2000-04-25,1.0
2000-08-16,2.0
2001-05-09,0.5
2001-11-05,0.5
2002-04-25,0.5
2002-10-16,0.5
2003-05-01,0.5
2003-10-06,0.5
2004-04-27,0.5
2004-10-19,0.5
2005-04-27,0.5
2005-10-26,0.5
2006-05-12,0.5
2006-10-11,0.5
2007-04-23,0.5
2007-11-05,0.5
2008-07-25,0.5
2009-07-28,0.5
2010-07-15,0.5
2011-08-19,0.5
2012-07-25,0.5
2013-07-15,0.5
2014-08-13,0.5
2015-07-22,0.5
