Date,y
1994-02-21,20.0
1994-03-14,5.0
1994-03-28,3.0
1994-04-25,3.0
1994-07-26,0.5
1994-10-18,0.5
1995-01-30,0.5
1995-09-01,0.5
1995-10-31,0.5
1996-04-01,0.5
1996-09-17,1.0
1997-02-18,0.5
1997-08-20,0.5
1998-02-23,0.5
1998-07-07,2.0
1998-09-22,1.0
1998-12-05,0.5
1999-02-05,0.5
1999-05-20,0.5
1999-08-02,0.5
1999-11-01,0.5
2000-02-10,0.5
2000-05-08,0.5
2000-08-07,0.5
2000-11-14,0.5
2001-02-19,0.5
2001-04-18,0.5
2001-07-12,0.5
2001-10-19,0.5
2002-01-29,0.5
2002-04-30,0.5
2002-08-02,1.0
2002-11-08,0.5
2003-01-24,0.5
2003-04-15,0.5
2003-08-06,0.5
2003-11-05,0.5
2004-02-10,0.5
2004-05-10,0.5
2004-11-08,0.5
2005-05-06,0.5
2005-11-14,0.5
2006-05-17,0.5
2006-11-10,0.5
