Date,y
2001-08-20,1.0
2001-09-05,1.0
2001-09-06,1.0
2001-09-07,1.0
2001-09-14,0.5
2001-09-21,0.5
2001-09-27,0.5
2001-10-05,0.5
2001-10-12,0.5
2001-10-19,0.5
2001-10-26,0.5
2001-11-02,2.0
2001-11-09,0.5
2001-11-16,0.5
2001-11-30,0.5
2001-12-07,0.5
2001-12-14,0.5
2001-12-21,0.5
2002-01-04,0.5
2003-11-18,2.0
2004-01-12,11.0
2004-01-14,8.0
2004-01-15,8.0
2004-02-02,4.0
2004-03-12,5.0
2004-03-15,6.0
2004-04-05,5.0
2004-06-07,11.0
2005-05-16,32.0
2005-08-15,35.0
2005-11-17,22.0
2006-02-07,34.0
2006-05-19,41.0
