Date,y
1986-05-21,40.0
1986-11-12,76.0
1987-10-13,184.0
1988-04-11,90.0
1988-12-09,90.0
1989-07-18,52.0
1990-01-31,26.0
1990-08-03,54.0
1991-01-18,19.0
1991-08-14,30.0
1992-02-18,15.0
1992-07-22,16.0
1993-03-04,16.0
2001-08-09,1220.0
2002-04-24,73.0
2002-08-15,80.0
2002-10-14,47.0
2003-01-16,6.0
2003-04-14,8.0
2003-07-11,7.0
2003-11-03,4.0
2004-02-12,3.0
2004-04-19,4.0
2004-10-18,6.0
2005-05-06,2.0
2005-10-07,1.0
2006-04-04,2.0
2006-10-12,5.0
2007-05-29,5.0
2007-10-30,0.5
2008-08-13,0.5
2009-08-10,0.5
2010-08-10,0.5
2010-10-14,31.0
