Date,y
1986-05-22,0.5
1987-01-21,0.5
1987-10-16,6.0
1988-04-13,12.0
1988-12-13,24.0
1989-07-20,20.0
1990-01-31,5.0
1990-08-03,1.0
1991-01-21,15.0
1991-08-15,24.0
1992-01-15,41.0
1992-07-22,47.0
1993-03-04,130.0
1993-08-23,143.0
1994-06-22,82.0
1995-10-31,1150.0
1996-04-02,1400.0
1997-05-14,1580.0
1997-10-20,2990.0
1997-11-18,2490.0
1997-12-15,2240.0
1998-02-23,2180.0
1998-03-23,2030.0
1998-04-22,2330.0
1998-05-03,1950.0
1998-06-17,2900.0
1998-07-21,2680.0
1998-08-25,1590.0
1998-09-22,2640.0
1998-10-15,2480.0
1998-11-16,2460.0
1998-12-17,2400.0
1999-01-01,2420.0
1999-02-01,2380.0
1999-03-23,2170.0
1999-04-13,2320.0
1999-05-11,2260.0
1999-05-26,2110.0
1999-06-09,2140.0
1999-07-09,1970.0
1999-08-20,2100.0
1999-09-23,2040.0
1999-10-01,1890.0
1999-11-05,2020.0
1999-12-17,2070.0
2000-01-20,1960.0
2000-02-25,1900.0
2000-03-27,1670.0
2000-04-18,1830.0
2000-05-18,1680.0
2000-06-14,1730.0
2000-07-14,1620.0
2000-08-24,1530.0
2000-09-19,1570.0
2000-10-23,1580.0
2000-11-09,1880.0
2000-12-14,1580.0
2001-01-31,1238.0
2001-04-25,1263.0
2001-07-20,1193.0
2001-10-22,1177.0
2002-01-14,1219.0
2002-04-09,1187.0
2002-07-09,1150.0
2002-10-09,1176.0
2003-01-14,932.0
2003-05-09,647.0
2003-05-16,681.0
2003-05-23,736.0
2003-05-30,694.0
2003-06-06,728.0
2003-06-13,707.0
2003-06-20,587.0
2003-07-07,553.0
2003-07-14,594.0
2003-08-04,553.0
2003-09-02,481.0
2003-10-06,485.0
2004-02-11,484.0
2004-04-26,416.0
2004-10-14,365.0
2005-05-03,377.0
2005-11-08,593.0
2006-04-05,1072.0
2006-10-25,1272.0
2007-05-25,1094.0
2007-10-24,1813.0
2008-04-22,1278.0
2008-10-21,1173.0
2009-04-24,1083.0
2009-10-26,927.0
2010-05-20,1073.0
2010-10-19,1505.0
2011-04-25,929.0
2011-09-18,548.0
2011-10-24,567.0
2012-01-11,586.0
2012-05-10,498.0
2012-08-02,346.0
2012-10-23,752.0
2013-01-17,780.0
2013-05-31,1330.0
2013-08-30,1400.0
2013-10-16,1400.0
2014-03-10,1700.0
2014-04-30,1600.0
2014-09-05,1500.0
2014-10-30,1500.0
2015-03-09,1300.0
2015-05-27,1000.0
2015-08-11,1200.0
2015-10-27,1200.0
2016-02-29,970.0
2016-06-09,1000.0
2016-09-23,860.0
2017-03-17,720.0
2017-05-05,700.0
2017-08-22,640.0
2017-11-10,440.0
2018-01-26,330.0
2018-05-03,8.0
2018-06-28,420.0
2018-08-07,500.0
2018-10-22,460.0
2019-02-22,260.0
2019-05-20,500.0
2019-07-24,350.0
2019-10-30,490.0
2020-03-03,390.0
2020-05-14,420.0
2020-09-21,360.0
2020-10-14,320.0
1987-10-17,20000.0
1988-04-14,17000.0
1988-12-15,11000.0
1989-07-24,9400.0
1990-02-02,8300.0
1990-08-03,7300.0
1991-01-22,7300.0
1991-08-15,6500.0
1992-02-18,5900.0
1992-07-22,4900.0
1993-03-05,3200.0
1993-08-24,2200.0
1994-06-22,1050.0
1995-10-31,1280.0
1996-04-01,940.0
1997-05-14,0.5
1997-06-24,890.0
1997-10-20,650.0
1997-11-18,620.0
1997-12-15,560.0
1998-02-23,634.0
1998-03-23,510.0
1998-04-22,530.0
1998-05-20,615.0
1998-06-18,540.0
1998-07-16,260.0
1998-08-24,480.0
1998-09-22,680.0
1999-02-01,780.0
1999-05-27,710.0
1999-06-09,750.0
1999-07-09,700.0
1999-08-20,355.0
1999-09-23,14.0
1999-10-01,355.0
1999-11-26,408.0
1999-12-16,485.0
2000-01-20,350.0
2000-02-28,1160.0
2000-03-22,300.0
2000-04-24,360.0
2000-05-26,340.0
2000-08-24,350.0
2000-11-29,240.0
2001-02-23,218.0
2001-05-07,203.0
2001-08-08,278.0
2001-10-30,375.0
2002-02-08,272.0
2002-04-24,351.0
2002-07-17,279.0
2002-10-16,527.0
2003-01-16,423.0
2009-08-17,292.0
2011-09-27,154.0
2012-08-02,135.0
2015-07-29,110.0
2016-09-22,48.0
2017-07-13,130.0
2017-09-13,120.0
2018-09-21,120.0
2019-07-16,99.0
2020-07-24,60.0
1999-05-05,4420.0
1999-05-11,4050.0
1999-05-26,4130.0
1999-06-09,4570.0
1999-07-09,3980.0
1999-08-20,3900.0
1999-09-23,4000.0
1999-10-01,4030.0
1999-11-01,4260.0
2000-01-20,4060.0
2000-02-25,4180.0
2000-03-27,3710.0
2000-04-18,3880.0
2000-05-18,3680.0
2000-06-14,3720.0
2000-07-14,3600.0
2000-08-22,3540.0
2000-08-28,2950.0
2000-09-11,2330.0
2000-09-18,2170.0
2000-09-25,1970.0
2000-10-02,1800.0
2000-10-09,1890.0
2000-10-23,1690.0
2000-10-30,1400.0
