Date,y
2000-06-14,9.0
2000-07-14,3.0
2000-08-24,35.0
2000-09-19,7.0
2000-10-19,6.0
2000-11-09,3.0
2000-12-14,0.5
2001-01-31,0.5
2001-04-25,2.0
2001-07-20,0.5
2001-10-22,1.0
2002-01-14,0.5
2002-04-09,0.5
2002-07-09,0.5
2002-10-09,0.5
2003-01-14,0.5
2003-04-14,0.5
2003-07-14,0.5
2003-10-08,0.5
2004-01-29,0.5
2004-04-21,0.5
2004-10-14,0.5
2005-04-04,0.5
2005-11-08,0.5
2006-04-17,0.5
2006-10-19,0.5
2007-05-29,0.5
2007-10-10,0.5
2008-08-12,0.5
2009-08-12,0.5
2010-08-10,0.5
2011-07-13,0.5
2011-09-19,0.5
2012-07-31,0.5
2013-08-22,0.5
2014-09-05,15.0
2014-09-15,23.0
2015-07-28,12.0
2015-10-30,21.0
2015-11-09,16.0
2015-11-30,16.0
2015-12-16,12.0
2016-09-21,0.5
2017-08-03,0.5
2018-08-15,3.3
2019-09-16,1.3
2020-09-21,2.2
2000-09-08,5.0
2000-10-24,2.0
2000-11-15,2.0
2000-12-20,1.0
2001-02-19,0.5
2001-04-26,0.5
2001-07-23,46.0
2001-10-01,8.0
2002-01-14,2.0
2002-04-11,0.5
2002-07-18,0.5
2002-10-16,0.5
2003-01-22,0.5
2003-04-30,0.5
2003-08-11,0.5
2003-10-13,0.5
2004-02-09,0.5
2004-04-16,18.0
2004-04-21,10.0
2004-04-22,5.0
2004-10-18,1.0
2005-04-05,0.5
2005-10-06,2.0
2006-05-18,3.0
2006-10-09,4.0
2007-04-06,5.0
2007-10-22,8.0
2008-08-12,9.0
2009-08-14,12.0
2010-08-04,15.0
2011-07-13,11.0
2011-09-26,13.0
2011-11-21,15.0
2012-10-16,12.0
2013-05-08,18.0
2013-11-20,18.0
2014-04-28,17.0
2014-10-21,19.0
2015-05-21,18.0
2015-10-27,20.0
2015-11-10,21.0
2016-05-26,20.0
2016-11-02,17.0
2017-05-03,2.2
2017-09-06,14.0
2018-06-19,11.0
2018-11-14,15.0
2019-05-15,15.0
2019-10-22,16.0
2020-05-28,11.0
2020-12-09,20.0
