Date,y
1999-04-30,1550.0
1999-05-11,1510.0
1999-05-26,1500.0
1999-06-09,1400.0
1999-07-09,1110.0
1999-08-20,1260.0
1999-09-23,1170.0
1999-10-01,1110.0
1999-11-01,1040.0
1999-12-16,980.0
2000-01-20,850.0
2000-02-28,750.0
2000-03-23,510.0
2000-04-18,570.0
2000-05-18,410.0
2000-06-14,480.0
2000-07-14,335.0
2000-08-28,510.0
2000-09-22,330.0
2000-10-24,370.0
2000-11-09,330.0
2000-12-20,255.0
2001-02-01,202.0
2001-04-25,171.0
2001-07-23,184.0
2001-11-02,162.0
2001-11-09,166.0
2002-02-13,137.0
2002-10-14,213.0
2003-01-14,138.0
2003-04-14,172.0
2003-08-11,260.0
2003-10-08,317.0
2004-01-29,248.0
2004-04-21,189.0
2004-10-14,186.0
2005-04-08,181.0
2005-11-15,229.0
2006-05-17,141.0
2006-10-25,127.0
2007-05-29,138.0
2007-10-22,110.0
2008-08-12,102.0
2009-08-12,104.0
2010-08-05,53.0
2011-07-13,36.0
2011-10-25,278.0
2012-05-10,114.0
2012-10-24,100.0
2013-05-08,170.0
2013-11-11,190.0
2014-04-28,130.0
2014-10-29,300.0
2015-06-10,90.0
2015-10-27,230.0
2016-05-26,110.0
2016-11-28,100.0
2017-05-03,110.0
2017-11-09,140.0
2018-05-04,240.0
2018-10-30,150.0
2019-05-13,110.0
2019-10-29,93.0
2020-05-26,60.0
2020-11-17,91.0
1999-10-05,21.0
1999-11-01,3.0
1999-12-16,0.5
2000-01-20,0.5
2000-02-25,67.0
2000-03-23,29.0
2000-04-18,9.0
2000-05-18,4.0
2000-06-14,3.0
2000-07-14,1.0
2000-08-24,2.0
2000-09-22,2.0
2000-10-24,0.5
2000-11-09,0.5
2000-12-20,8.0
2001-02-01,2.0
2001-04-25,0.5
2001-07-23,2.0
2001-10-30,0.5
2002-01-14,0.5
2002-04-09,80.0
2002-07-16,0.5
2002-10-09,4.0
2003-01-14,0.5
2003-04-14,0.5
2003-07-14,0.5
2003-10-08,0.5
2004-01-29,0.5
2004-04-21,0.5
2004-10-14,0.5
2005-04-05,0.5
2005-11-08,0.5
2006-05-17,0.5
2006-10-24,0.5
2007-04-16,0.5
2007-10-22,0.5
2008-08-12,0.5
2009-08-12,0.5
2010-08-04,0.5
2011-07-13,2.0
2011-10-25,0.5
2012-05-10,0.5
2012-10-24,0.5
2013-05-08,0.5
2013-10-16,0.5
2014-04-28,0.5
2014-10-29,0.5
2015-05-21,0.5
2015-10-27,0.5
2016-05-26,0.5
2016-11-28,0.5
2017-05-02,0.5
2017-11-07,0.5
2018-05-04,0.5
2018-11-14,0.5
2019-05-13,0.5
2019-10-29,0.5
2020-05-26,0.5
2020-11-17,0.5
2000-06-14,5.0
2000-07-14,6.0
2000-08-24,2.0
2000-09-19,1.0
2000-10-23,2.0
2000-11-09,1.0
2000-12-14,35.0
2001-01-31,3.0
2001-04-25,1.0
2001-07-20,0.5
2001-10-22,0.5
2002-01-14,0.5
2002-04-09,0.5
2002-07-09,0.5
2002-10-09,0.5
2003-01-14,0.5
2003-04-14,0.5
2003-07-14,0.5
2003-10-08,0.5
2004-01-29,0.5
2004-04-21,0.5
2004-10-14,0.5
2005-04-04,0.5
2005-11-08,0.5
2006-04-17,0.5
2006-10-19,0.5
2007-05-29,0.5
2007-10-10,0.5
2008-08-12,0.5
2009-08-12,0.5
2010-08-10,0.5
2011-07-13,0.5
2011-09-19,0.5
2012-07-31,0.5
2013-08-22,0.5
2014-09-05,0.5
2015-07-28,0.5
2015-10-30,0.5
2015-11-09,0.5
2015-11-30,0.5
2015-12-16,0.5
2016-09-21,0.5
2017-08-03,0.5
2018-08-15,0.5
2019-09-16,0.5
2020-09-21,0.5
2000-06-14,1710.0
2000-07-14,1680.0
2000-08-24,1650.0
2000-09-19,1760.0
2000-10-19,1800.0
2000-11-09,1819.0
2000-12-14,1860.0
2001-01-31,1862.0
2001-04-25,1700.0
2001-07-20,1418.0
2001-10-22,1056.0
2002-01-14,1239.0
2002-04-09,960.0
2002-07-09,850.0
2002-08-09,1034.0
2002-10-09,779.0
2003-01-14,782.0
2003-04-14,822.0
2003-06-20,460.0
2003-07-14,764.0
2003-10-08,906.0
2004-01-29,779.0
2004-04-21,742.0
2004-10-14,475.0
2005-04-12,450.0
2005-11-08,558.0
2006-04-17,809.0
2006-10-19,1174.0
2007-05-25,1496.0
2007-10-10,1632.0
2008-04-22,1314.0
2008-10-21,901.0
2009-04-24,781.0
2009-10-26,886.0
2010-04-20,1060.0
2010-10-19,1305.0
2011-04-25,866.0
2011-10-25,536.0
2012-05-10,527.0
2012-10-23,730.0
2013-05-09,840.0
2013-11-11,580.0
2014-04-28,790.0
2014-10-30,770.0
2015-05-27,620.0
2015-10-27,410.0
2015-11-09,600.0
2015-11-30,590.0
2015-12-16,600.0
2016-06-09,470.0
2016-11-28,430.0
2017-05-05,340.0
2017-11-10,320.0
2018-05-03,290.0
2018-11-15,240.0
2019-01-03,240.0
2019-02-08,240.0
2019-05-20,220.0
2019-10-29,220.0
2020-05-14,190.0
2020-10-14,150.0
2000-09-08,5.0
2000-10-24,2.0
2000-11-15,2.0
2000-12-20,1.0
2001-02-19,0.5
2001-04-26,0.5
2001-07-23,46.0
2001-10-01,8.0
2002-01-14,2.0
2002-04-11,0.5
2002-07-18,0.5
2002-10-16,0.5
2003-01-22,0.5
2003-04-30,0.5
2003-08-11,0.5
2003-10-13,0.5
2004-02-09,0.5
2004-04-16,18.0
2004-04-21,10.0
2004-04-22,5.0
2004-10-18,1.0
2005-04-05,0.5
2005-10-06,2.0
2006-05-18,3.0
2006-10-09,4.0
2007-04-06,5.0
2007-10-22,8.0
2008-08-12,9.0
2009-08-14,12.0
2010-08-04,15.0
2011-07-13,11.0
2011-09-26,13.0
2011-11-21,15.0
2012-10-16,12.0
2013-05-08,18.0
2013-11-20,18.0
2014-04-28,17.0
2014-10-21,19.0
2015-05-21,18.0
2015-10-27,20.0
2015-11-10,21.0
2016-05-26,20.0
2016-11-02,17.0
2017-05-03,2.2
2017-09-06,14.0
2018-06-19,11.0
2018-11-14,15.0
2019-05-15,15.0
2019-10-22,16.0
2020-05-28,11.0
2020-12-09,20.0
2000-09-08,1110.0
2000-10-16,1210.0
2000-10-23,1380.0
2000-10-30,1560.0
2000-11-15,1103.0
2000-12-20,687.0
2001-02-19,666.0
2001-03-01,887.0
2001-03-16,866.0
2001-04-02,776.0
2001-04-26,740.0
2001-05-18,731.0
2001-06-25,765.0
2001-07-09,851.0
2001-08-07,800.0
2001-08-20,768.0
2001-09-21,947.0
2001-09-27,1000.0
2001-10-05,1127.0
2001-10-12,1220.0
2001-10-19,1143.0
2001-10-26,1352.0
2001-11-02,1127.0
2001-11-09,1209.0
2001-11-16,1523.0
2001-11-30,1287.0
2001-12-07,1432.0
2001-12-14,1225.0
2001-12-21,1197.0
2002-01-04,1223.0
2002-01-11,1238.0
2002-01-18,1587.0
2002-01-25,1362.0
2002-02-01,1273.0
2002-02-08,1550.0
2002-02-15,1325.0
2002-02-22,1447.0
2002-03-01,1591.0
2002-03-08,1422.0
2002-03-15,1485.0
2002-03-22,1713.0
2002-03-29,1646.0
2002-04-05,1395.0
2002-04-12,1397.0
2002-04-19,1197.0
2002-04-26,1344.0
2002-05-03,1454.0
2002-05-10,1635.0
2002-05-17,1480.0
2002-05-24,1440.0
2002-05-31,1565.0
2002-06-07,1457.0
2002-06-14,1599.0
2002-06-21,1643.0
2002-06-28,1552.0
2002-07-05,1401.0
2002-07-12,1350.0
2002-07-19,1528.0
2002-07-26,1583.0
2002-08-02,1549.0
2002-08-09,1464.0
2002-08-16,1392.0
2002-08-23,1248.0
2002-08-30,1124.0
2002-09-06,1344.0
2002-09-13,1073.0
2002-09-20,1265.0
2002-09-27,1204.0
2002-10-04,1376.0
2002-10-25,1196.0
2002-11-01,1418.0
2002-11-08,1344.0
2002-11-15,1198.0
2002-11-22,1197.0
2002-11-29,1199.0
2002-12-06,1073.0
2002-12-16,1152.0
2002-12-20,1087.0
2003-01-03,1051.0
2003-01-10,1116.0
2003-01-17,1116.0
2003-01-24,1058.0
2003-01-31,1119.0
2003-02-07,973.0
2003-02-14,957.0
2003-02-21,929.0
2003-02-28,1017.0
2003-03-07,1036.0
2003-03-14,1054.0
2003-03-21,1025.0
2003-03-28,1050.0
2003-04-04,1022.0
2003-04-11,1020.0
2003-04-18,978.0
2003-04-25,912.0
2003-05-02,935.0
2003-05-09,890.0
2003-05-16,931.0
2003-05-23,882.0
2003-05-30,864.0
2003-06-06,918.0
2003-06-13,825.0
2003-06-20,792.0
2003-07-07,771.0
2003-08-04,800.0
2003-09-02,757.0
2003-10-06,763.0
2003-11-03,596.0
2003-12-01,627.0
2004-01-05,609.0
2004-02-02,580.0
2004-03-01,553.0
2004-04-05,722.0
2004-05-03,480.0
2004-06-07,540.0
2004-07-05,520.0
2004-08-02,540.0
2004-09-06,500.0
2004-10-06,500.0
2004-11-01,494.0
2004-12-06,552.0
2005-01-03,533.0
2005-02-07,519.0
2005-03-07,570.0
2005-04-04,320.0
2005-05-02,257.0
2005-06-09,662.0
2005-07-05,343.0
2005-08-01,797.0
2005-09-05,861.0
2006-05-19,424.0
2006-06-05,884.0
2006-07-03,861.0
2006-08-31,958.0
2006-09-11,924.0
2006-10-02,830.0
2007-12-17,233.0
2008-04-23,221.0
2008-10-15,182.0
2009-04-24,207.0
2009-10-07,214.0
2010-04-20,233.0
2010-10-18,134.0
2011-04-22,152.0
2011-11-21,176.0
2012-04-18,177.0
2012-10-16,130.0
2013-05-08,160.0
2013-10-15,210.0
2013-11-11,97.0
2013-11-20,110.0
2014-04-28,150.0
2014-10-21,160.0
2015-05-21,190.0
2015-10-27,150.0
2015-11-10,200.0
2016-05-26,200.0
2016-11-02,160.0
2017-05-03,250.0
2017-09-06,170.0
2018-06-19,250.0
2018-11-14,210.0
2019-05-15,170.0
2019-10-22,190.0
2020-05-28,170.0
2020-12-09,250.0
2000-06-21,4470.0
2000-06-26,4460.0
2000-07-17,4100.0
2000-08-01,3720.0
2000-08-07,3700.0
2000-08-14,3940.0
2000-08-21,3840.0
2000-08-28,4040.0
2000-09-05,4380.0
2000-10-02,4250.0
2000-10-09,4200.0
2000-10-16,4300.0
2000-10-23,4310.0
2000-10-30,4260.0
2000-11-06,5016.0
2000-11-16,4785.0
2000-11-27,5247.0
2000-12-11,5142.0
2000-12-18,5078.0
2000-12-26,4186.0
2001-01-02,4876.0
2001-01-08,2643.0
2001-01-15,5075.0
2001-01-23,3407.0
2001-02-02,4299.0
2001-02-06,4587.0
2001-02-12,5234.0
2001-02-19,3546.0
2001-02-26,5502.0
2001-03-05,4427.0
2001-03-09,4808.0
2001-03-16,5868.0
2001-03-23,4186.0
2001-03-30,4249.0
2001-04-06,4705.0
2001-04-13,4600.0
2001-04-20,4246.0
2001-04-27,4262.0
2001-05-04,4218.0
2001-05-11,3559.0
2001-05-18,4280.0
2001-05-25,3824.0
2001-06-01,4120.0
2001-06-08,4117.0
2001-06-15,4201.0
2001-06-22,3953.0
2001-06-29,3584.0
2001-07-06,4063.0
2001-07-13,4355.0
2001-07-20,4862.0
2001-07-27,5916.0
2001-08-03,6116.0
2001-08-10,6743.0
2001-08-17,5700.0
2001-08-24,5360.0
2001-08-31,4980.0
2001-09-07,5200.0
2001-09-14,6088.0
2001-09-21,4991.0
2001-09-27,5035.0
2008-11-14,40.0
2009-04-28,35.0
2009-10-27,32.0
2010-05-11,36.0
2010-11-11,28.0
2011-05-19,35.0
2011-10-25,32.0
2012-06-18,193.0
2012-10-24,100.0
2013-05-09,102.0
2013-11-11,78.0
2014-04-28,60.0
2014-11-03,68.0
2015-05-26,65.0
2015-10-27,56.0
2016-06-09,48.0
2016-11-29,49.0
