Date,y
2006-08-03,1104.0
2006-10-12,1035.0
2007-01-12,980.0
2007-04-11,872.0
2007-07-13,932.0
2007-10-04,845.0
2008-01-08,755.0
2008-04-14,719.0
2008-08-08,658.0
2008-11-07,719.0
2009-01-23,654.0
2009-04-21,654.0
2009-07-22,531.0
2009-10-30,573.0
2010-02-03,588.0
2010-05-13,652.0
2010-07-23,707.0
2010-11-10,416.0
2011-01-31,699.0
2011-04-05,536.0
2011-09-20,471.0
2011-10-26,481.0
2012-02-09,467.0
2012-05-29,459.0
2012-08-10,460.0
2012-11-12,440.0
2013-02-21,319.0
2013-03-28,472.0
2013-06-21,470.0
2013-08-27,380.0
2013-11-25,340.0
2014-02-24,310.0
2014-05-07,290.0
2014-07-09,290.0
2014-11-11,290.0
2015-03-18,250.0
2015-05-15,230.0
2015-07-29,240.0
2015-12-07,220.0
2016-02-16,220.0
2016-05-11,260.0
2016-08-17,210.0
2016-11-09,230.0
2017-01-26,250.0
2017-05-25,210.0
2017-08-23,190.0
2017-12-19,210.0
2018-03-15,200.0
2018-05-14,170.0
2018-09-24,210.0
2018-10-18,200.0
2019-03-13,190.0
2019-04-23,190.0
2019-08-27,250.0
2019-11-14,200.0
2020-02-19,180.0
2020-06-10,180.0
2020-08-11,160.0
2020-11-11,150.0
2001-07-17,667.0
2001-07-22,800.0
2001-10-18,654.0
2001-10-22,770.0
2002-03-11,353.0
2002-04-11,211.0
2002-07-09,134.0
2002-11-08,262.0
2003-02-06,217.0
2003-05-06,149.0
2003-08-12,147.0
2003-10-16,139.0
2004-01-21,128.0
2004-04-15,92.0
2004-10-13,87.0
2005-04-25,81.0
2005-10-04,76.0
2006-04-13,58.0
2006-11-13,44.0
2007-04-23,36.0
2007-11-08,35.0
2008-04-17,35.0
2008-11-03,37.0
2009-04-27,33.0
2009-10-22,34.0
2010-05-20,33.0
2010-07-30,2.0
2010-11-08,31.0
2011-05-16,30.0
2011-10-24,28.0
2012-06-12,33.0
2012-11-08,32.0
2013-05-21,29.0
2013-10-17,30.0
2014-04-21,26.0
2014-11-06,31.0
2015-05-19,29.0
2015-11-18,28.0
2016-05-25,27.0
2016-11-14,26.0
2017-06-06,22.0
2017-11-21,22.0
2018-05-16,23.0
2018-11-30,20.0
2019-05-14,21.0
2019-11-14,19.0
2020-05-14,20.0
2020-11-19,20.0
