Date,y
2000-11-06,3531.0
2000-11-13,4812.0
2000-11-20,3859.0
2000-11-27,3553.0
2000-12-04,2435.0
2000-12-11,2760.0
2000-12-18,2523.0
2000-12-28,2137.0
2001-01-02,2099.0
2001-01-08,2573.0
2001-01-15,2335.0
2001-01-22,2419.0
2001-01-29,3593.0
2001-02-06,3291.0
2001-02-12,3273.0
2001-02-22,2754.0
2001-02-26,3162.0
2001-03-05,2124.0
2001-03-09,3170.0
2001-03-16,3405.0
2001-03-23,2968.0
2001-03-30,2799.0
2001-04-06,2963.0
2001-04-13,2317.0
2001-04-20,2830.0
2001-04-27,2883.0
2001-05-04,2758.0
2001-05-11,2803.0
2001-05-18,2960.0
2001-05-25,2670.0
2001-06-01,2678.0
2001-06-08,2871.0
2001-06-15,3482.0
2001-06-22,3497.0
2001-06-29,3063.0
2001-07-06,3326.0
2001-07-13,3654.0
2001-07-20,3750.0
2001-07-27,3882.0
2001-08-03,3706.0
2001-08-10,3614.0
2001-08-17,2900.0
2001-08-24,2740.0
2001-08-31,3330.0
2001-09-07,2550.0
2001-09-14,3370.0
2001-09-21,3041.0
2001-09-27,2680.0
2001-10-05,2612.0
2001-10-12,2987.0
2001-10-19,2615.0
2001-10-26,2798.0
2001-11-02,2896.0
2001-11-09,3218.0
2001-11-16,2341.0
2001-11-30,2234.0
2001-12-07,2185.0
2001-12-14,2433.0
2001-12-21,2337.0
2002-01-04,2231.0
2002-01-11,2220.0
2002-01-18,2398.0
2002-01-25,2407.0
2002-02-01,2108.0
2002-02-08,2243.0
2002-02-15,2204.0
2002-02-22,2564.0
2002-03-01,2034.0
2002-03-08,2281.0
2002-03-15,2110.0
2002-03-22,2404.0
2002-03-29,2496.0
2002-04-05,2192.0
2002-04-12,1934.0
2002-04-19,1815.0
2002-04-26,2233.0
2002-05-03,1722.0
2002-05-10,1979.0
2002-05-17,1813.0
2002-05-24,1919.0
2002-05-31,1795.0
2002-06-07,1663.0
2002-06-14,1891.0
2002-06-21,1939.0
2002-06-28,2061.0
2002-07-05,1654.0
2002-07-16,1757.0
2002-07-19,2072.0
2002-07-26,1833.0
2002-08-02,1832.0
2002-08-09,1832.0
2002-08-16,1942.0
2002-08-23,1646.0
2002-08-30,1557.0
2002-09-06,1813.0
2002-09-13,1546.0
2002-09-20,1650.0
2002-09-27,1537.0
2002-10-04,2009.0
2002-10-25,1569.0
2002-11-01,1971.0
2002-11-08,1543.0
2002-11-15,1448.0
2002-11-22,1473.0
2002-11-29,1422.0
2002-12-06,1343.0
2002-12-13,1569.0
2002-12-20,1513.0
2003-01-03,1590.0
2003-01-10,1313.0
2003-01-17,1435.0
2003-01-24,1265.0
2003-01-31,1398.0
2003-02-07,1215.0
2003-02-14,1215.0
2003-02-21,1338.0
2003-02-28,1317.0
2003-03-07,1390.0
2003-03-14,1368.0
2003-03-21,1260.0
2003-03-28,1290.0
2003-04-04,1280.0
2003-04-11,1320.0
2003-04-18,1270.0
2003-04-25,1193.0
2003-05-02,1216.0
2003-05-09,1158.0
2003-05-16,1222.0
2003-05-23,1176.0
2003-05-30,1181.0
2003-06-06,1176.0
2003-06-13,1073.0
2003-06-20,1074.0
2003-07-07,1068.0
2003-08-04,974.0
2003-09-04,957.0
2003-10-06,1019.0
2003-11-03,822.0
2003-12-01,799.0
2004-01-05,902.0
2004-02-02,725.0
2004-03-19,800.0
2004-04-05,795.0
2004-06-07,650.0
2004-07-05,560.0
2004-08-02,600.0
2004-09-06,530.0
2004-10-14,523.0
2004-11-01,493.0
2004-12-06,517.0
2005-01-03,502.0
2005-02-07,448.0
2005-03-07,446.0
2005-04-04,499.0
2005-05-02,362.0
2005-06-09,417.0
2005-07-05,394.0
2005-08-01,298.0
2005-09-05,306.0
2005-10-03,304.0
2005-10-26,343.0
2005-11-07,326.0
2005-11-21,316.0
2005-11-28,283.0
