Date,y
1987-01-20,0.5
1987-10-15,0.5
1988-04-14,0.5
1988-05-13,0.5
1988-06-16,0.5
1988-09-15,0.5
1989-01-28,0.5
1989-02-27,0.5
1989-03-20,0.5
1989-04-24,0.5
1989-05-23,0.5
1989-07-10,0.5
1989-07-19,0.5
1989-08-25,0.5
1989-09-19,0.5
1989-10-23,0.5
1989-12-01,0.5
1989-12-26,0.5
1990-02-01,0.5
1990-03-13,0.5
1990-03-30,0.5
1990-05-15,0.5
1990-06-07,15.0
1990-07-31,5.0
1990-09-04,1.0
1991-01-17,0.5
1991-08-13,0.5
1992-01-15,0.5
1992-07-21,0.5
1993-03-03,2.0
1993-08-18,0.5
1995-09-01,1.0
1995-10-31,1.0
1996-09-17,3.0
1997-02-18,1.0
1997-08-18,1.0
1998-02-23,3.0
1998-09-22,5.0
1999-02-01,5.0
1999-08-23,9.0
1999-11-03,11.0
2000-02-24,12.0
2001-08-02,36.0
2002-07-10,100.0
2002-08-09,89.0
2003-07-30,236.0
2003-10-28,231.0
2004-02-02,249.0
2004-04-20,288.0
2004-07-07,190.0
2004-10-12,265.0
2005-01-20,371.0
2005-04-04,396.0
2005-07-14,400.0
2005-10-07,339.0
2005-11-21,386.0
2005-12-05,401.0
2005-12-23,444.0
2006-01-09,484.0
2006-05-04,386.0
2006-07-07,419.0
2006-10-23,592.0
2007-01-04,512.0
2007-04-05,565.0
2007-07-12,724.0
2007-10-03,866.0
2008-01-24,866.0
2008-04-07,745.0
2008-07-16,742.0
2008-10-07,807.0
2009-02-17,777.0
2009-04-02,764.0
2009-07-17,614.0
2009-10-06,742.0
2010-01-12,735.0
2010-04-05,812.0
2010-07-08,589.0
2010-10-06,826.0
2011-01-03,729.0
2011-04-01,559.0
2011-08-01,543.0
2011-10-05,415.0
2012-01-05,520.0
2012-04-18,421.0
2012-08-02,526.0
2012-10-03,550.0
2013-01-18,533.0
2013-05-08,510.0
2013-07-12,510.0
2013-10-04,460.0
2014-03-06,370.0
2014-04-03,400.0
2014-07-22,370.0
2014-10-17,380.0
2015-01-22,370.0
2015-05-14,390.0
2015-07-23,290.0
2015-10-29,360.0
2016-02-19,340.0
2016-04-25,350.0
2016-09-22,300.0
2016-12-02,380.0
2017-02-07,310.0
2017-05-31,310.0
2017-09-05,300.0
2017-11-14,360.0
2018-01-25,320.0
2018-06-27,290.0
2018-08-23,310.0
2018-10-25,310.0
2019-03-12,270.0
2019-04-08,300.0
2019-07-16,280.0
2019-10-18,240.0
2020-03-06,280.0
2020-05-06,300.0
2020-08-10,220.0
2020-11-09,290.0
