Date,y
1994-06-17,56700.0
1994-08-18,59200.0
1994-09-01,32350.0
1994-09-30,49800.0
1994-10-27,1250.0
1994-11-23,1330.0
1995-09-01,1580.0
1995-10-31,1580.0
1996-04-01,450.0
1998-02-24,746.0
1998-03-18,540.0
1998-04-15,500.0
1998-05-12,416.0
1998-06-11,970.0
1998-12-01,950.0
1999-02-01,280.0
1999-06-11,1600.0
1999-08-05,810.0
2000-02-10,930.0
2000-08-24,540.0
2001-04-13,657.0
2001-10-04,198.0
2002-05-16,108.0
2002-11-14,98.0
2003-05-08,44.0
2003-10-10,113.0
2004-05-10,230.0
2004-11-10,368.0
2005-05-12,108.0
2005-11-01,329.0
2006-04-10,54.0
2006-10-05,6.0
2007-05-24,94.0
2007-10-08,232.0
2008-07-30,190.0
2009-08-20,32.0
2010-08-05,7.0
2011-08-29,4.0
2012-08-15,203.0
2013-08-06,41.0
2014-08-28,21.0
2015-08-07,14.0
2016-09-20,150.0
2017-07-25,84.0
2018-09-12,95.0
2019-07-08,68.0
2020-07-24,180.0
1986-05-22,0.5
1987-01-21,0.5
1987-10-16,6.0
1988-04-13,12.0
1988-12-13,24.0
1989-07-20,20.0
1990-01-31,5.0
1990-08-03,1.0
1991-01-21,15.0
1991-08-15,24.0
1992-01-15,41.0
1992-07-22,47.0
1993-03-04,130.0
1993-08-23,143.0
1994-06-22,82.0
1995-10-31,1150.0
1996-04-02,1400.0
1997-05-14,1580.0
1997-10-20,2990.0
1997-11-18,2490.0
1997-12-15,2240.0
1998-02-23,2180.0
1998-03-23,2030.0
1998-04-22,2330.0
1998-05-03,1950.0
1998-06-17,2900.0
1998-07-21,2680.0
1998-08-25,1590.0
1998-09-22,2640.0
1998-10-15,2480.0
1998-11-16,2460.0
1998-12-17,2400.0
1999-01-01,2420.0
1999-02-01,2380.0
1999-03-23,2170.0
1999-04-13,2320.0
1999-05-11,2260.0
1999-05-26,2110.0
1999-06-09,2140.0
1999-07-09,1970.0
1999-08-20,2100.0
1999-09-23,2040.0
1999-10-01,1890.0
1999-11-05,2020.0
1999-12-17,2070.0
2000-01-20,1960.0
2000-02-25,1900.0
2000-03-27,1670.0
2000-04-18,1830.0
2000-05-18,1680.0
2000-06-14,1730.0
2000-07-14,1620.0
2000-08-24,1530.0
2000-09-19,1570.0
2000-10-23,1580.0
2000-11-09,1880.0
2000-12-14,1580.0
2001-01-31,1238.0
2001-04-25,1263.0
2001-07-20,1193.0
2001-10-22,1177.0
2002-01-14,1219.0
2002-04-09,1187.0
2002-07-09,1150.0
2002-10-09,1176.0
2003-01-14,932.0
2003-05-09,647.0
2003-05-16,681.0
2003-05-23,736.0
2003-05-30,694.0
2003-06-06,728.0
2003-06-13,707.0
2003-06-20,587.0
2003-07-07,553.0
2003-07-14,594.0
2003-08-04,553.0
2003-09-02,481.0
2003-10-06,485.0
2004-02-11,484.0
2004-04-26,416.0
2004-10-14,365.0
2005-05-03,377.0
2005-11-08,593.0
2006-04-05,1072.0
2006-10-25,1272.0
2007-05-25,1094.0
2007-10-24,1813.0
2008-04-22,1278.0
2008-10-21,1173.0
2009-04-24,1083.0
2009-10-26,927.0
2010-05-20,1073.0
2010-10-19,1505.0
2011-04-25,929.0
2011-09-18,548.0
2011-10-24,567.0
2012-01-11,586.0
2012-05-10,498.0
2012-08-02,346.0
2012-10-23,752.0
2013-01-17,780.0
2013-05-31,1330.0
2013-08-30,1400.0
2013-10-16,1400.0
2014-03-10,1700.0
2014-04-30,1600.0
2014-09-05,1500.0
2014-10-30,1500.0
2015-03-09,1300.0
2015-05-27,1000.0
2015-08-11,1200.0
2015-10-27,1200.0
2016-02-29,970.0
2016-06-09,1000.0
2016-09-23,860.0
2017-03-17,720.0
2017-05-05,700.0
2017-08-22,640.0
2017-11-10,440.0
2018-01-26,330.0
2018-05-03,8.0
2018-06-28,420.0
2018-08-07,500.0
2018-10-22,460.0
2019-02-22,260.0
2019-05-20,500.0
2019-07-24,350.0
2019-10-30,490.0
2020-03-03,390.0
2020-05-14,420.0
2020-09-21,360.0
2020-10-14,320.0
1987-07-23,63000.0
1987-10-17,70000.0
1988-04-14,63000.0
1988-12-15,60000.0
1989-07-21,73000.0
1990-02-05,56000.0
1990-08-03,60000.0
1991-01-22,54000.0
1991-08-15,43000.0
1992-02-18,36900.0
1992-07-22,31500.0
1993-03-04,23900.0
1993-08-24,25600.0
1995-10-31,10900.0
1996-04-01,11000.0
1997-05-15,6840.0
1997-10-20,6100.0
1997-11-18,6440.0
1997-12-15,5710.0
