Date,y
1986-05-21,2220.0
1988-04-15,970.0
1988-04-15,1020.0
1988-12-14,1700.0
1989-07-21,1600.0
1989-10-23,1300.0
1990-01-31,1900.0
1990-06-19,2000.0
1990-08-03,2100.0
1990-11-29,2300.0
1991-01-23,2700.0
1991-05-22,3000.0
1991-08-22,2500.0
1992-01-16,2200.0
1992-05-12,2400.0
1992-07-23,2200.0
1992-11-17,2500.0
1993-03-05,2800.0
1993-08-24,3200.0
1993-12-21,3600.0
1995-10-31,4600.0
1996-09-17,3770.0
1997-02-18,3750.0
1997-08-25,4460.0
1998-02-23,4090.0
1998-09-22,3460.0
1999-02-01,3550.0
1999-08-01,3630.0
2000-02-23,3540.0
2001-02-22,2495.0
2001-05-08,2081.0
2001-07-05,2930.0
2001-11-03,3303.0
2002-01-10,1773.0
2002-02-20,1727.0
2002-04-18,1464.0
2002-08-12,1557.0
2002-11-12,522.0
2003-01-28,493.0
2003-04-22,401.0
2003-07-21,356.0
2003-10-28,330.0
2004-02-03,224.0
2004-04-23,211.0
2004-10-12,132.0
2005-04-27,92.0
2005-10-26,298.0
2005-11-30,561.0
2005-12-12,577.0
2006-01-05,581.0
2006-05-04,698.0
2006-10-10,708.0
2007-05-21,614.0
2007-10-03,558.0
2008-04-18,445.0
2008-10-23,418.0
2009-04-22,356.0
2009-10-12,354.0
2010-04-19,267.0
2010-10-11,366.0
2011-05-13,329.0
2011-10-11,249.0
2012-08-02,232.0
2013-07-19,250.0
2014-07-22,210.0
2015-07-23,160.0
2016-09-21,130.0
2017-08-30,160.0
2018-09-21,170.0
2019-08-29,150.0
