Date,y
1995-05-31,1.0
1996-02-22,2.0
1996-05-22,1.0
1996-09-04,2.0
1996-11-25,2.0
1997-04-28,2.0
1997-07-16,2.0
1997-11-20,2.0
1998-03-04,2.0
1998-06-05,2.0
1998-09-01,2.0
1998-12-02,2.0
1999-03-17,2.0
1999-06-03,1.0
1999-09-07,2.0
2000-06-06,2.0
2000-12-04,2.0
2001-06-05,2.0
2001-09-04,2.0
2001-11-07,2.0
2002-03-12,3.0
2002-06-19,3.0
2002-09-11,3.0
2002-11-20,3.0
2003-03-18,3.0
2003-06-09,2.0
2003-08-11,2.0
2003-10-06,3.0
2004-03-29,2.0
2004-06-21,2.0
2004-09-13,2.0
2004-10-25,2.0
2005-04-12,3.0
2005-07-05,3.0
2005-09-15,3.0
2005-10-24,3.0
2006-03-28,2.0
2006-06-05,3.0
2006-08-28,3.0
2006-10-02,4.0
2007-03-26,3.0
2007-06-18,3.0
2007-09-10,3.0
2007-12-19,3.0
2008-03-27,3.0
2008-06-26,3.0
2010-10-19,2.0
2011-05-23,2.0
2012-03-21,2.0
2012-09-10,2.0
2013-03-18,2.0
2013-08-05,2.0
2014-04-24,2.0
2014-09-03,2.0
2015-03-24,2.0
2016-03-21,1.0
2016-08-23,2.0
2017-03-31,2.0
2017-08-01,2.0
2018-04-20,2.0
2018-08-13,2.0
2019-04-15,2.0
