Date,y
1998-04-07,2.0
2005-04-28,1.0
2005-10-24,2.0
2005-11-07,2.0
2005-12-05,4.0
2006-01-13,3.0
2006-02-08,4.0
2006-03-02,3.0
2006-04-10,5.0
2006-05-11,5.0
2006-06-09,6.0
2006-07-05,5.0
2006-08-11,6.0
2006-09-05,5.0
2006-10-04,5.0
2006-11-15,6.0
2006-12-04,7.0
2007-01-11,7.0
2007-02-19,7.0
2007-03-20,11.0
2007-04-13,9.0
2007-05-14,6.0
2007-06-07,9.0
2007-07-10,9.0
2007-08-08,9.0
2007-09-05,8.0
2007-10-02,9.0
2008-02-14,8.0
2008-04-17,10.0
2008-07-16,13.0
2008-10-08,11.0
2009-01-08,12.0
2009-04-10,14.0
2009-07-16,11.0
2009-10-07,16.0
2010-01-25,12.0
2010-05-25,13.0
2010-07-30,16.0
2010-10-26,15.0
2011-01-12,16.0
2011-04-13,10.0
