Date,y
2008-11-12,337.0
2009-02-27,190.0
2009-03-19,250.0
2009-04-03,240.0
2009-05-04,261.0
2009-07-09,243.0
2009-10-12,279.0
2010-01-04,177.0
2010-04-13,216.0
2010-07-12,216.0
2010-10-12,254.0
2011-01-06,253.0
2011-04-07,475.0
2011-08-03,375.0
2011-10-17,299.0
2012-01-06,120.0
2012-06-01,94.0
2012-08-09,111.0
2012-11-09,118.0
2013-02-12,74.0
2013-03-27,156.0
2013-05-28,62.0
2013-08-02,78.0
2013-11-15,45.0
2014-03-28,61.0
2014-04-10,57.0
2014-08-20,55.0
2014-10-31,63.0
2015-01-22,67.0
2015-05-18,69.0
2015-07-24,84.0
2015-11-20,86.0
2016-02-10,84.0
2016-04-21,94.0
2016-09-09,180.0
2016-12-21,110.0
2017-02-03,93.0
2017-06-15,85.0
2017-08-29,97.0
2017-10-27,86.0
2018-02-01,73.0
2018-05-22,50.0
2018-08-06,54.0
2018-10-05,48.0
2019-03-02,36.0
2019-04-15,48.0
2019-07-22,23.0
2019-10-10,37.0
