Date,y
2006-04-03,3.0
2006-08-02,4.0
2006-10-27,4.0
2007-01-15,4.0
2007-04-19,5.0
2007-07-17,6.0
2007-10-12,6.0
2008-03-25,7.0
2008-04-22,7.0
2008-07-18,8.0
2008-11-06,8.0
2009-02-25,8.0
2009-04-09,8.0
2009-07-10,8.0
2009-10-21,10.0
2010-01-15,9.0
2010-04-19,9.0
2010-07-30,10.0
2010-10-22,11.0
2011-02-04,13.0
2011-04-20,8.0
2011-08-03,13.0
2011-11-17,11.0
2012-05-22,12.0
2012-10-15,10.0
2013-05-23,12.0
2013-11-18,7.0
2014-05-06,15.0
2014-10-20,13.0
2015-05-12,16.0
2015-11-13,15.0
2016-05-05,15.0
2016-11-09,16.0
2017-05-31,14.0
2017-10-09,15.0
2018-06-12,16.0
2018-11-12,17.0
2019-04-29,16.0
2019-11-11,18.0
