Date,y
2006-03-15,8.0
2006-03-16,10.0
2006-03-16,7.0
2006-03-17,8.0
2006-03-17,13.0
2006-03-20,16.0
2006-03-21,13.0
2006-03-22,13.0
2006-03-22,13.0
2006-03-23,18.0
2006-03-23,14.0
2006-03-24,9.0
2006-03-27,12.0
2006-03-28,13.0
2006-03-29,15.0
2006-03-30,12.0
2006-03-31,10.0
2006-04-03,11.0
2006-04-04,9.0
2006-04-05,10.0
2006-04-06,11.0
2006-04-07,13.0
2006-04-10,10.0
2006-04-11,10.0
2006-04-12,11.0
2006-04-13,11.0
2006-04-14,11.0
2006-04-17,11.0
2006-04-18,12.0
2006-04-19,11.0
2006-04-20,13.0
2006-04-21,11.0
2006-04-24,11.0
2006-04-24,18.0
2006-04-24,6.0
2006-04-25,20.0
2006-04-26,15.0
2006-04-27,18.0
2006-04-28,18.0
2006-05-01,25.0
2006-05-02,20.0
2006-05-03,12.0
2006-05-04,15.0
2006-05-05,12.0
2006-05-08,13.0
2006-05-09,15.0
2006-05-10,22.0
2006-05-11,17.0
2006-05-12,15.0
2006-05-15,18.0
2006-05-16,16.0
2006-05-17,18.0
2006-05-18,19.0
2006-05-19,15.0
2006-05-22,16.0
2006-05-23,14.0
2006-05-24,14.0
2006-05-26,10.0
2006-05-29,16.0
2006-05-30,14.0
2006-05-31,13.0
2006-06-01,11.0
2006-06-02,12.0
2006-06-05,10.0
2006-06-06,10.0
2006-06-07,13.0
2006-06-08,13.0
2006-06-28,11.0
2006-06-29,10.0
2006-06-30,10.0
2006-07-03,12.0
2006-07-04,16.0
2006-07-05,10.0
2006-07-06,9.0
2006-07-07,10.0
2006-07-10,12.0
2006-07-11,13.0
2006-07-12,14.0
2006-07-13,13.0
2006-07-14,14.0
2006-07-17,17.0
2006-07-18,16.0
2006-07-19,14.0
2006-07-20,16.0
2006-07-21,15.0
2006-07-24,14.0
2006-07-25,20.0
2006-07-26,21.0
2006-07-27,19.0
2006-07-28,18.0
2006-07-31,34.0
2006-07-31,20.0
2006-08-01,31.0
2006-08-02,38.0
2006-08-03,18.0
2006-08-04,19.0
2006-08-07,17.0
2006-08-08,14.0
2006-08-09,9.0
2006-08-10,12.0
2006-08-11,10.0
2006-08-14,12.0
2006-08-15,10.0
2006-08-16,10.0
2006-08-17,11.0
2006-08-18,11.0
2006-08-21,10.0
2006-08-22,8.0
2006-08-23,14.0
2006-08-24,10.0
2006-08-25,10.0
2006-08-28,10.0
2006-08-29,13.0
2006-08-30,8.0
2006-08-31,4.0
2006-09-01,4.0
2006-09-01,8.0
2006-09-05,11.0
2006-09-06,9.0
2006-09-07,13.0
2006-09-08,14.0
2006-09-11,11.0
2006-09-12,16.0
2006-09-13,18.0
2006-09-14,15.0
2006-09-15,14.0
2006-09-18,27.0
2006-09-19,12.0
2006-09-20,11.0
2006-09-21,12.0
2006-09-22,16.0
2006-09-25,13.0
2006-09-26,15.0
2006-09-27,22.0
2006-09-28,10.0
2006-09-29,7.0
2006-10-02,14.0
2006-10-03,16.0
2006-10-06,11.0
2006-10-09,11.0
2006-10-10,9.0
2006-10-11,12.0
2006-10-12,9.0
2006-10-13,12.0
2006-10-16,12.0
2006-10-17,10.0
2006-10-18,13.0
2006-10-19,9.0
2006-10-20,11.0
2006-10-23,10.0
2006-10-24,12.0
2006-10-25,12.0
2006-10-26,11.0
2006-10-27,13.0
2006-10-30,16.0
2006-10-31,10.0
2006-11-01,10.0
2006-11-02,11.0
2006-11-03,11.0
2006-11-06,12.0
2006-11-07,12.0
2006-11-08,12.0
2006-11-09,12.0
2006-11-10,11.0
2006-11-13,13.0
2006-11-14,12.0
2006-11-15,12.0
2006-11-16,13.0
2006-11-17,12.0
2006-11-20,11.0
2006-11-21,12.0
2006-11-22,11.0
2006-11-24,12.0
2006-11-27,14.0
2006-11-28,12.0
2006-11-29,8.0
2006-11-30,10.0
2006-12-01,8.0
2006-12-04,8.0
2006-12-05,9.0
2006-12-06,10.0
2006-12-07,10.0
2006-12-08,7.0
2006-12-11,9.0
2006-12-12,8.0
2006-12-13,9.0
2006-12-14,8.0
2006-12-15,9.0
2006-12-18,9.0
2006-12-19,9.0
2006-12-20,10.0
2006-12-21,8.0
2006-12-22,7.0
2006-12-26,6.0
2006-12-27,7.0
2006-12-28,7.0
2006-12-29,7.0
2007-01-02,8.0
2007-01-03,7.0
2007-01-04,8.0
2007-01-05,10.0
2007-01-08,12.0
2007-01-09,11.0
2007-01-10,9.0
2007-01-11,14.0
2007-01-12,11.0
2007-01-15,10.0
2007-01-16,8.0
2007-01-17,8.0
2007-01-18,9.0
2007-01-19,8.0
2007-01-22,7.0
2007-01-23,8.0
2007-01-24,8.0
2007-01-25,7.0
2007-01-26,9.0
2007-01-29,8.0
2007-01-30,8.0
2007-01-31,8.0
2007-02-01,10.0
2007-02-02,8.0
2007-02-05,7.0
2007-02-06,7.0
2007-02-07,6.0
2007-02-08,7.0
2007-02-09,7.0
2007-02-12,9.0
2007-02-13,8.0
2007-02-14,7.0
2007-02-15,6.0
2007-02-16,9.0
2007-02-19,10.0
2007-02-20,16.0
2007-02-21,11.0
2007-02-22,14.0
2007-02-23,7.0
2007-02-26,11.0
2007-02-27,12.0
2007-02-28,12.0
2007-03-01,10.0
2007-03-02,10.0
2007-03-05,9.0
2007-03-06,8.0
2007-03-07,11.0
2007-03-08,11.0
2007-03-09,15.0
2007-03-12,12.0
2007-03-13,17.0
2007-03-14,10.0
2007-03-15,7.0
2007-03-16,11.0
2007-03-19,15.0
2007-03-20,13.0
2007-03-21,12.0
2007-03-21,12.0
2007-03-22,18.0
2007-03-23,10.0
2007-03-26,11.0
2007-03-27,11.0
2007-03-28,8.0
2007-03-29,10.0
2007-03-30,10.0
2007-04-02,15.0
2007-04-03,13.0
2007-04-04,11.0
2007-04-05,8.0
2007-04-06,8.0
2007-04-09,9.0
2007-04-10,9.0
2007-04-11,9.0
2007-04-12,8.0
2007-04-13,8.0
2007-04-16,10.0
2007-04-17,16.0
2007-04-18,15.0
2007-04-19,12.0
2007-04-20,12.0
2007-04-23,9.0
2007-04-24,9.0
2007-04-25,9.0
2007-04-26,9.0
2007-04-27,10.0
2007-04-30,11.0
2007-05-01,9.0
2007-05-02,11.0
2007-05-03,10.0
2007-05-04,10.0
2007-05-07,11.0
2007-05-08,19.0
2007-05-09,14.0
2007-05-10,8.0
2007-05-11,9.0
2007-05-14,8.0
2007-05-15,10.0
2007-05-16,8.0
2007-05-17,7.0
2007-05-18,7.0
2007-05-21,9.0
2007-05-22,11.0
2007-05-23,11.0
2007-05-24,13.0
2007-05-25,15.0
2007-05-29,18.0
2007-05-30,10.0
2007-05-31,10.0
2007-06-01,9.0
2007-06-04,11.0
2007-06-05,12.0
2007-06-06,14.0
2007-06-07,16.0
2007-06-08,20.0
2007-06-11,12.0
2007-06-12,11.0
2007-06-13,11.0
2007-06-14,12.0
2007-06-15,11.0
2007-06-18,12.0
2007-06-19,14.0
2007-06-20,11.0
2007-06-21,7.0
2007-06-21,9.0
2007-06-22,8.0
2007-06-25,8.0
2007-06-26,11.0
2007-06-27,12.0
2007-06-28,10.0
2007-06-29,9.0
2007-07-02,8.0
2007-07-02,6.0
2007-07-03,10.0
2007-07-05,10.0
2007-07-06,12.0
2007-07-09,17.0
2007-07-10,13.0
2007-07-11,15.0
2007-07-12,11.0
2007-07-13,13.0
2007-07-16,12.0
2007-07-17,13.0
2007-07-18,13.0
2007-07-19,15.0
2007-07-20,12.0
2007-07-23,11.0
2007-07-24,14.0
2007-07-25,13.0
2007-07-26,15.0
2007-07-27,14.0
2007-07-30,14.0
2007-07-31,15.0
2007-08-01,14.0
2007-08-02,15.0
2007-08-03,17.0
2007-08-06,15.0
2007-08-07,16.0
2007-08-08,14.0
2007-08-09,9.0
2007-08-10,10.0
2007-08-13,9.0
2007-08-14,14.0
2007-08-15,12.0
2007-08-16,12.0
2007-08-17,12.0
2007-08-20,11.0
2007-08-21,12.0
2007-08-22,12.0
2007-08-23,12.0
2007-08-24,12.0
2007-08-27,11.0
2007-08-28,11.0
2007-08-29,13.0
2007-08-30,11.0
2007-08-31,10.0
2007-09-04,13.0
2007-09-05,14.0
2007-09-06,11.0
2007-09-07,13.0
2007-09-10,11.0
2007-09-11,6.0
2007-09-12,7.0
2007-09-13,10.0
2007-09-14,12.0
2007-09-17,10.0
2007-09-18,13.0
2007-09-19,12.0
2007-09-20,9.0
2007-09-21,9.0
2007-09-24,11.0
2007-09-25,14.0
2007-09-26,14.0
2007-09-27,10.0
2007-09-28,10.0
2007-10-01,11.0
2007-10-02,10.0
2007-10-03,12.0
2007-10-04,10.0
2007-10-05,10.0
2007-10-08,11.0
2007-10-09,10.0
2007-10-10,10.0
2007-10-11,11.0
2007-10-12,12.0
2007-10-15,18.0
2007-10-16,13.0
2007-10-17,11.0
2007-10-18,12.0
2007-10-19,13.0
2007-10-22,12.0
2007-10-23,9.0
2007-10-24,10.0
2007-10-25,10.0
2007-10-26,10.0
2007-10-29,9.0
2007-10-30,10.0
2007-10-31,10.0
2007-11-01,15.0
2007-11-02,15.0
2007-11-05,11.0
2007-11-06,12.0
2007-11-07,14.0
2007-11-08,10.0
2007-11-09,10.0
2007-11-12,13.0
2007-11-13,11.0
2007-11-14,12.0
2007-11-15,10.0
2007-11-16,9.0
2007-11-19,7.0
2007-11-20,10.0
2007-11-21,9.0
2007-11-23,10.0
2007-11-26,9.0
2007-11-27,11.0
2007-11-28,8.0
2007-11-29,8.0
2007-11-30,9.0
2007-12-03,10.0
2007-12-04,9.0
2007-12-05,9.0
2007-12-06,9.0
2007-12-07,10.0
2007-12-10,10.0
2007-12-11,8.0
2007-12-12,11.0
2007-12-13,14.0
2007-12-14,15.0
2007-12-17,11.0
2007-12-18,10.0
2007-12-19,13.0
2007-12-20,11.0
2007-12-21,10.0
2007-12-24,13.0
2007-12-26,13.0
2007-12-27,13.0
2007-12-28,13.0
2007-12-31,14.0
2008-01-02,12.0
2008-01-03,8.0
2008-01-04,12.0
2008-01-07,12.0
2008-01-08,10.0
2008-01-09,12.0
2008-01-10,11.0
2008-01-10,13.0
2008-01-11,13.0
2008-01-22,10.0
2008-01-23,12.0
2008-01-31,12.0
2008-01-31,9.0
2008-02-01,13.0
2008-02-04,13.0
2008-02-05,17.0
2008-02-05,13.0
2008-02-11,12.0
2008-02-11,13.0
2008-02-12,14.0
2008-02-13,15.0
2008-02-14,14.0
2008-02-15,17.0
2008-02-18,17.0
2008-02-19,14.0
2008-02-20,14.0
2008-02-21,16.0
2008-02-22,24.0
2008-03-03,16.0
2008-03-04,15.0
2008-03-04,12.0
2008-03-05,16.0
2008-03-06,23.0
2008-03-07,12.0
2008-03-10,15.0
2008-03-11,17.0
2008-03-12,22.0
2008-03-13,20.0
2008-03-17,16.0
2008-03-18,23.0
2008-03-19,18.0
2008-03-20,16.0
2008-03-21,19.0
2008-03-24,18.0
2008-03-25,19.0
2008-03-26,16.0
2008-03-27,17.0
2008-03-28,14.0
2008-03-31,20.0
2008-04-01,25.0
2008-04-02,13.0
2008-04-03,15.0
2008-04-04,23.0
2008-04-07,25.0
2008-04-08,16.0
2008-04-09,17.0
2008-04-10,15.0
2008-04-11,22.0
2008-04-14,17.0
2008-04-15,14.0
2008-04-16,16.0
2008-04-17,20.0
2008-04-18,26.0
2008-04-18,15.0
2008-04-25,13.0
2008-04-28,10.0
