Date,y
2013-12-11,860.0
2014-01-07,570.0
2014-02-10,450.0
2014-03-03,520.0
2014-04-02,510.0
2014-04-30,500.0
2014-05-05,530.0
2014-06-02,480.0
2014-07-01,430.0
2014-08-04,470.0
2014-09-02,470.0
2014-10-06,470.0
2014-11-03,510.0
2014-12-01,600.0
2015-01-13,490.0
2015-02-04,490.0
2015-03-02,470.0
2015-04-01,500.0
2015-05-01,440.0
2015-06-16,440.0
2015-07-01,470.0
2015-08-03,500.0
2015-09-04,480.0
2015-10-28,510.0
2015-11-02,500.0
2015-12-01,480.0
2016-01-04,480.0
2016-02-01,400.0
2016-03-01,460.0
2016-04-04,480.0
2016-05-02,490.0
2016-06-01,480.0
2016-07-06,490.0
2016-08-01,460.0
2016-09-06,500.0
2016-10-03,430.0
2016-11-01,470.0
2016-12-05,480.0
2017-01-03,500.0
2017-02-06,420.0
2017-03-06,460.0
2017-04-10,480.0
2017-05-01,470.0
2017-06-05,470.0
2017-07-11,480.0
2017-08-07,490.0
2017-09-11,410.0
2017-10-02,460.0
2017-11-06,410.0
2017-12-11,500.0
2018-01-08,470.0
2018-02-06,420.0
2018-03-06,430.0
2018-04-19,520.0
2018-05-07,490.0
2018-06-05,480.0
2018-07-10,440.0
2018-08-10,500.0
2018-09-12,500.0
2018-10-03,480.0
2018-11-09,490.0
2018-12-10,480.0
2019-01-07,500.0
2019-02-04,440.0
2019-03-07,420.0
2019-04-03,450.0
2019-05-08,480.0
2019-06-12,440.0
2019-07-02,460.0
2019-08-08,490.0
2019-09-09,480.0
2019-10-02,460.0
2019-11-07,440.0
2019-12-04,480.0
2020-01-03,560.0
2020-02-05,450.0
2020-03-03,480.0
2020-04-02,420.0
2020-05-04,410.0
2020-06-08,470.0
2020-07-13,470.0
2020-08-05,430.0
2020-09-03,480.0
2020-09-18,500.0
2020-10-06,470.0
2020-11-06,490.0
2020-12-03,330.0
