Date,y
2004-08-30,16.0
2004-10-21,17.0
2005-01-11,18.0
2005-04-06,18.0
2005-07-22,17.0
2005-10-24,17.0
2006-01-24,17.0
2006-05-15,19.0
2006-07-17,20.0
2006-10-10,20.0
2006-11-15,21.0
2006-12-04,19.0
2007-01-02,20.0
2007-02-15,20.0
2007-03-05,20.0
2007-04-03,20.0
2007-05-15,20.0
2007-06-07,21.0
2007-07-02,21.0
2007-08-08,21.0
2007-09-04,20.0
2007-10-02,20.0
2008-01-28,22.0
2008-04-03,22.0
2008-07-16,24.0
2008-10-10,20.0
2009-01-08,21.0
2009-04-24,21.0
2009-07-13,20.0
2009-10-06,19.0
2010-01-06,20.0
2010-04-14,17.0
2010-07-14,19.0
2010-10-06,22.0
2011-01-26,25.0
2011-04-13,17.0
2011-08-02,16.0
2011-10-05,16.0
2012-01-12,20.0
2012-05-25,19.0
2012-08-08,21.0
2012-10-29,14.0
2013-01-10,21.0
2013-05-24,27.0
2013-08-26,27.0
2013-10-10,21.0
2014-02-24,26.0
2014-06-11,25.0
2014-07-10,26.0
2014-11-10,27.0
2015-03-25,27.0
2015-06-04,25.0
2015-07-24,26.0
2015-11-20,28.0
2016-02-10,27.0
2016-05-06,28.0
2016-08-25,27.0
2016-12-06,30.0
2017-01-26,32.0
2017-05-02,28.0
2017-08-23,31.0
2017-10-10,40.0
2018-01-24,38.0
2018-05-16,38.0
2018-08-23,46.0
2018-11-09,49.0
2019-03-20,56.0
2019-04-25,41.0
2019-08-19,55.0
2019-11-11,60.0
2020-02-12,62.0
2020-04-16,71.0
2020-07-21,60.0
2020-10-21,72.0
