Date,y
1991-01-16,1.0
1991-08-23,1.0
1995-10-31,106.0
1996-10-22,200.0
1997-09-11,160.0
1997-10-07,385.0
1997-11-12,370.0
1999-08-02,237.0
1999-09-15,210.0
1999-10-01,649.0
1999-11-01,94.0
1999-12-22,30.0
2000-01-14,70.0
2000-02-07,150.0
2000-03-07,500.0
2000-04-05,160.0
2000-08-07,300.0
2001-02-13,230.0
2001-04-17,131.0
2001-07-11,64.0
2001-10-18,430.0
2002-01-10,357.0
2002-04-16,331.0
2002-08-05,256.0
2002-10-10,528.0
2003-02-03,560.0
2003-05-06,543.0
2003-07-23,560.0
2003-11-05,492.0
2004-02-04,513.0
2004-05-06,440.0
2004-10-27,467.0
2005-05-06,423.0
2005-11-10,483.0
2006-05-10,472.0
2006-10-03,909.0
2006-11-09,1001.0
2007-05-30,1064.0
2007-10-23,1085.0
2008-04-21,1074.0
2008-10-14,940.0
2009-04-10,864.0
2009-11-02,643.0
2010-05-07,686.0
2010-11-09,716.0
2011-04-20,635.0
2011-11-17,726.0
2012-02-08,628.0
2012-06-01,737.0
2012-08-14,789.0
2012-11-12,660.0
2013-02-19,534.0
2013-03-28,682.0
2013-06-17,600.0
2013-08-28,500.0
2013-10-10,470.0
2014-02-24,440.0
2014-05-07,420.0
2014-07-30,420.0
2014-11-25,400.0
2015-03-10,450.0
2015-05-28,360.0
2015-08-10,350.0
2015-10-30,360.0
2015-11-09,190.0
2015-11-30,110.0
2015-12-16,150.0
2016-02-08,320.0
2016-06-24,340.0
2016-08-31,320.0
2016-12-08,320.0
2017-02-16,270.0
2017-06-16,340.0
2017-08-29,270.0
2017-11-03,150.0
2018-01-25,140.0
2018-06-08,200.0
2018-08-17,230.0
2018-12-06,220.0
2019-01-17,220.0
2019-04-05,170.0
2019-07-19,60.0
2019-10-07,180.0
2020-01-29,150.0
2020-04-22,180.0
2020-07-27,150.0
2020-10-29,180.0
1994-09-05,24.0
1994-09-07,25.0
1994-09-13,22.0
1994-09-14,23.0
1994-09-20,24.0
1994-09-21,24.0
1994-09-27,24.0
1994-09-28,22.0
1994-10-20,29.0
1994-10-21,28.0
1994-10-24,26.0
1994-10-25,25.0
1994-10-31,25.0
1994-11-02,27.0
1994-11-07,26.0
1994-11-08,26.0
1994-11-14,26.0
1994-11-15,29.0
1995-10-04,59.0
1995-10-12,51.0
1995-10-16,48.0
1995-10-19,49.0
1995-10-23,50.0
1995-10-27,53.0
1995-11-21,64.0
1995-12-12,53.0
1995-12-19,46.0
1996-01-02,47.0
1996-01-15,42.0
1996-02-09,49.0
1996-03-05,60.0
1996-03-07,42.0
1996-03-25,73.0
1996-03-28,73.0
1996-04-10,89.0
1996-04-25,62.0
1996-05-01,74.0
1996-05-22,58.0
1996-06-18,54.0
1996-07-02,70.0
1996-07-19,81.0
1996-07-31,66.0
1996-08-06,54.0
1996-09-06,77.0
1996-10-04,76.0
1996-11-15,75.0
1996-11-19,81.0
1996-12-06,93.0
1996-12-27,90.0
1997-01-03,94.0
1997-01-10,136.0
1997-01-27,105.0
1997-02-21,80.0
1997-03-21,68.0
1997-04-21,153.0
1997-05-09,48.0
1997-05-16,83.0
1997-06-02,98.0
1997-06-10,84.0
1997-06-20,77.0
1997-07-07,104.0
1997-08-04,79.0
1997-08-25,120.0
1997-09-29,105.0
1997-10-29,130.0
1997-11-03,94.0
1997-12-29,145.0
1998-01-26,150.0
1998-02-23,177.0
1998-03-03,184.0
1998-03-30,184.0
1998-04-27,182.0
1998-05-26,186.0
1998-06-08,200.0
1998-06-29,220.0
1998-08-13,210.0
1998-09-02,188.0
1998-09-21,240.0
1998-09-28,188.0
1998-10-01,238.0
1998-10-05,240.0
1998-10-12,278.0
1998-10-19,246.0
1998-10-26,270.0
1998-11-02,184.0
1998-11-04,305.0
1998-11-09,283.0
1998-11-16,230.0
1998-11-23,230.0
1998-11-30,280.0
1998-12-07,206.0
1998-12-14,168.0
1998-12-21,146.0
1998-12-28,274.0
1999-01-04,260.0
1999-01-11,230.0
1999-01-18,240.0
1999-01-25,230.0
1999-02-01,210.0
1999-02-08,280.0
1999-02-15,180.0
1999-02-22,200.0
1999-03-01,250.0
1999-03-08,300.0
1999-03-15,295.0
1999-03-22,293.0
1999-03-29,292.0
1999-04-05,296.0
1999-04-12,280.0
1999-04-19,282.0
1999-04-26,290.0
1999-05-03,283.0
