Date,y
2002-04-09,637.0
2002-09-05,562.0
2002-10-09,454.0
2003-02-04,624.0
2003-05-09,608.0
2003-05-16,618.0
2003-05-23,602.0
2003-05-30,570.0
2003-06-13,485.0
2003-06-20,511.0
2003-07-07,481.0
2003-08-04,448.0
2003-09-02,469.0
2003-10-06,526.0
2004-02-11,328.0
2004-04-21,163.0
2004-11-05,481.0
2005-05-03,503.0
2005-11-02,1001.0
2006-05-10,590.0
2006-10-10,735.0
2007-04-16,37.0
2007-05-17,68.0
2007-10-24,106.0
2008-04-16,434.0
2008-10-10,70.0
2009-04-28,257.0
2009-10-08,242.0
2010-05-21,49.0
2010-10-20,30.0
2011-05-03,135.0
2011-10-25,25.0
2012-06-05,96.0
2012-10-25,500.0
2013-05-31,1440.0
2013-06-19,1100.0
2013-10-16,890.0
2014-05-05,890.0
2014-10-30,750.0
2015-06-17,1300.0
2015-11-18,1500.0
2016-06-23,1100.0
2016-12-21,820.0
2017-06-15,940.0
2017-11-10,560.0
2018-05-03,840.0
2018-10-16,850.0
2019-06-10,660.0
2019-10-30,560.0
2020-06-09,210.0
2020-11-12,320.0
