Date,y
1994-06-17,10600.0
1994-08-18,12400.0
1994-09-01,10680.0
1994-09-30,4910.0
1994-10-27,7560.0
1995-01-23,8810.0
1995-09-01,8890.0
1995-10-31,8890.0
1996-04-01,1050.0
1998-02-24,834.0
1998-03-18,3360.0
1998-04-15,3770.0
1998-05-12,11500.0
1998-06-11,6600.0
1998-12-01,3600.0
1999-02-01,3320.0
1999-06-11,3470.0
1999-08-05,2660.0
2000-02-10,1790.0
2000-08-24,1460.0
2001-04-13,1093.0
2001-10-03,851.0
2002-05-15,573.0
2002-11-14,645.0
2003-05-08,391.0
2003-05-28,341.0
2003-10-10,497.0
2004-05-14,240.0
2004-11-11,304.0
2005-05-12,196.0
2005-11-17,185.0
2006-04-10,226.0
2006-10-05,227.0
2007-05-24,186.0
2007-10-08,222.0
2008-07-30,182.0
2009-08-20,192.0
2010-08-11,162.0
2011-08-29,146.0
2012-08-15,191.0
2013-08-06,130.0
2014-08-28,100.0
2015-08-07,140.0
2016-09-20,160.0
2017-07-25,160.0
2018-09-12,150.0
2019-07-08,110.0
2020-08-21,140.0
