Date,y
2002-05-10,1091.0
2002-05-17,895.0
2002-05-24,840.0
2002-05-31,985.0
2002-06-07,993.0
2002-06-14,915.0
2002-06-21,1042.0
2002-06-28,952.0
2002-07-05,951.0
2002-07-12,844.0
2002-07-19,1087.0
2002-07-26,958.0
2002-08-02,671.0
2002-08-09,702.0
2002-08-16,752.0
2002-08-23,681.0
2002-08-30,707.0
2002-09-06,723.0
2002-09-13,756.0
2002-09-20,915.0
2002-09-27,816.0
2002-10-04,713.0
2002-10-25,729.0
2002-11-01,840.0
2002-11-08,925.0
2002-11-15,846.0
2002-11-22,825.0
2002-11-29,828.0
2002-12-06,835.0
2002-12-16,760.0
2002-12-20,775.0
2003-01-03,833.0
2003-01-10,860.0
2003-01-17,844.0
2003-01-24,746.0
2003-01-31,838.0
2003-02-07,768.0
2003-02-14,705.0
2003-02-21,716.0
2003-02-28,760.0
2003-03-07,816.0
2003-03-14,778.0
2003-03-21,799.0
2003-03-28,836.0
2003-04-04,857.0
2003-04-11,844.0
2003-04-18,987.0
2003-04-25,1184.0
2003-05-02,1272.0
2003-05-09,1235.0
2003-05-16,1364.0
2003-05-23,1338.0
2003-05-30,1377.0
2003-06-06,1471.0
2003-06-13,1237.0
2003-06-20,1277.0
2003-07-07,1175.0
2003-08-04,1092.0
2003-09-02,944.0
2003-10-06,919.0
2003-11-03,790.0
2003-12-01,765.0
2004-01-05,807.0
2004-02-02,632.0
2004-03-01,601.0
2004-04-05,634.0
2004-05-03,470.0
2004-06-07,500.0
2004-07-05,450.0
2004-08-02,390.0
2004-09-06,380.0
2004-10-06,389.0
2004-11-01,396.0
2004-12-06,388.0
2005-01-03,380.0
2005-02-09,387.0
2005-03-07,394.0
2005-04-04,300.0
2005-05-02,346.0
2005-06-09,412.0
2005-07-05,414.0
2005-08-01,371.0
2005-09-05,400.0
2005-10-03,422.0
2005-11-07,431.0
2005-12-05,377.0
2006-01-09,483.0
2006-02-06,434.0
2006-03-06,483.0
2006-04-03,484.0
2006-05-01,441.0
2006-06-05,394.0
2006-07-03,392.0
2006-08-07,414.0
2006-09-11,426.0
2006-10-02,436.0
2006-11-21,451.0
2006-12-04,455.0
2007-01-02,505.0
2007-02-05,546.0
2007-03-05,558.0
2007-04-02,517.0
2007-05-07,477.0
2007-06-04,482.0
2007-07-02,458.0
2007-08-06,478.0
2007-09-10,465.0
2007-10-01,487.0
2007-11-06,510.0
2007-12-03,516.0
2008-01-07,502.0
2008-02-04,487.0
2008-03-03,524.0
2008-04-08,488.0
2008-05-06,510.0
2008-05-15,538.0
2008-11-11,497.0
2008-12-01,619.0
2009-01-06,610.0
2009-02-02,632.0
2009-03-02,602.0
2009-04-06,604.0
2009-05-05,626.0
2009-06-01,645.0
2009-07-07,636.0
2009-08-03,672.0
2009-09-08,713.0
2009-10-06,586.0
2009-11-02,571.0
2009-12-07,669.0
2010-01-04,619.0
2010-02-01,479.0
2010-04-05,649.0
2010-05-03,627.0
2010-06-07,637.0
2010-07-12,723.0
2010-08-02,643.0
2010-09-07,552.0
2010-10-04,722.0
2010-12-07,736.0
