Date,y
1994-06-17,49300.0
1994-08-18,6030.0
1994-09-01,15610.0
1994-09-30,34300.0
1994-10-27,3480.0
1994-11-23,5320.0
1996-04-01,3300.0
1998-02-24,2630.0
1998-03-18,2250.0
1998-04-15,1660.0
1998-05-12,1640.0
1998-06-11,3750.0
1998-12-09,1900.0
1999-02-01,2360.0
1999-06-11,1690.0
1999-08-05,2880.0
2000-02-10,2080.0
2000-08-24,1660.0
2001-04-13,1048.0
2001-10-04,918.0
2002-05-16,1142.0
2002-11-14,755.0
2003-05-08,1732.0
2003-05-29,1842.0
2003-10-10,1467.0
2004-05-10,1160.0
2004-11-10,1009.0
2005-05-12,837.0
2005-11-01,1744.0
2006-04-10,490.0
2006-10-05,392.0
2007-05-24,647.0
2007-10-08,1122.0
2008-07-30,942.0
2009-08-20,545.0
2010-08-05,565.0
2011-08-29,243.0
2012-08-15,850.0
2013-08-06,380.0
2014-08-28,630.0
