Date,y
2001-07-16,162.0
2001-07-22,200.0
2001-10-22,206.0
2002-01-25,286.0
2002-04-11,264.0
2002-07-09,164.0
2002-11-08,197.0
2003-02-06,207.0
2003-05-06,184.0
2003-08-12,203.0
2003-10-16,224.0
2004-01-21,231.0
2004-04-15,205.0
2004-10-13,164.0
2005-04-25,56.0
2005-10-04,23.0
2006-05-09,34.0
2006-11-13,15.0
2007-04-23,12.0
2007-11-08,6.0
2008-08-14,2.0
2009-08-12,2.0
2010-07-30,2.0
2011-09-24,1.0
2011-10-24,1.0
2012-06-12,1.0
2012-11-08,2.0
2013-05-21,0.5
2013-10-17,2.0
2014-04-21,0.5
2014-11-06,1.0
2015-05-19,1.0
2015-11-18,2.0
