Date,y
1994-06-18,7530.0
1994-08-18,7950.0
1994-09-01,7970.0
1994-09-30,7840.0
1994-10-27,8680.0
1994-11-23,9430.0
1995-09-01,3000.0
1995-10-31,3000.0
1996-04-01,10000.0
1998-02-24,3660.0
1998-03-18,4160.0
1998-04-15,4010.0
1998-05-12,3160.0
1998-06-11,7050.0
1998-12-01,5800.0
1999-02-01,4900.0
1999-04-13,4520.0
1999-06-11,4370.0
1999-08-05,4300.0
1999-10-01,3970.0
1999-12-15,3710.0
2000-02-10,3730.0
2000-08-24,3660.0
2000-10-16,570.0
2000-10-23,460.0
2000-10-30,450.0
2000-11-06,2517.0
2000-12-13,843.0
2001-04-13,1925.0
2001-10-03,1651.0
2004-05-13,1830.0
2004-11-10,2211.0
2005-05-12,1709.0
2005-11-17,1707.0
2006-04-10,1490.0
2006-10-05,1406.0
2007-05-24,1874.0
2007-10-08,2096.0
2008-07-30,2331.0
2009-08-20,1646.0
2010-08-11,1577.0
2011-08-29,1501.0
2011-10-18,1672.0
2012-01-30,1559.0
2012-05-31,2137.0
2012-08-15,682.0
2012-10-17,1500.0
2013-03-22,1480.0
2013-04-05,1216.0
2013-08-06,2000.0
2013-11-19,1200.0
2014-02-14,2300.0
2014-04-22,1400.0
2014-08-28,2000.0
2014-11-13,2100.0
2015-03-04,2400.0
2015-04-28,1700.0
2015-08-07,2200.0
2015-10-01,2200.0
