Date,y
1999-12-14,0.5
2000-03-17,7.0
2000-03-27,8.0
2000-04-27,6.0
2000-05-31,9.0
2000-06-27,7.0
2000-07-19,8.0
2000-08-30,8.0
2000-09-26,10.0
2000-10-24,9.0
2000-12-01,11.0
2000-12-20,12.0
2001-02-08,14.0
2001-05-10,14.0
2001-07-24,21.0
2001-10-01,18.0
2002-04-11,14.0
2002-07-18,14.0
2002-09-10,22.0
2002-10-16,25.0
2003-09-08,30.0
2003-10-13,31.0
2004-04-16,45.0
2004-10-22,42.0
2005-04-21,44.0
2005-11-07,49.0
2006-05-18,44.0
2006-10-16,42.0
2007-05-18,37.0
2007-10-25,34.0
2008-07-31,31.0
2009-08-19,32.0
2010-08-06,27.0
2011-09-27,21.0
2011-11-21,22.0
2012-06-11,22.0
2012-10-16,22.0
2013-05-29,23.0
2013-11-20,19.0
2014-05-08,18.0
2014-10-21,19.0
2015-06-05,15.0
2015-11-10,18.0
