Date,y
1994-06-18,7390.0
1994-08-18,7550.0
1994-09-01,6850.0
1994-09-30,2150.0
1994-10-27,980.0
1994-11-23,1190.0
1995-09-01,3800.0
1995-10-31,3800.0
1996-04-01,6000.0
1998-02-24,1360.0
1998-03-18,1120.0
1998-04-15,962.0
1998-05-12,1060.0
1998-06-11,1130.0
1998-12-01,900.0
1999-02-01,780.0
1999-06-11,850.0
1999-08-05,384.0
2000-02-10,380.0
2000-08-24,460.0
2001-04-13,425.0
2001-10-03,348.0
2002-05-15,515.0
2002-11-08,479.0
2003-05-08,509.0
2003-10-10,622.0
2004-05-12,270.0
2004-11-10,352.0
2005-05-12,281.0
2005-11-17,310.0
2006-04-10,312.0
2006-10-05,315.0
2007-05-24,319.0
2007-10-08,405.0
2008-07-30,352.0
2009-08-20,326.0
2010-08-11,342.0
2011-08-29,362.0
2012-08-15,384.0
2013-08-06,370.0
2014-08-28,310.0
2015-08-07,330.0
2016-09-23,300.0
2017-07-26,300.0
2018-09-12,320.0
2019-07-08,340.0
2020-08-21,250.0
