Date,y
2011-03-30,5.0
2011-04-05,6.0
2011-05-12,7.0
2011-09-20,0.5
2011-10-28,6.0
2012-01-24,8.0
2012-05-30,9.0
2012-07-10,8.0
2012-10-02,9.0
2013-01-15,7.0
2013-04-05,8.0
2013-07-11,9.0
2013-10-02,10.0
2014-01-14,9.0
2014-04-11,8.0
2014-07-16,8.0
2014-10-08,8.0
2015-01-27,8.0
2015-04-13,9.0
2015-07-08,9.0
2015-10-22,9.0
2016-01-28,10.0
2016-04-08,10.0
2016-08-29,9.7
2016-12-01,9.4
2017-01-26,11.0
2017-04-12,9.0
2017-07-18,8.6
2017-10-12,11.0
2018-01-23,8.7
2018-05-17,7.0
2018-07-24,8.5
2018-10-22,9.0
2019-01-29,8.8
2019-04-24,7.4
2019-07-26,8.1
2019-11-21,8.4
2020-02-17,7.9
2020-05-05,8.0
2020-07-28,7.0
2020-11-02,7.0
