Date,y
2000-06-21,4470.0
2000-06-26,4460.0
2000-07-17,4100.0
2000-08-01,3720.0
2000-08-07,3700.0
2000-08-14,3940.0
2000-08-21,3840.0
2000-08-28,4040.0
2000-09-05,4380.0
2000-10-02,4250.0
2000-10-09,4200.0
2000-10-16,4300.0
2000-10-23,4310.0
2000-10-30,4260.0
2000-11-06,5016.0
2000-11-16,4785.0
2000-11-27,5247.0
2000-12-11,5142.0
2000-12-18,5078.0
2000-12-26,4186.0
2001-01-02,4876.0
2001-01-08,2643.0
2001-01-15,5075.0
2001-01-23,3407.0
2001-02-02,4299.0
2001-02-06,4587.0
2001-02-12,5234.0
2001-02-19,3546.0
2001-02-26,5502.0
2001-03-05,4427.0
2001-03-09,4808.0
2001-03-16,5868.0
2001-03-23,4186.0
2001-03-30,4249.0
2001-04-06,4705.0
2001-04-13,4600.0
2001-04-20,4246.0
2001-04-27,4262.0
2001-05-04,4218.0
2001-05-11,3559.0
2001-05-18,4280.0
2001-05-25,3824.0
2001-06-01,4120.0
2001-06-08,4117.0
2001-06-15,4201.0
2001-06-22,3953.0
2001-06-29,3584.0
2001-07-06,4063.0
2001-07-13,4355.0
2001-07-20,4862.0
2001-07-27,5916.0
2001-08-03,6116.0
2001-08-10,6743.0
2001-08-17,5700.0
2001-08-24,5360.0
2001-08-31,4980.0
2001-09-07,5200.0
2001-09-14,6088.0
2001-09-21,4991.0
2001-09-27,5035.0
2008-11-14,40.0
2009-04-28,35.0
2009-10-27,32.0
2010-05-11,36.0
2010-11-11,28.0
2011-05-19,35.0
2011-10-25,32.0
2012-06-18,193.0
2012-10-24,100.0
2013-05-09,102.0
2013-11-11,78.0
2014-04-28,60.0
2014-11-03,68.0
2015-05-26,65.0
2015-10-27,56.0
2016-06-09,48.0
2016-11-29,49.0
2017-05-03,46.0
2017-11-09,48.0
2018-05-04,49.0
2018-10-30,50.0
2019-06-10,39.0
2019-11-26,41.0
2020-06-09,38.0
2020-11-17,43.0
