Date,y
1999-08-02,4.0
2000-05-05,3.0
2000-06-01,0.5
2000-07-11,1.0
2000-08-10,0.5
2000-09-11,1.0
2000-10-11,1.0
2000-11-21,1.0
2000-12-20,2.0
2001-02-26,3.0
2001-05-12,4.0
2001-07-20,12.0
2001-10-23,8.0
2002-01-28,14.0
2002-04-03,10.0
2002-08-06,17.0
2002-10-23,31.0
2002-11-14,26.0
2002-12-05,26.0
2003-01-20,27.0
2003-02-21,38.0
2003-03-26,28.0
2003-04-16,26.0
2003-05-27,35.0
2003-06-26,36.0
2003-08-01,43.0
2003-08-05,43.0
2003-09-15,39.0
2003-10-14,49.0
2003-11-20,55.0
2003-12-08,46.0
2004-01-06,51.0
2004-02-18,53.0
2004-03-04,54.0
2004-04-02,50.0
2004-05-11,44.0
2004-06-02,46.0
2004-07-08,47.0
2004-08-18,60.0
2004-09-10,44.0
2004-10-06,46.0
2004-11-10,44.0
2004-12-01,46.0
2005-01-25,18.0
2005-02-10,20.0
2005-04-11,17.0
2005-10-27,12.0
2006-05-16,27.0
2006-10-26,22.0
