Date,y
2005-01-27,682.0
2005-04-12,672.0
2005-08-05,557.0
2005-10-26,407.0
2006-01-24,482.0
2006-05-02,332.0
2006-07-21,238.0
2006-10-23,120.0
2007-01-16,97.0
2007-04-02,109.0
2007-08-10,136.0
2007-10-25,130.0
2008-02-04,105.0
2008-04-21,118.0
2008-08-11,102.0
2008-10-31,97.0
2009-02-02,96.0
2009-04-28,89.0
2009-07-22,79.0
2009-10-22,87.0
2010-02-12,76.0
2010-04-23,78.0
2010-07-26,81.0
2010-11-09,61.0
2011-01-27,73.0
2011-04-11,53.0
2011-10-13,49.0
2012-05-29,48.0
2012-11-08,38.0
2013-06-27,32.0
2013-10-18,27.0
2014-06-12,31.0
2014-11-07,34.0
2015-06-09,28.0
