Date,y
1994-06-17,7820.0
1994-08-18,7890.0
1994-09-01,7940.0
1994-09-30,7200.0
1994-10-27,7220.0
1994-11-23,7200.0
1995-09-01,5680.0
1995-10-31,5680.0
1996-04-01,8600.0
1998-02-24,7340.0
1998-03-18,5500.0
1998-04-15,5000.0
1998-05-12,4680.0
1998-06-11,7770.0
1998-12-01,6300.0
1999-02-01,5890.0
1999-04-13,5490.0
1999-06-11,5020.0
1999-08-05,4950.0
1999-10-01,5040.0
1999-12-15,5050.0
2000-02-10,5000.0
2000-08-24,4640.0
2001-04-13,4482.0
2001-10-03,4404.0
2002-05-15,5500.0
2002-11-08,4688.0
2003-05-08,4329.0
2003-10-10,4025.0
2004-05-13,3860.0
2004-11-10,3005.0
2005-05-12,3545.0
2005-11-17,3117.0
2006-04-10,2784.0
2006-10-05,1799.0
2007-05-24,3053.0
2007-10-08,3082.0
2008-07-30,3168.0
2009-08-20,2586.0
2010-08-11,1684.0
2011-08-29,1238.0
2011-10-18,2450.0
2012-01-30,2644.0
2012-05-31,2921.0
2012-10-17,2400.0
2013-03-22,2354.0
2013-04-05,1974.0
2013-08-06,2100.0
2013-11-19,1600.0
2014-02-14,2400.0
2014-04-22,2100.0
2014-08-28,2100.0
2014-11-13,2100.0
2015-03-04,2700.0
2015-04-28,1900.0
2015-08-07,2500.0
2015-10-01,2200.0
