Date,y
2012-10-10,1700.0
2013-02-21,1272.0
2013-06-04,1800.0
2013-08-29,1700.0
2013-11-22,1900.0
2014-03-10,1900.0
2014-04-30,2200.0
2014-08-19,2200.0
2014-11-11,4200.0
2015-03-09,3800.0
2015-06-10,2300.0
2015-08-11,3800.0
2015-10-30,3500.0
2015-11-09,3200.0
2015-11-30,4000.0
2015-12-16,3400.0
2016-03-11,4000.0
2016-06-23,3800.0
2016-09-23,2600.0
2016-12-23,3900.0
2017-02-17,4100.0
2017-06-20,3600.0
2017-09-05,3100.0
2017-11-24,4100.0
2018-03-28,3500.0
2018-06-28,3700.0
2018-09-24,2800.0
2018-10-25,2400.0
2019-02-20,1800.0
2019-04-24,2400.0
2019-07-24,2400.0
2019-12-20,2700.0
2020-02-26,1900.0
2020-06-08,1800.0
2020-09-22,2300.0
2020-11-18,2500.0
1987-10-17,20000.0
1988-04-14,17000.0
1988-12-15,11000.0
1989-07-24,9400.0
1990-02-02,8300.0
1990-08-03,7300.0
1991-01-22,7300.0
1991-08-15,6500.0
1992-02-18,5900.0
1992-07-22,4900.0
1993-03-05,3200.0
1993-08-24,2200.0
1994-06-22,1050.0
1995-10-31,1280.0
1996-04-01,940.0
1997-05-14,0.5
1997-06-24,890.0
1997-10-20,650.0
1997-11-18,620.0
1997-12-15,560.0
1998-02-23,634.0
1998-03-23,510.0
1998-04-22,530.0
1998-05-20,615.0
1998-06-18,540.0
1998-07-16,260.0
1998-08-24,480.0
1998-09-22,680.0
1999-02-01,780.0
1999-05-27,710.0
1999-06-09,750.0
1999-07-09,700.0
1999-08-20,355.0
1999-09-23,14.0
1999-10-01,355.0
1999-11-26,408.0
1999-12-16,485.0
2000-01-20,350.0
2000-02-28,1160.0
2000-03-22,300.0
2000-04-24,360.0
2000-05-26,340.0
2000-08-24,350.0
2000-11-29,240.0
2001-02-23,218.0
2001-05-07,203.0
2001-08-08,278.0
2001-10-30,375.0
2002-02-08,272.0
2002-04-24,351.0
2002-07-17,279.0
2002-10-16,527.0
2003-01-16,423.0
2009-08-17,292.0
2011-09-27,154.0
2012-08-02,135.0
2015-07-29,110.0
2016-09-22,48.0
2017-07-13,130.0
2017-09-13,120.0
2018-09-21,120.0
2019-07-16,99.0
2020-07-24,60.0
2006-05-01,5772.0
2006-05-05,8344.0
2006-06-05,7795.0
2006-07-03,7153.0
2006-08-07,6036.0
2006-09-11,5929.0
2006-11-09,5640.0
2006-12-04,5080.0
2007-01-02,4998.0
2007-02-05,4913.0
2007-03-05,4639.0
2007-04-02,4497.0
2007-05-07,4355.0
2007-06-04,4519.0
2007-07-02,4239.0
2007-08-06,4083.0
2007-09-10,3783.0
2007-10-01,3962.0
2007-11-06,3804.0
2007-12-03,3701.0
2008-01-07,3320.0
2008-02-04,3117.0
2008-03-03,2963.0
2008-04-08,2808.0
2008-05-06,2748.0
2008-06-02,2814.0
2008-07-14,2787.0
2008-08-04,2436.0
2008-09-08,2404.0
2008-10-06,2494.0
2008-11-03,2603.0
2008-12-01,2450.0
2009-01-06,2329.0
2009-02-02,1895.0
2009-04-06,1803.0
2009-05-05,1955.0
2009-06-01,2118.0
2009-07-07,2026.0
2009-08-03,2158.0
2009-09-08,2108.0
2009-10-06,1940.0
2009-11-02,1465.0
2009-12-07,1781.0
2010-01-04,1673.0
2010-02-01,1650.0
2010-03-01,1576.0
2010-04-05,1660.0
2010-05-03,1578.0
2010-06-07,1483.0
2010-07-12,1593.0
2010-08-02,1669.0
2010-09-07,1336.0
2010-10-04,1464.0
2010-11-01,1434.0
2010-12-06,1438.0
2011-01-03,1467.0
2011-02-07,1647.0
2011-03-07,1487.0
2011-04-04,1264.0
2011-05-02,1460.0
2011-06-06,1405.0
2011-07-11,750.0
2011-08-01,1116.0
2011-09-12,1019.0
2011-10-03,1059.0
2011-11-08,1079.0
2011-12-05,1029.0
2012-01-09,1044.0
2012-02-06,1030.0
2012-03-05,951.0
2012-04-02,1021.0
2012-05-07,996.0
2012-06-04,801.0
2012-07-02,978.0
2012-08-08,815.0
2012-09-10,1000.0
2012-10-01,906.0
2012-11-05,920.0
2012-12-03,1395.0
2013-01-08,938.0
2013-02-04,860.0
2013-03-22,733.0
2013-04-01,860.0
2013-05-06,950.0
2013-06-10,970.0
2013-07-01,840.0
2013-08-05,860.0
2013-09-03,830.0
