Date,y
1996-12-16,4.0
1997-07-08,4.0
1997-09-12,5.0
1997-10-07,4.0
1997-11-11,6.0
1997-12-09,7.0
1998-01-13,7.0
1998-02-10,10.0
1998-03-10,10.0
1998-04-07,8.0
1998-05-06,10.0
1998-06-04,10.0
1998-07-06,9.0
1998-08-11,15.0
1998-09-02,14.0
1998-10-05,14.0
1998-11-05,18.0
1998-12-05,16.0
1999-01-05,15.0
1999-02-05,13.0
1999-03-17,24.0
1999-04-07,26.0
1999-05-17,16.0
1999-06-09,24.0
1999-07-08,18.0
1999-08-02,29.0
1999-09-15,30.0
1999-10-01,41.0
1999-11-01,39.0
1999-12-22,40.0
2000-01-11,50.0
2000-02-03,40.0
2000-03-14,38.0
2000-04-04,43.0
2000-05-05,42.0
2000-06-06,46.0
2000-07-10,43.0
2000-08-10,56.0
2000-09-12,48.0
2000-10-12,47.0
2000-12-20,45.0
2001-02-26,43.0
2001-05-12,44.0
2001-07-19,56.0
2001-10-23,30.0
2002-01-28,37.0
2002-04-03,37.0
2002-08-06,31.0
2002-10-30,49.0
2003-01-29,47.0
2003-04-16,39.0
2003-08-04,48.0
2003-10-31,0.5
2012-03-27,10.0
