Date,y
1998-07-08,4.0
1998-08-13,15.0
1998-09-02,14.0
1998-09-09,15.0
1998-09-21,19.0
1998-09-28,20.0
1998-10-01,23.0
1998-10-05,22.0
1998-10-12,22.0
1998-10-19,23.0
1998-10-26,19.0
1998-11-02,27.0
1998-11-04,22.0
1998-11-09,28.0
1998-11-16,22.0
1998-11-23,28.0
1998-11-30,27.0
1998-12-07,26.0
1998-12-14,21.0
1998-12-21,17.0
1998-12-28,31.0
1999-01-04,29.0
1999-01-11,23.0
1999-01-18,20.0
1999-01-25,32.0
1999-02-01,33.0
1999-02-08,33.0
1999-02-15,23.0
1999-02-22,33.0
1999-03-01,39.0
1999-03-08,37.0
1999-03-15,42.0
1999-03-22,43.0
1999-03-29,47.0
1999-04-05,50.0
1999-04-12,37.0
1999-04-19,41.0
1999-04-26,32.0
1999-05-03,47.0
1999-05-10,34.0
1999-05-17,44.0
1999-05-24,36.0
1999-06-01,46.0
1999-06-07,50.0
1999-06-14,59.0
1999-06-21,65.0
1999-06-28,67.0
1999-07-06,60.0
1999-07-12,70.0
1999-07-19,68.0
1999-07-26,70.0
1999-08-02,65.0
1999-08-09,71.0
1999-08-16,63.0
1999-08-23,72.0
1999-08-30,70.0
1999-09-07,77.0
1999-09-13,77.0
1999-09-20,90.0
1999-09-27,90.0
1999-10-04,90.0
1999-10-11,107.0
1999-10-18,103.0
1999-10-25,104.0
1999-11-01,94.0
1999-11-08,85.0
1999-11-15,99.0
1999-11-22,111.0
1999-11-29,110.0
1999-12-06,107.0
1999-12-13,98.0
1999-12-20,98.0
1999-12-27,120.0
2000-01-03,110.0
2000-01-10,110.0
2000-01-17,110.0
2000-01-24,100.0
2000-01-31,110.0
2000-02-07,100.0
2000-02-14,120.0
2000-02-21,120.0
2000-02-28,126.0
2000-03-06,110.0
2000-03-13,120.0
2000-03-20,120.0
2000-03-27,130.0
2000-04-03,100.0
2000-04-10,130.0
2000-04-17,120.0
2000-04-24,110.0
2000-05-01,130.0
2000-05-08,130.0
2000-05-15,130.0
2000-05-22,120.0
2000-05-29,130.0
2000-06-05,100.0
2000-06-12,103.0
2000-06-19,122.0
2000-06-26,130.0
2000-07-03,110.0
2000-07-10,87.0
2000-07-17,120.0
2000-07-24,110.0
2000-07-31,125.0
2000-08-07,160.0
2000-08-14,140.0
2000-08-21,150.0
2000-08-31,130.0
2000-09-05,140.0
2000-09-11,140.0
2000-09-18,150.0
2000-09-25,140.0
2000-10-02,140.0
2000-10-09,140.0
2000-10-16,150.0
2000-11-06,150.0
2000-11-13,124.0
2000-11-20,132.0
2000-11-27,131.0
2000-12-04,134.0
2000-12-11,97.0
2000-12-18,127.0
2000-12-26,71.0
2001-01-02,89.0
2001-01-08,74.0
2001-01-15,87.0
2001-01-22,115.0
2001-01-29,128.0
2001-02-05,129.0
2001-02-12,181.0
2001-02-19,119.0
2001-02-26,137.0
2001-03-05,124.0
2001-03-09,180.0
2001-03-16,141.0
2001-03-23,110.0
2001-03-30,110.0
2001-04-06,137.0
2001-04-13,137.0
2001-04-20,126.0
2001-04-27,144.0
2001-05-04,117.0
2001-05-11,105.0
2001-05-18,129.0
2001-05-25,107.0
2001-06-01,127.0
2001-06-08,158.0
2001-06-15,159.0
2001-06-22,153.0
2001-06-29,153.0
2001-07-06,143.0
2001-07-13,161.0
2001-07-20,156.0
2001-07-27,150.0
2001-08-03,172.0
2001-08-10,161.0
2001-08-17,120.0
2001-08-24,130.0
2001-08-31,143.0
2001-09-07,113.0
2001-09-14,132.0
2001-09-21,116.0
2001-09-27,119.0
2001-10-05,119.0
2001-10-12,100.0
2001-10-19,117.0
2001-10-26,114.0
2001-11-02,118.0
2001-11-09,111.0
2001-11-16,136.0
2001-11-30,128.0
2001-12-07,143.0
2001-12-14,120.0
2001-12-21,109.0
2002-01-04,105.0
2002-01-11,109.0
2002-01-18,114.0
2002-01-25,108.0
2002-02-08,107.0
2002-02-15,112.0
2002-02-22,111.0
2002-03-01,119.0
2002-03-08,105.0
2002-03-15,117.0
2002-03-22,123.0
2002-03-29,145.0
2002-04-05,104.0
2002-04-12,104.0
2002-04-19,104.0
2002-04-26,111.0
2002-05-03,118.0
2002-05-10,121.0
2002-05-17,127.0
2002-05-24,126.0
2002-05-31,111.0
2002-06-07,124.0
2002-06-14,118.0
2002-06-21,123.0
2002-06-28,123.0
2002-07-05,108.0
2002-07-12,100.0
2002-07-19,117.0
2002-07-26,116.0
2002-08-02,102.0
2002-08-09,109.0
2002-08-16,103.0
2002-08-23,97.0
2002-08-30,95.0
2002-09-06,129.0
2002-09-13,121.0
2002-09-20,137.0
2002-09-27,103.0
2002-10-04,126.0
2002-10-25,128.0
2002-11-01,141.0
2002-11-08,128.0
2002-11-15,106.0
2002-11-22,104.0
2002-11-29,107.0
2002-12-06,102.0
2002-12-13,101.0
2002-12-20,98.0
2003-01-03,98.0
2003-01-10,87.0
2003-01-24,115.0
2003-01-31,119.0
2003-02-07,116.0
2003-02-14,114.0
2003-02-21,111.0
2003-03-14,118.0
2003-03-21,95.0
2003-03-28,92.0
2003-04-04,93.0
2003-04-11,100.0
2003-04-18,101.0
2003-04-25,99.0
2003-05-02,88.0
2003-05-09,89.0
