Date,y
2006-06-29,450.0
2006-07-03,472.0
2006-08-07,557.0
2006-09-11,543.0
2006-10-02,558.0
2006-11-09,617.0
2006-12-04,525.0
2007-01-02,561.0
2007-02-05,571.0
2007-03-05,542.0
2007-04-02,539.0
2007-05-07,538.0
2007-06-04,562.0
2007-07-02,554.0
2007-08-06,578.0
2007-09-10,540.0
2007-10-01,548.0
2007-11-06,575.0
2007-12-03,559.0
2008-01-07,540.0
2008-02-04,477.0
2008-03-03,490.0
2008-04-08,535.0
2008-05-06,515.0
2008-06-02,496.0
2008-07-14,612.0
2008-08-04,506.0
2008-09-02,456.0
2008-10-06,500.0
2008-11-03,522.0
2008-12-01,498.0
2009-01-05,509.0
2009-02-02,500.0
2009-03-02,518.0
2009-04-06,538.0
2009-05-05,523.0
2009-06-01,471.0
2009-07-06,552.0
2009-08-03,527.0
2009-09-08,542.0
2009-10-05,498.0
2009-11-02,372.0
2009-12-07,460.0
2010-01-04,501.0
2010-02-01,450.0
2010-03-01,465.0
2010-04-05,503.0
2010-05-03,472.0
2010-06-07,468.0
2010-07-12,520.0
2010-08-02,541.0
2010-09-07,422.0
2010-10-04,522.0
2010-11-01,418.0
2010-12-06,519.0
2011-01-03,455.0
2011-02-07,605.0
2011-03-07,526.0
2011-04-04,431.0
2011-05-02,531.0
2011-06-06,463.0
2011-07-11,440.0
2011-08-01,535.0
2011-09-12,471.0
2011-10-03,882.0
2011-11-07,502.0
2011-12-05,448.0
2012-01-09,450.0
2012-02-06,468.0
2012-03-05,488.0
2012-04-02,544.0
2012-05-07,507.0
2012-06-04,506.0
2012-07-02,507.0
2012-08-08,450.0
2012-09-10,490.0
2012-10-01,413.0
2012-11-05,460.0
2012-12-03,461.0
2013-01-08,418.0
2013-02-04,398.0
2013-03-22,676.0
2013-04-01,416.0
2013-05-06,420.0
2013-07-31,140.0
