Date,y
2002-11-07,7.0
2003-02-03,9.0
2003-04-29,10.0
2003-08-08,15.0
2003-10-22,12.0
2004-01-16,16.0
2004-04-30,15.0
2004-07-13,18.0
2004-10-21,21.0
2005-01-10,22.0
2005-05-05,19.0
2005-08-05,23.0
2005-10-10,23.0
2006-01-16,25.0
2006-05-15,29.0
2006-07-17,29.0
2006-10-18,31.0
2007-01-05,33.0
2007-04-19,34.0
2007-07-19,36.0
2007-10-17,39.0
2008-03-25,42.0
2008-04-09,39.0
2008-07-18,53.0
2008-10-08,50.0
2009-01-26,59.0
2009-04-07,62.0
2009-07-15,69.0
2009-10-08,73.0
2010-01-14,72.0
2010-04-13,71.0
2010-07-15,96.0
2010-08-06,99.0
2010-10-08,100.0
2011-01-04,115.0
2011-04-14,118.0
2011-08-02,160.0
2011-10-19,144.0
2012-08-10,185.0
2013-07-17,230.0
2014-08-22,190.0
2015-07-24,230.0
2016-09-01,330.0
2017-07-24,370.0
2018-09-21,320.0
2019-08-09,360.0
2020-09-08,340.0
